Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;860;0,0021;
январь 2018;859;0,0021;
февраль 2018;1 062;0,0025;
март 2018;949;0,0024;
апрель 2018;1 038;0,0024;
май 2018;897;0,0026;
июнь 2018;848;0,0025;
июль 2018;895;0,0026;
август 2018;823;0,0020;
сентябрь 2018;959;0,0020;
октябрь 2018;873;0,0020;
ноябрь 2018;1 024;0,0023;
декабрь 2018;1 068;0,0025;
январь 2019;1 188;0,0028;
февраль 2019;1 146;0,0026;
март 2019;1 138;0,0026;
апрель 2019;1 016;0,0025;
май 2019;1 071;0,0029;
июнь 2019;908;0,0028;
июль 2019;869;0,0026;
август 2019;833;0,0022;
сентябрь 2019;988;0,0023;
октябрь 2019;842;0,0019;
ноябрь 2019;1 064;0,0023;
декабрь 2019;798;0,0017;
январь 2020;705;0,0015;
февраль 2020;872;0,0017;
март 2020;836;0,0013;
апрель 2020;961;0,0018;
май 2020;922;0,0020;
июнь 2020;812;0,0020;
июль 2020;823;0,0020;
август 2020;785;0,0016;
сентябрь 2020;735;0,0013;
октябрь 2020;881;0,0015;
ноябрь 2020;985;0,0017;
декабрь 2020;663;0,0012;
январь 2021;737;0,0014;
февраль 2021;836;0,0015;
март 2021;884;0,0015;
апрель 2021;867;0,0016;
май 2021;818;0,0015;
июнь 2021;793;0,0017;
июль 2021;790;0,0016;
август 2021;781;0,0014;
сентябрь 2021;806;0,0013;
октябрь 2021;752;0,0012;
ноябрь 2021;1 044;0,0016;
декабрь 2021;775;0,0012;
январь 2022;817;0,0013;
февраль 2022;2 483;0,0037;
март 2022;2 356;0,0036;
апрель 2022;2 246;0,0037;
май 2022;2 202;0,0038;
июнь 2022;1 989;0,0038;
июль 2022;1 724;0,0033;
август 2022;1 739;0,0029;
сентябрь 2022;1 910;0,0029;
октябрь 2022;1 835;0,0027;
ноябрь 2022;1 544;0,0022;
декабрь 2022;1 253;0,0018;
январь 2023;1 300;0,0021;
февраль 2023;3 189;0,0047;
март 2023;1 603;0,0023;
апрель 2023;1 373;0,0022;
май 2023;1 216;0,0021;
июнь 2023;1 187;0,0023;
июль 2023;1 234;0,0024;
август 2023;1 324;0,0023;
сентябрь 2023;1 073;0,0016;
октябрь 2023;1 088;0,0017;
ноябрь 2023;1 221;0,0018;
декабрь 2023;956;0,0015;
январь 2024;879;0,0014;
февраль 2024;934;0,0015;
март 2024;904;0,0014;
апрель 2024;802;0,0013;
май 2024;776;0,0015;
июнь 2024;761;0,0016;
июль 2024;833;0,0017;
август 2024;1 015;0,0019;
сентябрь 2024;851;0,0013;
октябрь 2024;748;0,0012;
ноябрь 2024;852;0,0013;
декабрь 2024;638;0,0010;
