Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;307;0,00104;
январь 2018;300;0,00109;
февраль 2018;332;0,00109;
март 2018;415;0,00146;
апрель 2018;489;0,00174;
май 2018;410;0,00160;
июнь 2018;396;0,00160;
июль 2018;462;0,00180;
август 2018;417;0,00148;
сентябрь 2018;443;0,00135;
октябрь 2018;406;0,00134;
ноябрь 2018;403;0,00130;
декабрь 2018;349;0,00109;
январь 2019;426;0,00137;
февраль 2019;458;0,00144;
март 2019;423;0,00140;
апрель 2019;421;0,00151;
май 2019;540;0,00209;
июнь 2019;477;0,00189;
июль 2019;365;0,00142;
август 2019;372;0,00138;
сентябрь 2019;376;0,00121;
октябрь 2019;396;0,00125;
ноябрь 2019;402;0,00121;
декабрь 2019;352;0,00102;
январь 2020;355;0,00104;
февраль 2020;356;0,00096;
март 2020;432;0,00092;
апрель 2020;316;0,00079;
май 2020;393;0,00119;
июнь 2020;403;0,00134;
июль 2020;333;0,00110;
август 2020;330;0,00098;
сентябрь 2020;303;0,00078;
октябрь 2020;314;0,00062;
ноябрь 2020;436;0,00101;
декабрь 2020;392;0,00099;
январь 2021;252;0,00069;
февраль 2021;391;0,00104;
март 2021;497;0,00128;
апрель 2021;446;0,00117;
май 2021;369;0,00099;
июнь 2021;463;0,00132;
июль 2021;404;0,00099;
август 2021;491;0,00120;
сентябрь 2021;526;0,00121;
октябрь 2021;392;0,00078;
ноябрь 2021;539;0,00115;
декабрь 2021;485;0,00105;
январь 2022;453;0,00092;
февраль 2022;960;0,00195;
март 2022;920;0,00203;
апрель 2022;830;0,00186;
май 2022;940;0,00229;
июнь 2022;858;0,00217;
июль 2022;1 131;0,00287;
август 2022;873;0,00204;
сентябрь 2022;825;0,00178;
октябрь 2022;802;0,00167;
ноябрь 2022;652;0,00132;
декабрь 2022;567;0,00116;
январь 2023;569;0,00126;
февраль 2023;670;0,00137;
март 2023;525;0,00115;
апрель 2023;498;0,00116;
май 2023;421;0,00105;
июнь 2023;470;0,00121;
июль 2023;479;0,00122;
август 2023;449;0,00109;
сентябрь 2023;391;0,00085;
октябрь 2023;548;0,00120;
ноябрь 2023;485;0,00099;
декабрь 2023;449;0,00095;
январь 2024;422;0,00095;
февраль 2024;464;0,00103;
март 2024;400;0,00090;
апрель 2024;424;0,00102;
май 2024;370;0,00105;
июнь 2024;380;0,00108;
июль 2024;329;0,00094;
август 2024;262;0,00072;
сентябрь 2024;347;0,00082;
октябрь 2024;351;0,00081;
ноябрь 2024;308;0,00068;
декабрь 2024;353;0,00079;
