Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;1 867;0,00149;
январь 2018;1 844;0,00153;
февраль 2018;2 045;0,00160;
март 2018;1 902;0,00161;
апрель 2018;2 204;0,00177;
май 2018;1 993;0,00197;
июнь 2018;1 863;0,00179;
июль 2018;2 171;0,00202;
август 2018;1 976;0,00159;
сентябрь 2018;2 054;0,00144;
октябрь 2018;1 846;0,00139;
ноябрь 2018;2 339;0,00175;
декабрь 2018;2 150;0,00163;
январь 2019;2 170;0,00165;
февраль 2019;2 297;0,00173;
март 2019;2 410;0,00184;
апрель 2019;2 360;0,00191;
май 2019;2 451;0,00229;
июнь 2019;2 266;0,00217;
июль 2019;1 891;0,00175;
август 2019;1 697;0,00142;
сентябрь 2019;1 994;0,00143;
октябрь 2019;1 945;0,00138;
ноябрь 2019;2 832;0,00193;
декабрь 2019;1 747;0,00117;
январь 2020;1 738;0,00121;
февраль 2020;1 924;0,00122;
март 2020;1 810;0,00095;
апрель 2020;2 042;0,00115;
май 2020;2 074;0,00142;
июнь 2020;1 960;0,00148;
июль 2020;1 904;0,00145;
август 2020;1 833;0,00120;
сентябрь 2020;1 812;0,00096;
октябрь 2020;2 127;0,00102;
ноябрь 2020;2 174;0,00113;
декабрь 2020;1 446;0,00084;
январь 2021;1 714;0,00107;
февраль 2021;1 844;0,00104;
март 2021;1 969;0,00111;
апрель 2021;1 796;0,00104;
май 2021;1 839;0,00116;
июнь 2021;1 682;0,00114;
июль 2021;1 771;0,00117;
август 2021;1 824;0,00108;
сентябрь 2021;1 849;0,00097;
октябрь 2021;1 980;0,00102;
ноябрь 2021;2 427;0,00120;
декабрь 2021;2 124;0,00106;
январь 2022;2 202;0,00112;
февраль 2022;5 124;0,00239;
март 2022;5 176;0,00254;
апрель 2022;5 438;0,00288;
май 2022;4 885;0,00285;
июнь 2022;4 723;0,00288;
июль 2022;3 936;0,00222;
август 2022;3 992;0,00214;
сентябрь 2022;4 502;0,00220;
октябрь 2022;4 539;0,00213;
ноябрь 2022;3 560;0,00166;
декабрь 2022;2 947;0,00141;
январь 2023;2 784;0,00144;
февраль 2023;3 765;0,00174;
март 2023;3 053;0,00142;
апрель 2023;2 733;0,00134;
май 2023;2 282;0,00132;
июнь 2023;2 247;0,00137;
июль 2023;2 495;0,00146;
август 2023;2 325;0,00124;
сентябрь 2023;2 355;0,00112;
октябрь 2023;2 339;0,00112;
ноябрь 2023;2 324;0,00108;
декабрь 2023;2 102;0,00102;
январь 2024;2 109;0,00108;
февраль 2024;2 283;0,00111;
март 2024;2 224;0,00112;
апрель 2024;1 833;0,00100;
май 2024;1 665;0,00110;
июнь 2024;1 671;0,00114;
июль 2024;1 826;0,00123;
август 2024;1 613;0,00098;
сентябрь 2024;1 511;0,00080;
октябрь 2024;1 861;0,00096;
ноябрь 2024;2 021;0,00100;
декабрь 2024;1 493;0,00076;
