Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;497;0,00131;
январь 2018;446;0,00118;
февраль 2018;507;0,00124;
март 2018;485;0,00133;
апрель 2018;564;0,00158;
май 2018;495;0,00143;
июнь 2018;482;0,00138;
июль 2018;553;0,00161;
август 2018;550;0,00142;
сентябрь 2018;546;0,00124;
октябрь 2018;581;0,00145;
ноябрь 2018;578;0,00145;
декабрь 2018;582;0,00139;
январь 2019;587;0,00148;
февраль 2019;615;0,00146;
март 2019;652;0,00170;
апрель 2019;595;0,00159;
май 2019;748;0,00220;
июнь 2019;624;0,00178;
июль 2019;555;0,00162;
август 2019;567;0,00158;
сентябрь 2019;580;0,00141;
октябрь 2019;654;0,00159;
ноябрь 2019;721;0,00168;
декабрь 2019;553;0,00125;
январь 2020;469;0,00111;
февраль 2020;479;0,00103;
март 2020;615;0,00100;
апрель 2020;713;0,00130;
май 2020;732;0,00168;
июнь 2020;613;0,00148;
июль 2020;602;0,00151;
август 2020;486;0,00113;
сентябрь 2020;644;0,00129;
октябрь 2020;561;0,00108;
ноябрь 2020;616;0,00124;
декабрь 2020;502;0,00103;
январь 2021;460;0,00098;
февраль 2021;678;0,00128;
март 2021;658;0,00120;
апрель 2021;582;0,00104;
май 2021;554;0,00106;
июнь 2021;631;0,00134;
июль 2021;457;0,00094;
август 2021;664;0,00122;
сентябрь 2021;596;0,00100;
октябрь 2021;616;0,00100;
ноябрь 2021;911;0,00143;
декабрь 2021;668;0,00105;
январь 2022;745;0,00119;
февраль 2022;1 836;0,00270;
март 2022;1 830;0,00277;
апрель 2022;1 913;0,00304;
май 2022;1 778;0,00311;
июнь 2022;1 390;0,00246;
июль 2022;1 186;0,00212;
август 2022;1 116;0,00181;
сентябрь 2022;1 372;0,00207;
октябрь 2022;1 265;0,00192;
ноябрь 2022;1 100;0,00167;
декабрь 2022;889;0,00133;
январь 2023;700;0,00114;
февраль 2023;1 272;0,00190;
март 2023;823;0,00134;
апрель 2023;807;0,00133;
май 2023;747;0,00134;
июнь 2023;824;0,00149;
июль 2023;871;0,00160;
август 2023;640;0,00115;
сентябрь 2023;682;0,00108;
октябрь 2023;683;0,00110;
ноябрь 2023;669;0,00108;
декабрь 2023;648;0,00102;
январь 2024;668;0,00112;
февраль 2024;786;0,00131;
март 2024;603;0,00104;
апрель 2024;629;0,00114;
май 2024;546;0,00111;
июнь 2024;578;0,00117;
июль 2024;496;0,00102;
август 2024;559;0,00109;
сентябрь 2024;432;0,00074;
октябрь 2024;354;0,00059;
ноябрь 2024;426;0,00069;
декабрь 2024;510;0,00082;
