Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;1 419;0,00167;
январь 2018;1 238;0,00152;
февраль 2018;1 438;0,00164;
март 2018;1 363;0,00172;
апрель 2018;1 440;0,00173;
май 2018;1 410;0,00202;
июнь 2018;1 417;0,00202;
июль 2018;1 542;0,00212;
август 2018;1 713;0,00209;
сентябрь 2018;1 717;0,00180;
октябрь 2018;1 580;0,00176;
ноябрь 2018;1 839;0,00206;
декабрь 2018;1 639;0,00184;
январь 2019;1 713;0,00195;
февраль 2019;1 870;0,00207;
март 2019;1 827;0,00208;
апрель 2019;1 390;0,00171;
май 2019;1 784;0,00243;
июнь 2019;1 680;0,00239;
июль 2019;1 575;0,00221;
август 2019;1 680;0,00215;
сентябрь 2019;1 655;0,00183;
октябрь 2019;1 483;0,00159;
ноябрь 2019;1 945;0,00197;
декабрь 2019;1 321;0,00131;
январь 2020;1 399;0,00143;
февраль 2020;1 657;0,00154;
март 2020;1 404;0,00111;
апрель 2020;1 530;0,00134;
май 2020;1 627;0,00168;
июнь 2020;1 564;0,00173;
июль 2020;1 659;0,00186;
август 2020;1 677;0,00161;
сентябрь 2020;1 591;0,00131;
октябрь 2020;1 852;0,00149;
ноябрь 2020;1 986;0,00164;
декабрь 2020;1 343;0,00115;
январь 2021;1 416;0,00127;
февраль 2021;2 175;0,00180;
март 2021;1 940;0,00163;
апрель 2021;1 680;0,00151;
май 2021;1 741;0,00158;
июнь 2021;1 631;0,00155;
июль 2021;1 702;0,00158;
август 2021;1 642;0,00143;
сентябрь 2021;1 706;0,00133;
октябрь 2021;1 605;0,00122;
ноябрь 2021;1 746;0,00129;
декабрь 2021;1 414;0,00105;
январь 2022;1 489;0,00112;
февраль 2022;4 006;0,00277;
март 2022;3 943;0,00298;
апрель 2022;3 373;0,00265;
май 2022;3 497;0,00296;
июнь 2022;3 319;0,00292;
июль 2022;2 796;0,00245;
август 2022;2 815;0,00222;
сентябрь 2022;3 230;0,00229;
октябрь 2022;3 300;0,00223;
ноябрь 2022;2 833;0,00192;
декабрь 2022;2 363;0,00162;
январь 2023;2 269;0,00167;
февраль 2023;3 756;0,00255;
март 2023;2 711;0,00193;
апрель 2023;2 090;0,00159;
май 2023;1 882;0,00161;
июнь 2023;2 003;0,00175;
июль 2023;2 218;0,00192;
август 2023;1 849;0,00149;
сентябрь 2023;2 138;0,00155;
октябрь 2023;2 004;0,00146;
ноябрь 2023;1 995;0,00141;
декабрь 2023;1 860;0,00133;
январь 2024;1 790;0,00134;
февраль 2024;2 018;0,00151;
март 2024;1 744;0,00139;
апрель 2024;1 440;0,00118;
май 2024;1 452;0,00138;
июнь 2024;1 378;0,00133;
июль 2024;1 359;0,00130;
август 2024;1 742;0,00155;
сентябрь 2024;1 519;0,00118;
октябрь 2024;1 448;0,00110;
ноябрь 2024;1 259;0,00092;
декабрь 2024;1 326;0,00099;
