Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;5 146;0,0033;
январь 2018;5 768;0,0034;
февраль 2018;7 162;0,0035;
март 2018;6 156;0,0032;
апрель 2018;5 918;0,0032;
май 2018;8 651;0,0051;
июнь 2018;8 645;0,0049;
июль 2018;6 987;0,0040;
август 2018;6 689;0,0033;
сентябрь 2018;7 617;0,0033;
октябрь 2018;7 506;0,0035;
ноябрь 2018;9 053;0,0042;
декабрь 2018;7 677;0,0035;
январь 2019;7 008;0,0032;
февраль 2019;6 875;0,0030;
март 2019;6 489;0,0030;
апрель 2019;6 014;0,0029;
май 2019;6 027;0,0033;
июнь 2019;5 997;0,0032;
июль 2019;6 042;0,0031;
август 2019;5 602;0,0027;
сентябрь 2019;5 833;0,0027;
октябрь 2019;5 701;0,0027;
ноябрь 2019;6 042;0,0028;
декабрь 2019;6 354;0,0030;
январь 2020;5 619;0,0027;
февраль 2020;6 301;0,0027;
март 2020;6 981;0,0024;
апрель 2020;7 180;0,0029;
май 2020;6 115;0,0032;
июнь 2020;5 383;0,0033;
июль 2020;5 090;0,0031;
август 2020;4 773;0,0026;
сентябрь 2020;5 172;0,0025;
октябрь 2020;5 447;0,0024;
ноябрь 2020;6 008;0,0026;
декабрь 2020;5 076;0,0025;
январь 2021;4 502;0,0023;
февраль 2021;5 327;0,0024;
март 2021;5 308;0,0025;
апрель 2021;4 581;0,0023;
май 2021;5 082;0,0025;
июнь 2021;5 262;0,0027;
июль 2021;5 610;0,0028;
август 2021;4 883;0,0023;
сентябрь 2021;5 275;0,0022;
октябрь 2021;5 359;0,0022;
ноябрь 2021;5 906;0,0025;
декабрь 2021;5 026;0,0021;
январь 2022;5 458;0,0023;
февраль 2022;7 794;0,0030;
март 2022;5 904;0,0025;
апрель 2022;5 487;0,0023;
май 2022;6 015;0,0028;
июнь 2022;5 804;0,0028;
июль 2022;5 554;0,0027;
август 2022;5 494;0,0024;
сентябрь 2022;5 402;0,0022;
октябрь 2022;5 470;0,0021;
ноябрь 2022;5 567;0,0022;
декабрь 2022;4 679;0,0018;
январь 2023;4 842;0,0021;
февраль 2023;5 395;0,0021;
март 2023;4 884;0,0021;
апрель 2023;4 610;0,0020;
май 2023;4 682;0,0022;
июнь 2023;4 736;0,0023;
июль 2023;5 163;0,0025;
август 2023;4 714;0,0022;
сентябрь 2023;5 021;0,0020;
октябрь 2023;4 938;0,0020;
ноябрь 2023;4 862;0,0020;
декабрь 2023;4 400;0,0018;
январь 2024;4 582;0,0020;
февраль 2024;4 941;0,0021;
март 2024;4 465;0,0020;
апрель 2024;4 762;0,0022;
май 2024;4 281;0,0023;
июнь 2024;4 233;0,0023;
июль 2024;4 192;0,0022;
август 2024;3 749;0,0019;
сентябрь 2024;4 353;0,0019;
октябрь 2024;4 517;0,0019;
ноябрь 2024;4 940;0,0020;
декабрь 2024;4 690;0,0019;
