Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;164;0,0028;
январь 2018;128;0,0023;
февраль 2018;154;0,0025;
март 2018;168;0,0028;
апрель 2018;146;0,0023;
май 2018;207;0,0038;
июнь 2018;176;0,0031;
июль 2018;193;0,0035;
август 2018;146;0,0025;
сентябрь 2018;184;0,0026;
октябрь 2018;164;0,0024;
ноябрь 2018;239;0,0035;
декабрь 2018;194;0,0030;
январь 2019;136;0,0020;
февраль 2019;207;0,0030;
март 2019;162;0,0024;
апрель 2019;152;0,0023;
май 2019;173;0,0030;
июнь 2019;139;0,0024;
июль 2019;121;0,0021;
август 2019;132;0,0022;
сентябрь 2019;149;0,0021;
октябрь 2019;137;0,0018;
ноябрь 2019;206;0,0025;
декабрь 2019;209;0,0025;
январь 2020;164;0,0020;
февраль 2020;182;0,0020;
март 2020;193;0,0017;
апрель 2020;202;0,0022;
май 2020;211;0,0025;
июнь 2020;192;0,0023;
июль 2020;190;0,0024;
август 2020;164;0,0018;
сентябрь 2020;175;0,0016;
октябрь 2020;213;0,0018;
ноябрь 2020;213;0,0019;
декабрь 2020;199;0,0020;
январь 2021;176;0,0019;
февраль 2021;209;0,0021;
март 2021;233;0,0023;
апрель 2021;197;0,0019;
май 2021;235;0,0024;
июнь 2021;218;0,0024;
июль 2021;237;0,0026;
август 2021;190;0,0019;
сентябрь 2021;195;0,0017;
октябрь 2021;218;0,0018;
ноябрь 2021;257;0,0021;
декабрь 2021;221;0,0018;
январь 2022;223;0,0018;
февраль 2022;277;0,0021;
март 2022;215;0,0017;
апрель 2022;233;0,0020;
май 2022;239;0,0021;
июнь 2022;287;0,0025;
июль 2022;517;0,0027;
август 2022;204;0,0015;
сентябрь 2022;248;0,0019;
октябрь 2022;269;0,0019;
ноябрь 2022;274;0,0020;
декабрь 2022;230;0,0017;
январь 2023;222;0,0018;
февраль 2023;249;0,0018;
март 2023;233;0,0017;
апрель 2023;214;0,0016;
май 2023;225;0,0020;
июнь 2023;289;0,0024;
июль 2023;283;0,0023;
август 2023;190;0,0016;
сентябрь 2023;223;0,0017;
октябрь 2023;252;0,0019;
ноябрь 2023;254;0,0019;
декабрь 2023;235;0,0018;
январь 2024;197;0,0015;
февраль 2024;247;0,0019;
март 2024;207;0,0017;
апрель 2024;232;0,0019;
май 2024;161;0,0015;
июнь 2024;241;0,0022;
июль 2024;196;0,0018;
август 2024;176;0,0016;
сентябрь 2024;193;0,0015;
октябрь 2024;174;0,0013;
ноябрь 2024;213;0,0016;
декабрь 2024;195;0,0015;
