Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;5 924;0,0033;
январь 2018;6 485;0,0034;
февраль 2018;6 911;0,0034;
март 2018;5 766;0,0034;
апрель 2018;5 730;0,0033;
май 2018;9 430;0,0057;
июнь 2018;8 330;0,0048;
июль 2018;6 729;0,0039;
август 2018;6 247;0,0032;
сентябрь 2018;7 691;0,0034;
октябрь 2018;7 181;0,0036;
ноябрь 2018;9 274;0,0043;
декабрь 2018;7 763;0,0035;
январь 2019;7 033;0,0033;
февраль 2019;6 763;0,0030;
март 2019;6 160;0,0030;
апрель 2019;6 014;0,0029;
май 2019;6 143;0,0033;
июнь 2019;6 156;0,0032;
июль 2019;5 968;0,0031;
август 2019;5 376;0,0027;
сентябрь 2019;5 498;0,0026;
октябрь 2019;5 667;0,0027;
ноябрь 2019;6 764;0,0031;
декабрь 2019;6 533;0,0028;
январь 2020;6 349;0,0029;
февраль 2020;6 296;0,0027;
март 2020;7 130;0,0025;
апрель 2020;8 431;0,0030;
май 2020;7 229;0,0033;
июнь 2020;6 692;0,0033;
июль 2020;6 663;0,0031;
август 2020;6 068;0,0027;
сентябрь 2020;6 265;0,0025;
октябрь 2020;6 415;0,0024;
ноябрь 2020;7 247;0,0028;
декабрь 2020;6 312;0,0025;
январь 2021;6 118;0,0025;
февраль 2021;6 986;0,0026;
март 2021;6 427;0,0025;
апрель 2021;6 000;0,0023;
май 2021;6 725;0,0026;
июнь 2021;6 947;0,0028;
июль 2021;7 462;0,0030;
август 2021;6 581;0,0025;
сентябрь 2021;6 916;0,0025;
октябрь 2021;6 692;0,0024;
ноябрь 2021;7 180;0,0025;
декабрь 2021;6 554;0,0022;
январь 2022;6 790;0,0024;
февраль 2022;10 325;0,0033;
март 2022;7 741;0,0027;
апрель 2022;7 336;0,0025;
май 2022;8 013;0,0030;
июнь 2022;7 452;0,0028;
июль 2022;7 502;0,0027;
август 2022;7 019;0,0024;
сентябрь 2022;6 843;0,0022;
октябрь 2022;6 934;0,0022;
ноябрь 2022;7 431;0,0023;
декабрь 2022;6 476;0,0020;
январь 2023;6 325;0,0021;
февраль 2023;7 292;0,0023;
март 2023;7 194;0,0023;
апрель 2023;6 442;0,0021;
май 2023;6 238;0,0023;
июнь 2023;6 593;0,0024;
июль 2023;6 711;0,0025;
август 2023;6 152;0,0021;
сентябрь 2023;6 500;0,0021;
октябрь 2023;6 915;0,0022;
ноябрь 2023;6 868;0,0022;
декабрь 2023;6 101;0,0019;
январь 2024;6 267;0,0021;
февраль 2024;6 670;0,0022;
март 2024;5 769;0,0021;
апрель 2024;6 164;0,0022;
май 2024;5 876;0,0023;
июнь 2024;5 626;0,0022;
июль 2024;5 632;0,0022;
август 2024;5 203;0,0019;
сентябрь 2024;5 856;0,0020;
октябрь 2024;5 983;0,0019;
ноябрь 2024;6 240;0,0020;
декабрь 2024;6 186;0,0020;
