Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;1 302;0,0027;
январь 2018;1 405;0,0029;
февраль 2018;1 554;0,0030;
март 2018;1 290;0,0029;
апрель 2018;1 296;0,0029;
май 2018;1 743;0,0042;
июнь 2018;1 828;0,0043;
июль 2018;1 536;0,0037;
август 2018;1 339;0,0027;
сентябрь 2018;1 702;0,0030;
октябрь 2018;1 459;0,0028;
ноябрь 2018;2 010;0,0039;
декабрь 2018;1 682;0,0032;
январь 2019;1 551;0,0030;
февраль 2019;1 491;0,0028;
март 2019;1 284;0,0026;
апрель 2019;1 239;0,0026;
май 2019;1 276;0,0030;
июнь 2019;1 228;0,0028;
июль 2019;1 264;0,0030;
август 2019;1 108;0,0024;
сентябрь 2019;1 244;0,0024;
октябрь 2019;1 261;0,0023;
ноябрь 2019;1 539;0,0027;
декабрь 2019;1 579;0,0027;
январь 2020;1 318;0,0023;
февраль 2020;1 430;0,0024;
март 2020;1 767;0,0023;
апрель 2020;1 875;0,0026;
май 2020;1 686;0,0030;
июнь 2020;1 513;0,0029;
июль 2020;1 426;0,0028;
август 2020;1 301;0,0023;
сентябрь 2020;1 628;0,0024;
октябрь 2020;1 630;0,0021;
ноябрь 2020;1 834;0,0024;
декабрь 2020;1 625;0,0024;
январь 2021;1 496;0,0022;
февраль 2021;1 642;0,0022;
март 2021;1 746;0,0024;
апрель 2021;1 509;0,0021;
май 2021;1 707;0,0025;
июнь 2021;1 599;0,0025;
июль 2021;1 765;0,0027;
август 2021;1 703;0,0023;
сентябрь 2021;1 631;0,0021;
октябрь 2021;1 720;0,0019;
ноябрь 2021;1 923;0,0023;
декабрь 2021;1 700;0,0020;
январь 2022;1 802;0,0021;
февраль 2022;2 363;0,0026;
март 2022;1 804;0,0021;
апрель 2022;1 589;0,0019;
май 2022;1 781;0,0024;
июнь 2022;1 588;0,0022;
июль 2022;1 726;0,0024;
август 2022;1 610;0,0019;
сентябрь 2022;1 642;0,0018;
октябрь 2022;1 701;0,0019;
ноябрь 2022;1 833;0,0021;
декабрь 2022;1 581;0,0018;
январь 2023;1 574;0,0019;
февраль 2023;1 836;0,0020;
март 2023;1 546;0,0018;
апрель 2023;1 532;0,0019;
май 2023;1 483;0,0020;
июнь 2023;1 500;0,0021;
июль 2023;1 511;0,0022;
август 2023;1 368;0,0018;
сентябрь 2023;1 446;0,0017;
октябрь 2023;1 876;0,0022;
ноябрь 2023;1 631;0,0019;
декабрь 2023;1 489;0,0017;
январь 2024;1 435;0,0018;
февраль 2024;1 481;0,0018;
март 2024;1 928;0,0025;
апрель 2024;1 312;0,0017;
май 2024;1 306;0,0020;
июнь 2024;1 250;0,0019;
июль 2024;1 085;0,0018;
август 2024;1 069;0,0014;
сентябрь 2024;1 489;0,0018;
октябрь 2024;1 424;0,0017;
ноябрь 2024;1 796;0,0020;
декабрь 2024;1 470;0,0017;
