Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;1 279;0,0033;
январь 2018;1 304;0,0034;
февраль 2018;1 413;0,0034;
март 2018;1 237;0,0034;
апрель 2018;1 124;0,0031;
май 2018;1 656;0,0047;
июнь 2018;1 608;0,0046;
июль 2018;1 465;0,0042;
август 2018;1 235;0,0032;
сентябрь 2018;1 476;0,0033;
октябрь 2018;1 510;0,0037;
ноябрь 2018;1 827;0,0045;
декабрь 2018;1 494;0,0035;
январь 2019;1 310;0,0033;
февраль 2019;1 382;0,0033;
март 2019;1 154;0,0030;
апрель 2019;1 200;0,0032;
май 2019;1 177;0,0034;
июнь 2019;1 289;0,0036;
июль 2019;1 175;0,0034;
август 2019;1 082;0,0030;
сентябрь 2019;1 253;0,0030;
октябрь 2019;1 202;0,0029;
ноябрь 2019;1 477;0,0034;
декабрь 2019;1 375;0,0031;
январь 2020;1 342;0,0031;
февраль 2020;1 284;0,0027;
март 2020;1 647;0,0026;
апрель 2020;1 522;0,0027;
май 2020;1 583;0,0036;
июнь 2020;1 483;0,0035;
июль 2020;1 394;0,0035;
август 2020;1 289;0,0030;
сентябрь 2020;1 300;0,0026;
октябрь 2020;1 418;0,0027;
ноябрь 2020;1 530;0,0030;
декабрь 2020;1 331;0,0027;
январь 2021;1 379;0,0029;
февраль 2021;1 588;0,0030;
март 2021;1 532;0,0028;
апрель 2021;1 418;0,0025;
май 2021;1 504;0,0028;
июнь 2021;1 435;0,0030;
июль 2021;1 356;0,0027;
август 2021;1 467;0,0026;
сентябрь 2021;1 568;0,0026;
октябрь 2021;1 733;0,0028;
ноябрь 2021;1 749;0,0027;
декабрь 2021;1 556;0,0024;
январь 2022;1 634;0,0026;
февраль 2022;2 322;0,0034;
март 2022;1 755;0,0026;
апрель 2022;1 687;0,0026;
май 2022;1 649;0,0028;
июнь 2022;1 670;0,0029;
июль 2022;1 732;0,0031;
август 2022;1 606;0,0026;
сентябрь 2022;1 585;0,0024;
октябрь 2022;1 592;0,0024;
ноябрь 2022;1 606;0,0024;
декабрь 2022;1 441;0,0021;
январь 2023;1 404;0,0022;
февраль 2023;1 574;0,0023;
март 2023;1 320;0,0021;
апрель 2023;1 358;0,0022;
май 2023;1 460;0,0026;
июнь 2023;1 406;0,0025;
июль 2023;1 391;0,0025;
август 2023;1 216;0,0021;
сентябрь 2023;1 360;0,0021;
октябрь 2023;1 459;0,0023;
ноябрь 2023;1 343;0,0021;
декабрь 2023;1 259;0,0019;
январь 2024;1 234;0,0020;
февраль 2024;1 345;0,0022;
март 2024;1 159;0,0020;
апрель 2024;1 334;0,0024;
май 2024;1 239;0,0025;
июнь 2024;1 164;0,0023;
июль 2024;1 049;0,0021;
август 2024;1 043;0,0020;
сентябрь 2024;1 241;0,0021;
октябрь 2024;1 253;0,0021;
ноябрь 2024;1 553;0,0025;
декабрь 2024;1 311;0,0021;
