Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;818;0,0025;
январь 2018;808;0,0026;
февраль 2018;811;0,0024;
март 2018;772;0,0025;
апрель 2018;826;0,0027;
май 2018;1 133;0,0042;
июнь 2018;1 126;0,0041;
июль 2018;859;0,0031;
август 2018;877;0,0027;
сентябрь 2018;1 005;0,0027;
октябрь 2018;1 002;0,0028;
ноябрь 2018;1 142;0,0033;
декабрь 2018;1 182;0,0033;
январь 2019;972;0,0027;
февраль 2019;945;0,0026;
март 2019;942;0,0026;
апрель 2019;977;0,0029;
май 2019;871;0,0030;
июнь 2019;812;0,0028;
июль 2019;842;0,0029;
август 2019;912;0,0027;
сентябрь 2019;902;0,0022;
октябрь 2019;956;0,0023;
ноябрь 2019;1 152;0,0026;
декабрь 2019;1 122;0,0026;
январь 2020;1 092;0,0024;
февраль 2020;1 168;0,0024;
март 2020;1 510;0,0025;
апрель 2020;1 418;0,0027;
май 2020;1 245;0,0031;
июнь 2020;1 124;0,0030;
июль 2020;1 132;0,0030;
август 2020;1 007;0,0023;
сентябрь 2020;1 204;0,0022;
октябрь 2020;1 216;0,0019;
ноябрь 2020;1 334;0,0023;
декабрь 2020;1 166;0,0023;
январь 2021;1 158;0,0023;
февраль 2021;1 291;0,0026;
март 2021;1 285;0,0025;
апрель 2021;1 178;0,0024;
май 2021;1 124;0,0026;
июнь 2021;1 109;0,0027;
июль 2021;1 138;0,0028;
август 2021;1 093;0,0023;
сентябрь 2021;1 218;0,0023;
октябрь 2021;1 220;0,0020;
ноябрь 2021;1 453;0,0025;
декабрь 2021;1 279;0,0023;
январь 2022;1 221;0,0022;
февраль 2022;1 353;0,0023;
март 2022;1 218;0,0021;
апрель 2022;1 051;0,0019;
май 2022;1 181;0,0025;
июнь 2022;1 166;0,0026;
июль 2022;1 159;0,0025;
август 2022;1 060;0,0020;
сентябрь 2022;1 204;0,0020;
октябрь 2022;1 226;0,0019;
ноябрь 2022;1 271;0,0020;
декабрь 2022;992;0,0016;
январь 2023;1 070;0,0018;
февраль 2023;1 130;0,0018;
март 2023;1 103;0,0018;
апрель 2023;1 058;0,0018;
май 2023;1 075;0,0022;
июнь 2023;1 072;0,0023;
июль 2023;1 088;0,0023;
август 2023;989;0,0019;
сентябрь 2023;989;0,0017;
октябрь 2023;1 159;0,0020;
ноябрь 2023;1 006;0,0016;
декабрь 2023;1 030;0,0017;
январь 2024;1 026;0,0018;
февраль 2024;1 025;0,0018;
март 2024;1 012;0,0019;
апрель 2024;974;0,0020;
май 2024;940;0,0023;
июнь 2024;813;0,0020;
июль 2024;840;0,0021;
август 2024;781;0,0017;
сентябрь 2024;949;0,0017;
октябрь 2024;916;0,0016;
ноябрь 2024;1 026;0,0017;
декабрь 2024;952;0,0016;
