Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;2 988;0,0028;
январь 2018;3 034;0,0030;
февраль 2018;3 145;0,0029;
март 2018;3 025;0,0030;
апрель 2018;3 031;0,0029;
май 2018;3 847;0,0045;
июнь 2018;3 797;0,0043;
июль 2018;3 243;0,0036;
август 2018;2 978;0,0029;
сентябрь 2018;3 553;0,0030;
октябрь 2018;3 489;0,0032;
ноябрь 2018;4 536;0,0041;
декабрь 2018;3 591;0,0032;
январь 2019;3 265;0,0029;
февраль 2019;3 134;0,0028;
март 2019;3 262;0,0030;
апрель 2019;2 835;0,0027;
май 2019;2 751;0,0030;
июнь 2019;2 784;0,0031;
июль 2019;2 860;0,0032;
август 2019;2 773;0,0028;
сентябрь 2019;3 009;0,0027;
октябрь 2019;2 995;0,0026;
ноябрь 2019;3 508;0,0029;
декабрь 2019;3 569;0,0028;
январь 2020;3 272;0,0027;
февраль 2020;3 848;0,0028;
март 2020;3 873;0,0023;
апрель 2020;3 997;0,0026;
май 2020;3 792;0,0031;
июнь 2020;3 589;0,0033;
июль 2020;3 362;0,0031;
август 2020;3 210;0,0025;
сентябрь 2020;3 716;0,0024;
октябрь 2020;3 924;0,0023;
ноябрь 2020;4 159;0,0028;
декабрь 2020;3 702;0,0026;
январь 2021;3 378;0,0025;
февраль 2021;3 649;0,0025;
март 2021;3 749;0,0026;
апрель 2021;3 324;0,0024;
май 2021;3 640;0,0028;
июнь 2021;3 381;0,0028;
июль 2021;4 025;0,0032;
август 2021;3 435;0,0025;
сентябрь 2021;3 581;0,0023;
октябрь 2021;3 695;0,0024;
ноябрь 2021;4 071;0,0025;
декабрь 2021;3 622;0,0022;
январь 2022;3 635;0,0022;
февраль 2022;4 551;0,0026;
март 2022;3 345;0,0021;
апрель 2022;3 296;0,0021;
май 2022;3 577;0,0025;
июнь 2022;3 313;0,0024;
июль 2022;3 556;0,0026;
август 2022;3 322;0,0021;
сентябрь 2022;3 596;0,0021;
октябрь 2022;3 532;0,0020;
ноябрь 2022;3 544;0,0020;
декабрь 2022;3 084;0,0018;
январь 2023;3 199;0,0020;
февраль 2023;3 480;0,0020;
март 2023;3 407;0,0020;
апрель 2023;2 987;0,0019;
май 2023;2 801;0,0020;
июнь 2023;3 002;0,0022;
июль 2023;2 997;0,0022;
август 2023;2 803;0,0019;
сентябрь 2023;2 992;0,0018;
октябрь 2023;3 091;0,0019;
ноябрь 2023;3 177;0,0018;
декабрь 2023;2 941;0,0017;
январь 2024;2 800;0,0017;
февраль 2024;3 045;0,0019;
март 2024;2 880;0,0019;
апрель 2024;2 721;0,0019;
май 2024;2 470;0,0020;
июнь 2024;2 388;0,0020;
июль 2024;2 376;0,0019;
август 2024;2 412;0,0018;
сентябрь 2024;2 891;0,0018;
октябрь 2024;2 836;0,0018;
ноябрь 2024;3 310;0,0020;
декабрь 2024;2 826;0,0017;
