Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;573;0,0029;
январь 2018;643;0,0033;
февраль 2018;631;0,0030;
март 2018;610;0,0032;
апрель 2018;689;0,0037;
май 2018;915;0,0051;
июнь 2018;762;0,0042;
июль 2018;661;0,0037;
август 2018;610;0,0031;
сентябрь 2018;724;0,0031;
октябрь 2018;688;0,0030;
ноябрь 2018;861;0,0039;
декабрь 2018;779;0,0035;
январь 2019;757;0,0035;
февраль 2019;624;0,0027;
март 2019;602;0,0028;
апрель 2019;596;0,0030;
май 2019;544;0,0032;
июнь 2019;532;0,0030;
июль 2019;567;0,0032;
август 2019;598;0,0030;
сентябрь 2019;698;0,0029;
октябрь 2019;624;0,0026;
ноябрь 2019;860;0,0033;
декабрь 2019;923;0,0034;
январь 2020;812;0,0031;
февраль 2020;922;0,0031;
март 2020;996;0,0027;
апрель 2020;945;0,0027;
май 2020;945;0,0035;
июнь 2020;782;0,0032;
июль 2020;730;0,0030;
август 2020;722;0,0025;
сентябрь 2020;839;0,0024;
октябрь 2020;924;0,0025;
ноябрь 2020;1 045;0,0030;
декабрь 2020;908;0,0026;
январь 2021;789;0,0024;
февраль 2021;879;0,0026;
март 2021;865;0,0025;
апрель 2021;735;0,0022;
май 2021;828;0,0027;
июнь 2021;1 000;0,0034;
июль 2021;1 024;0,0035;
август 2021;846;0,0026;
сентябрь 2021;824;0,0023;
октябрь 2021;827;0,0023;
ноябрь 2021;966;0,0026;
декабрь 2021;821;0,0022;
январь 2022;953;0,0026;
февраль 2022;1 230;0,0031;
март 2022;1 083;0,0028;
апрель 2022;1 025;0,0028;
май 2022;968;0,0029;
июнь 2022;862;0,0027;
июль 2022;902;0,0029;
август 2022;993;0,0028;
сентябрь 2022;1 057;0,0027;
октябрь 2022;1 001;0,0024;
ноябрь 2022;943;0,0023;
декабрь 2022;886;0,0021;
январь 2023;807;0,0021;
февраль 2023;867;0,0021;
март 2023;811;0,0021;
апрель 2023;732;0,0019;
май 2023;809;0,0024;
июнь 2023;784;0,0024;
июль 2023;809;0,0025;
август 2023;718;0,0021;
сентябрь 2023;752;0,0020;
октябрь 2023;830;0,0022;
ноябрь 2023;690;0,0017;
декабрь 2023;658;0,0017;
январь 2024;763;0,0021;
февраль 2024;814;0,0022;
март 2024;697;0,0019;
апрель 2024;748;0,0022;
май 2024;733;0,0025;
июнь 2024;650;0,0022;
июль 2024;577;0,0020;
август 2024;526;0,0017;
сентябрь 2024;623;0,0017;
октябрь 2024;716;0,0019;
ноябрь 2024;683;0,0017;
декабрь 2024;657;0,0017;
