Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Камчатский край, все устройства
декабрь 2017;348;0,0042;
январь 2018;340;0,0042;
февраль 2018;350;0,0038;
март 2018;375;0,0044;
апрель 2018;294;0,0035;
май 2018;413;0,0055;
июнь 2018;354;0,0048;
июль 2018;302;0,0041;
август 2018;313;0,0036;
сентябрь 2018;402;0,0041;
октябрь 2018;407;0,0042;
ноябрь 2018;475;0,0051;
декабрь 2018;389;0,0040;
январь 2019;403;0,0043;
февраль 2019;346;0,0035;
март 2019;279;0,0028;
апрель 2019;320;0,0037;
май 2019;318;0,0041;
июнь 2019;276;0,0039;
июль 2019;231;0,0032;
август 2019;241;0,0029;
сентябрь 2019;281;0,0028;
октябрь 2019;305;0,0029;
ноябрь 2019;341;0,0031;
декабрь 2019;364;0,0032;
январь 2020;308;0,0028;
февраль 2020;410;0,0034;
март 2020;517;0,0033;
апрель 2020;350;0,0025;
май 2020;389;0,0035;
июнь 2020;384;0,0039;
июль 2020;409;0,0041;
август 2020;345;0,0032;
сентябрь 2020;419;0,0031;
октябрь 2020;323;0,0023;
ноябрь 2020;483;0,0036;
декабрь 2020;338;0,0025;
январь 2021;369;0,0029;
февраль 2021;414;0,0030;
март 2021;454;0,0032;
апрель 2021;401;0,0030;
май 2021;380;0,0031;
июнь 2021;400;0,0035;
июль 2021;342;0,0030;
август 2021;448;0,0035;
сентябрь 2021;528;0,0037;
октябрь 2021;385;0,0026;
ноябрь 2021;448;0,0029;
декабрь 2021;417;0,0027;
январь 2022;356;0,0024;
февраль 2022;635;0,0039;
март 2022;544;0,0033;
апрель 2022;485;0,0030;
май 2022;368;0,0027;
июнь 2022;384;0,0029;
июль 2022;439;0,0031;
август 2022;404;0,0026;
сентябрь 2022;393;0,0023;
октябрь 2022;411;0,0022;
ноябрь 2022;401;0,0023;
декабрь 2022;387;0,0022;
январь 2023;377;0,0023;
февраль 2023;448;0,0025;
март 2023;383;0,0022;
апрель 2023;379;0,0023;
май 2023;490;0,0036;
июнь 2023;360;0,0027;
июль 2023;385;0,0028;
август 2023;289;0,0020;
сентябрь 2023;341;0,0021;
октябрь 2023;305;0,0019;
ноябрь 2023;385;0,0023;
декабрь 2023;334;0,0020;
январь 2024;363;0,0023;
февраль 2024;354;0,0021;
март 2024;286;0,0018;
апрель 2024;400;0,0026;
май 2024;307;0,0024;
июнь 2024;273;0,0021;
июль 2024;341;0,0026;
август 2024;257;0,0018;
сентябрь 2024;315;0,0019;
октябрь 2024;337;0,0020;
ноябрь 2024;410;0,0024;
декабрь 2024;311;0,0018;
