Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;760;0,0029;
январь 2018;870;0,0034;
февраль 2018;909;0,0032;
март 2018;770;0,0030;
апрель 2018;747;0,0030;
май 2018;1 157;0,0049;
июнь 2018;1 122;0,0047;
июль 2018;880;0,0037;
август 2018;858;0,0032;
сентябрь 2018;940;0,0030;
октябрь 2018;1 068;0,0037;
ноябрь 2018;1 159;0,0041;
декабрь 2018;901;0,0031;
январь 2019;839;0,0031;
февраль 2019;871;0,0030;
март 2019;744;0,0027;
апрель 2019;717;0,0028;
май 2019;644;0,0027;
июнь 2019;681;0,0028;
июль 2019;699;0,0029;
август 2019;541;0,0021;
сентябрь 2019;768;0,0026;
октябрь 2019;698;0,0023;
ноябрь 2019;926;0,0030;
декабрь 2019;898;0,0028;
январь 2020;785;0,0026;
февраль 2020;874;0,0026;
март 2020;1 085;0,0023;
апрель 2020;972;0,0024;
май 2020;1 133;0,0037;
июнь 2020;958;0,0033;
июль 2020;917;0,0032;
август 2020;808;0,0026;
сентябрь 2020;897;0,0025;
октябрь 2020;934;0,0025;
ноябрь 2020;918;0,0025;
декабрь 2020;844;0,0023;
январь 2021;774;0,0022;
февраль 2021;963;0,0025;
март 2021;977;0,0025;
апрель 2021;895;0,0023;
май 2021;929;0,0026;
июнь 2021;834;0,0025;
июль 2021;834;0,0024;
август 2021;866;0,0023;
сентябрь 2021;934;0,0022;
октябрь 2021;980;0,0023;
ноябрь 2021;1 031;0,0023;
декабрь 2021;997;0,0022;
январь 2022;937;0,0022;
февраль 2022;1 315;0,0028;
март 2022;950;0,0021;
апрель 2022;958;0,0021;
май 2022;1 048;0,0026;
июнь 2022;888;0,0022;
июль 2022;1 056;0,0027;
август 2022;982;0,0022;
сентябрь 2022;980;0,0021;
октябрь 2022;949;0,0020;
ноябрь 2022;1 065;0,0023;
декабрь 2022;859;0,0018;
январь 2023;891;0,0021;
февраль 2023;969;0,0020;
март 2023;918;0,0021;
апрель 2023;777;0,0018;
май 2023;813;0,0021;
июнь 2023;842;0,0021;
июль 2023;829;0,0022;
август 2023;844;0,0021;
сентябрь 2023;799;0,0018;
октябрь 2023;958;0,0021;
ноябрь 2023;895;0,0020;
декабрь 2023;777;0,0017;
январь 2024;870;0,0020;
февраль 2024;897;0,0021;
март 2024;697;0,0017;
апрель 2024;965;0,0024;
май 2024;705;0,0020;
июнь 2024;680;0,0019;
июль 2024;667;0,0019;
август 2024;712;0,0019;
сентябрь 2024;747;0,0018;
октябрь 2024;798;0,0018;
ноябрь 2024;834;0,0019;
декабрь 2024;879;0,0020;
