Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;1 143;0,0030;
январь 2018;1 283;0,0034;
февраль 2018;1 421;0,0034;
март 2018;1 230;0,0032;
апрель 2018;1 250;0,0033;
май 2018;1 497;0,0046;
июнь 2018;1 319;0,0043;
июль 2018;1 147;0,0037;
август 2018;1 291;0,0034;
сентябрь 2018;1 453;0,0032;
октябрь 2018;1 383;0,0034;
ноябрь 2018;1 526;0,0038;
декабрь 2018;1 315;0,0031;
январь 2019;1 274;0,0032;
февраль 2019;1 197;0,0029;
март 2019;1 174;0,0029;
апрель 2019;1 065;0,0028;
май 2019;952;0,0029;
июнь 2019;999;0,0032;
июль 2019;1 010;0,0033;
август 2019;1 008;0,0029;
сентябрь 2019;1 112;0,0028;
октябрь 2019;1 110;0,0027;
ноябрь 2019;1 279;0,0031;
декабрь 2019;1 136;0,0027;
январь 2020;1 094;0,0027;
февраль 2020;1 310;0,0028;
март 2020;1 576;0,0027;
апрель 2020;1 534;0,0028;
май 2020;1 564;0,0039;
июнь 2020;1 160;0,0033;
июль 2020;1 127;0,0033;
август 2020;1 120;0,0028;
сентябрь 2020;1 241;0,0027;
октябрь 2020;1 334;0,0027;
ноябрь 2020;1 371;0,0029;
декабрь 2020;1 144;0,0024;
январь 2021;1 126;0,0025;
февраль 2021;1 276;0,0027;
март 2021;1 228;0,0025;
апрель 2021;1 244;0,0025;
май 2021;1 214;0,0027;
июнь 2021;1 067;0,0028;
июль 2021;1 176;0,0030;
август 2021;1 118;0,0023;
сентябрь 2021;1 290;0,0024;
октябрь 2021;1 229;0,0022;
ноябрь 2021;1 420;0,0025;
декабрь 2021;1 181;0,0021;
январь 2022;1 400;0,0025;
февраль 2022;1 854;0,0031;
март 2022;1 407;0,0024;
апрель 2022;1 339;0,0024;
май 2022;1 537;0,0033;
июнь 2022;1 197;0,0028;
июль 2022;1 200;0,0027;
август 2022;1 190;0,0023;
сентябрь 2022;1 305;0,0023;
октябрь 2022;1 283;0,0022;
ноябрь 2022;1 353;0,0023;
декабрь 2022;1 224;0,0021;
январь 2023;1 185;0,0022;
февраль 2023;1 354;0,0023;
март 2023;1 197;0,0021;
апрель 2023;1 115;0,0021;
май 2023;1 053;0,0023;
июнь 2023;1 095;0,0025;
июль 2023;1 054;0,0025;
август 2023;965;0,0020;
сентябрь 2023;1 110;0,0020;
октябрь 2023;1 126;0,0021;
ноябрь 2023;1 217;0,0022;
декабрь 2023;1 049;0,0019;
январь 2024;1 088;0,0021;
февраль 2024;1 079;0,0020;
март 2024;1 077;0,0021;
апрель 2024;1 125;0,0022;
май 2024;954;0,0024;
июнь 2024;943;0,0025;
июль 2024;815;0,0022;
август 2024;708;0,0016;
сентябрь 2024;1 110;0,0022;
октябрь 2024;966;0,0019;
ноябрь 2024;1 086;0,0020;
декабрь 2024;923;0,0018;
