Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;1 998;0,0027;
январь 2018;1 999;0,0028;
февраль 2018;2 207;0,0029;
март 2018;1 961;0,0028;
апрель 2018;1 961;0,0027;
май 2018;2 856;0,0045;
июнь 2018;2 724;0,0044;
июль 2018;2 012;0,0032;
август 2018;2 092;0,0027;
сентябрь 2018;2 372;0,0028;
октябрь 2018;2 311;0,0030;
ноябрь 2018;2 663;0,0034;
декабрь 2018;2 300;0,0029;
январь 2019;2 248;0,0028;
февраль 2019;2 155;0,0027;
март 2019;2 019;0,0026;
апрель 2019;1 913;0,0027;
май 2019;1 807;0,0027;
июнь 2019;1 836;0,0029;
июль 2019;1 834;0,0029;
август 2019;1 723;0,0023;
сентябрь 2019;1 879;0,0023;
октябрь 2019;1 981;0,0024;
ноябрь 2019;2 429;0,0028;
декабрь 2019;2 232;0,0025;
январь 2020;2 036;0,0023;
февраль 2020;2 205;0,0023;
март 2020;2 676;0,0023;
апрель 2020;2 396;0,0025;
май 2020;2 649;0,0031;
июнь 2020;2 175;0,0028;
июль 2020;2 163;0,0028;
август 2020;2 127;0,0024;
сентябрь 2020;2 263;0,0022;
октябрь 2020;2 445;0,0021;
ноябрь 2020;2 529;0,0023;
декабрь 2020;2 330;0,0023;
январь 2021;2 032;0,0021;
февраль 2021;2 320;0,0023;
март 2021;2 235;0,0021;
апрель 2021;2 109;0,0021;
май 2021;2 355;0,0024;
июнь 2021;2 550;0,0027;
июль 2021;2 490;0,0027;
август 2021;2 114;0,0020;
сентябрь 2021;2 398;0,0021;
октябрь 2021;2 284;0,0018;
ноябрь 2021;2 668;0,0022;
декабрь 2021;2 144;0,0018;
январь 2022;2 429;0,0019;
февраль 2022;3 323;0,0026;
март 2022;2 538;0,0021;
апрель 2022;2 424;0,0020;
май 2022;2 690;0,0025;
июнь 2022;2 532;0,0024;
июль 2022;2 572;0,0025;
август 2022;2 437;0,0020;
сентябрь 2022;2 388;0,0018;
октябрь 2022;2 357;0,0018;
ноябрь 2022;2 554;0,0019;
декабрь 2022;2 082;0,0016;
январь 2023;2 301;0,0019;
февраль 2023;2 325;0,0018;
март 2023;2 523;0,0020;
апрель 2023;2 163;0,0018;
май 2023;2 151;0,0020;
июнь 2023;2 295;0,0022;
июль 2023;2 058;0,0019;
август 2023;2 016;0,0017;
сентябрь 2023;2 471;0,0019;
октябрь 2023;2 136;0,0017;
ноябрь 2023;2 269;0,0017;
декабрь 2023;2 177;0,0017;
январь 2024;2 201;0,0018;
февраль 2024;2 332;0,0019;
март 2024;2 096;0,0017;
апрель 2024;2 359;0,0020;
май 2024;1 971;0,0020;
июнь 2024;2 013;0,0021;
июль 2024;1 992;0,0020;
август 2024;1 896;0,0017;
сентябрь 2024;2 087;0,0017;
октябрь 2024;1 953;0,0015;
ноябрь 2024;2 229;0,0017;
декабрь 2024;2 237;0,0018;
