Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;443;0,0024;
январь 2018;484;0,0027;
февраль 2018;490;0,0025;
март 2018;460;0,0028;
апрель 2018;458;0,0027;
май 2018;619;0,0038;
июнь 2018;621;0,0038;
июль 2018;550;0,0034;
август 2018;437;0,0025;
сентябрь 2018;522;0,0027;
октябрь 2018;559;0,0030;
ноябрь 2018;615;0,0032;
декабрь 2018;607;0,0030;
январь 2019;565;0,0029;
февраль 2019;596;0,0029;
март 2019;521;0,0027;
апрель 2019;525;0,0028;
май 2019;463;0,0028;
июнь 2019;504;0,0030;
июль 2019;460;0,0028;
август 2019;396;0,0023;
сентябрь 2019;434;0,0023;
октябрь 2019;441;0,0022;
ноябрь 2019;555;0,0026;
декабрь 2019;520;0,0023;
январь 2020;543;0,0025;
февраль 2020;607;0,0027;
март 2020;559;0,0020;
апрель 2020;681;0,0027;
май 2020;662;0,0031;
июнь 2020;565;0,0029;
июль 2020;613;0,0032;
август 2020;525;0,0026;
сентябрь 2020;511;0,0021;
октябрь 2020;582;0,0023;
ноябрь 2020;628;0,0025;
декабрь 2020;558;0,0023;
январь 2021;573;0,0025;
февраль 2021;641;0,0026;
март 2021;583;0,0024;
апрель 2021;628;0,0025;
май 2021;626;0,0026;
июнь 2021;645;0,0029;
июль 2021;579;0,0026;
август 2021;657;0,0027;
сентябрь 2021;670;0,0024;
октябрь 2021;753;0,0026;
ноябрь 2021;801;0,0027;
декабрь 2021;624;0,0020;
январь 2022;626;0,0021;
февраль 2022;976;0,0031;
март 2022;680;0,0023;
апрель 2022;847;0,0028;
май 2022;796;0,0029;
июнь 2022;767;0,0029;
июль 2022;702;0,0026;
август 2022;723;0,0026;
сентябрь 2022;742;0,0023;
октябрь 2022;779;0,0024;
ноябрь 2022;718;0,0021;
декабрь 2022;530;0,0016;
январь 2023;677;0,0022;
февраль 2023;648;0,0020;
март 2023;664;0,0022;
апрель 2023;577;0,0019;
май 2023;590;0,0022;
июнь 2023;560;0,0021;
июль 2023;601;0,0023;
август 2023;519;0,0018;
сентябрь 2023;562;0,0018;
октябрь 2023;726;0,0023;
ноябрь 2023;654;0,0020;
декабрь 2023;617;0,0018;
январь 2024;628;0,0021;
февраль 2024;645;0,0021;
март 2024;537;0,0019;
апрель 2024;633;0,0022;
май 2024;557;0,0022;
июнь 2024;551;0,0022;
июль 2024;517;0,0020;
август 2024;501;0,0019;
сентябрь 2024;494;0,0017;
октябрь 2024;565;0,0019;
ноябрь 2024;605;0,0019;
декабрь 2024;557;0,0018;
