Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Брянская область, все устройства
декабрь 2017;1 428;0,0029;
январь 2018;1 421;0,0029;
февраль 2018;1 658;0,0032;
март 2018;1 408;0,0031;
апрель 2018;1 387;0,0031;
май 2018;1 910;0,0044;
июнь 2018;1 943;0,0043;
июль 2018;1 576;0,0036;
август 2018;1 580;0,0032;
сентябрь 2018;1 792;0,0031;
октябрь 2018;1 591;0,0031;
ноябрь 2018;2 175;0,0041;
декабрь 2018;1 831;0,0032;
январь 2019;1 618;0,0030;
февраль 2019;1 653;0,0029;
март 2019;1 350;0,0026;
апрель 2019;1 431;0,0028;
май 2019;1 251;0,0028;
июнь 2019;1 391;0,0029;
июль 2019;1 347;0,0029;
август 2019;1 240;0,0025;
сентябрь 2019;1 421;0,0025;
октябрь 2019;1 443;0,0025;
ноябрь 2019;1 511;0,0025;
декабрь 2019;1 714;0,0028;
январь 2020;1 398;0,0024;
февраль 2020;1 556;0,0025;
март 2020;1 977;0,0024;
апрель 2020;1 979;0,0025;
май 2020;2 184;0,0036;
июнь 2020;1 793;0,0032;
июль 2020;1 645;0,0030;
август 2020;1 661;0,0028;
сентябрь 2020;1 571;0,0023;
октябрь 2020;1 712;0,0022;
ноябрь 2020;1 754;0,0025;
декабрь 2020;1 719;0,0024;
январь 2021;1 699;0,0026;
февраль 2021;1 842;0,0025;
март 2021;1 860;0,0025;
апрель 2021;1 833;0,0024;
май 2021;1 850;0,0026;
июнь 2021;1 930;0,0029;
июль 2021;1 950;0,0028;
август 2021;1 831;0,0024;
сентябрь 2021;1 842;0,0023;
октябрь 2021;1 936;0,0023;
ноябрь 2021;2 208;0,0026;
декабрь 2021;1 848;0,0021;
январь 2022;2 101;0,0025;
февраль 2022;2 642;0,0029;
март 2022;2 095;0,0024;
апрель 2022;1 800;0,0022;
май 2022;2 142;0,0029;
июнь 2022;1 902;0,0025;
июль 2022;2 008;0,0027;
август 2022;1 847;0,0022;
сентябрь 2022;1 850;0,0021;
октябрь 2022;1 889;0,0021;
ноябрь 2022;1 861;0,0021;
декабрь 2022;1 777;0,0020;
январь 2023;1 698;0,0020;
февраль 2023;1 984;0,0022;
март 2023;1 683;0,0021;
апрель 2023;1 574;0,0019;
май 2023;1 674;0,0023;
июнь 2023;1 855;0,0025;
июль 2023;1 810;0,0025;
август 2023;1 367;0,0018;
сентябрь 2023;1 548;0,0018;
октябрь 2023;1 791;0,0021;
ноябрь 2023;1 737;0,0021;
декабрь 2023;1 658;0,0019;
январь 2024;1 598;0,0019;
февраль 2024;1 830;0,0022;
март 2024;1 494;0,0019;
апрель 2024;1 564;0,0021;
май 2024;1 530;0,0023;
июнь 2024;1 494;0,0022;
июль 2024;1 415;0,0021;
август 2024;1 351;0,0019;
сентябрь 2024;1 780;0,0022;
октябрь 2024;1 546;0,0019;
ноябрь 2024;1 620;0,0019;
декабрь 2024;1 686;0,0020;
