Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;1 436;0,0030;
январь 2018;1 516;0,0032;
февраль 2018;1 497;0,0029;
март 2018;1 481;0,0032;
апрель 2018;1 328;0,0030;
май 2018;1 915;0,0047;
июнь 2018;1 810;0,0045;
июль 2018;1 603;0,0039;
август 2018;1 389;0,0029;
сентябрь 2018;1 675;0,0031;
октябрь 2018;1 765;0,0036;
ноябрь 2018;2 184;0,0044;
декабрь 2018;1 832;0,0036;
январь 2019;1 672;0,0034;
февраль 2019;1 654;0,0032;
март 2019;1 550;0,0032;
апрель 2019;1 323;0,0030;
май 2019;1 371;0,0034;
июнь 2019;1 301;0,0032;
июль 2019;1 256;0,0030;
август 2019;1 116;0,0025;
сентябрь 2019;1 345;0,0026;
октябрь 2019;1 503;0,0028;
ноябрь 2019;1 663;0,0030;
декабрь 2019;1 657;0,0028;
январь 2020;1 588;0,0027;
февраль 2020;1 650;0,0027;
март 2020;1 944;0,0025;
апрель 2020;1 927;0,0032;
май 2020;1 766;0,0031;
июнь 2020;1 644;0,0033;
июль 2020;1 578;0,0031;
август 2020;1 577;0,0026;
сентябрь 2020;1 662;0,0024;
октябрь 2020;1 808;0,0025;
ноябрь 2020;1 887;0,0026;
декабрь 2020;1 760;0,0026;
январь 2021;1 625;0,0025;
февраль 2021;1 694;0,0024;
март 2021;1 612;0,0024;
апрель 2021;1 553;0,0024;
май 2021;1 494;0,0024;
июнь 2021;1 556;0,0027;
июль 2021;1 733;0,0029;
август 2021;1 650;0,0024;
сентябрь 2021;1 844;0,0025;
октябрь 2021;1 845;0,0024;
ноябрь 2021;2 089;0,0026;
декабрь 2021;1 706;0,0022;
январь 2022;1 819;0,0022;
февраль 2022;2 452;0,0029;
март 2022;1 776;0,0023;
апрель 2022;1 706;0,0022;
май 2022;1 837;0,0027;
июнь 2022;1 784;0,0026;
июль 2022;1 763;0,0027;
август 2022;1 607;0,0021;
сентябрь 2022;1 786;0,0022;
октябрь 2022;1 784;0,0021;
ноябрь 2022;1 757;0,0021;
декабрь 2022;1 574;0,0019;
январь 2023;1 474;0,0019;
февраль 2023;1 751;0,0021;
март 2023;1 525;0,0020;
апрель 2023;1 461;0,0019;
май 2023;1 412;0,0021;
июнь 2023;1 592;0,0024;
июль 2023;1 503;0,0023;
август 2023;1 340;0,0019;
сентябрь 2023;1 504;0,0019;
октябрь 2023;1 664;0,0021;
ноябрь 2023;1 514;0,0019;
декабрь 2023;1 398;0,0017;
январь 2024;1 381;0,0019;
февраль 2024;1 421;0,0018;
март 2024;1 355;0,0019;
апрель 2024;1 450;0,0021;
май 2024;1 285;0,0021;
июнь 2024;1 353;0,0022;
июль 2024;1 349;0,0022;
август 2024;1 228;0,0019;
сентябрь 2024;1 425;0,0019;
октябрь 2024;1 497;0,0019;
ноябрь 2024;1 634;0,0020;
декабрь 2024;1 454;0,0018;
