Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;428;0,0032;
январь 2018;417;0,0032;
февраль 2018;442;0,0031;
март 2018;394;0,0030;
апрель 2018;386;0,0029;
май 2018;558;0,0046;
июнь 2018;522;0,0043;
июль 2018;473;0,0039;
август 2018;396;0,0030;
сентябрь 2018;453;0,0029;
октябрь 2018;444;0,0030;
ноябрь 2018;545;0,0038;
декабрь 2018;417;0,0028;
январь 2019;422;0,0029;
февраль 2019;462;0,0030;
март 2019;431;0,0030;
апрель 2019;396;0,0030;
май 2019;359;0,0029;
июнь 2019;324;0,0027;
июль 2019;292;0,0024;
август 2019;399;0,0031;
сентябрь 2019;379;0,0024;
октябрь 2019;419;0,0027;
ноябрь 2019;477;0,0028;
декабрь 2019;467;0,0027;
январь 2020;454;0,0026;
февраль 2020;483;0,0025;
март 2020;652;0,0028;
апрель 2020;610;0,0028;
май 2020;548;0,0030;
июнь 2020;456;0,0028;
июль 2020;498;0,0031;
август 2020;463;0,0027;
сентябрь 2020;488;0,0024;
октябрь 2020;528;0,0025;
ноябрь 2020;515;0,0025;
декабрь 2020;475;0,0023;
январь 2021;434;0,0023;
февраль 2021;553;0,0027;
март 2021;596;0,0027;
апрель 2021;501;0,0023;
май 2021;519;0,0026;
июнь 2021;502;0,0027;
июль 2021;599;0,0029;
август 2021;519;0,0024;
сентябрь 2021;609;0,0026;
октябрь 2021;526;0,0022;
ноябрь 2021;624;0,0025;
декабрь 2021;443;0,0018;
январь 2022;566;0,0023;
февраль 2022;807;0,0030;
март 2022;586;0,0022;
апрель 2022;600;0,0024;
май 2022;646;0,0028;
июнь 2022;618;0,0028;
июль 2022;538;0,0024;
август 2022;571;0,0023;
сентябрь 2022;576;0,0021;
октябрь 2022;606;0,0021;
ноябрь 2022;642;0,0023;
декабрь 2022;551;0,0020;
январь 2023;528;0,0021;
февраль 2023;619;0,0022;
март 2023;538;0,0020;
апрель 2023;534;0,0021;
май 2023;535;0,0024;
июнь 2023;563;0,0026;
июль 2023;464;0,0021;
август 2023;479;0,0021;
сентябрь 2023;487;0,0019;
октябрь 2023;475;0,0018;
ноябрь 2023;454;0,0017;
декабрь 2023;471;0,0018;
январь 2024;472;0,0019;
февраль 2024;536;0,0021;
март 2024;505;0,0021;
апрель 2024;512;0,0021;
май 2024;484;0,0023;
июнь 2024;440;0,0021;
июль 2024;437;0,0021;
август 2024;406;0,0019;
сентябрь 2024;558;0,0023;
октябрь 2024;490;0,0019;
ноябрь 2024;535;0,0020;
декабрь 2024;479;0,0018;
