Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;1 279;0,0035;
январь 2018;1 313;0,0037;
февраль 2018;1 492;0,0039;
март 2018;1 403;0,0039;
апрель 2018;1 222;0,0035;
май 2018;1 730;0,0058;
июнь 2018;1 494;0,0055;
июль 2018;1 331;0,0046;
август 2018;1 348;0,0038;
сентябрь 2018;1 765;0,0043;
октябрь 2018;1 594;0,0043;
ноябрь 2018;1 805;0,0050;
декабрь 2018;1 381;0,0037;
январь 2019;1 336;0,0038;
февраль 2019;1 310;0,0035;
март 2019;1 221;0,0034;
апрель 2019;1 212;0,0036;
май 2019;1 250;0,0043;
июнь 2019;1 062;0,0038;
июль 2019;1 099;0,0039;
август 2019;1 127;0,0034;
сентябрь 2019;1 235;0,0032;
октябрь 2019;1 243;0,0032;
ноябрь 2019;1 515;0,0038;
декабрь 2019;1 337;0,0032;
январь 2020;1 285;0,0032;
февраль 2020;1 557;0,0035;
март 2020;1 792;0,0030;
апрель 2020;1 885;0,0036;
май 2020;1 596;0,0042;
июнь 2020;1 387;0,0041;
июль 2020;1 361;0,0041;
август 2020;1 316;0,0033;
сентябрь 2020;1 420;0,0031;
октябрь 2020;1 562;0,0033;
ноябрь 2020;1 613;0,0035;
декабрь 2020;1 301;0,0029;
январь 2021;1 343;0,0032;
февраль 2021;1 422;0,0031;
март 2021;1 483;0,0030;
апрель 2021;1 708;0,0033;
май 2021;1 482;0,0035;
июнь 2021;1 271;0,0036;
июль 2021;1 200;0,0032;
август 2021;1 403;0,0030;
сентябрь 2021;1 487;0,0028;
октябрь 2021;1 662;0,0031;
ноябрь 2021;1 760;0,0032;
декабрь 2021;1 464;0,0026;
январь 2022;1 583;0,0029;
февраль 2022;2 469;0,0041;
март 2022;1 834;0,0032;
апрель 2022;1 644;0,0029;
май 2022;1 742;0,0037;
июнь 2022;1 573;0,0036;
июль 2022;1 478;0,0034;
август 2022;1 561;0,0030;
сентябрь 2022;1 581;0,0027;
октябрь 2022;1 523;0,0026;
ноябрь 2022;1 497;0,0025;
декабрь 2022;1 257;0,0021;
январь 2023;1 398;0,0026;
февраль 2023;1 538;0,0026;
март 2023;1 512;0,0027;
апрель 2023;1 290;0,0024;
май 2023;1 174;0,0026;
июнь 2023;1 124;0,0027;
июль 2023;1 135;0,0028;
август 2023;1 208;0,0025;
сентябрь 2023;1 265;0,0023;
октябрь 2023;1 260;0,0023;
ноябрь 2023;1 350;0,0024;
декабрь 2023;1 115;0,0020;
январь 2024;1 334;0,0025;
февраль 2024;1 252;0,0023;
март 2024;1 272;0,0024;
апрель 2024;1 173;0,0023;
май 2024;1 084;0,0027;
июнь 2024;982;0,0026;
июль 2024;1 031;0,0027;
август 2024;855;0,0019;
сентябрь 2024;1 040;0,0020;
октябрь 2024;1 174;0,0022;
ноябрь 2024;1 241;0,0023;
декабрь 2024;1 050;0,0019;
