Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;2 185;0,0030;
январь 2018;2 178;0,0031;
февраль 2018;2 326;0,0031;
март 2018;1 948;0,0029;
апрель 2018;1 963;0,0030;
май 2018;2 804;0,0047;
июнь 2018;2 487;0,0043;
июль 2018;2 113;0,0035;
август 2018;2 170;0,0031;
сентябрь 2018;2 479;0,0031;
октябрь 2018;2 383;0,0032;
ноябрь 2018;2 797;0,0038;
декабрь 2018;2 594;0,0034;
январь 2019;2 258;0,0031;
февраль 2019;2 443;0,0032;
март 2019;1 966;0,0027;
апрель 2019;1 914;0,0029;
май 2019;1 920;0,0032;
июнь 2019;1 754;0,0029;
июль 2019;1 921;0,0031;
август 2019;1 862;0,0028;
сентябрь 2019;2 029;0,0027;
октябрь 2019;2 109;0,0027;
ноябрь 2019;2 460;0,0030;
декабрь 2019;2 380;0,0028;
январь 2020;2 273;0,0027;
февраль 2020;2 305;0,0026;
март 2020;2 842;0,0023;
апрель 2020;2 884;0,0027;
май 2020;2 612;0,0031;
июнь 2020;2 366;0,0031;
июль 2020;2 540;0,0032;
август 2020;2 260;0,0024;
сентябрь 2020;2 676;0,0025;
октябрь 2020;3 208;0,0026;
ноябрь 2020;2 979;0,0027;
декабрь 2020;2 651;0,0026;
январь 2021;2 443;0,0025;
февраль 2021;2 749;0,0026;
март 2021;2 525;0,0024;
апрель 2021;2 311;0,0023;
май 2021;2 548;0,0027;
июнь 2021;2 457;0,0028;
июль 2021;2 565;0,0029;
август 2021;2 370;0,0022;
сентябрь 2021;2 499;0,0020;
октябрь 2021;2 617;0,0022;
ноябрь 2021;3 008;0,0024;
декабрь 2021;2 662;0,0022;
январь 2022;2 785;0,0023;
февраль 2022;3 534;0,0027;
март 2022;2 691;0,0022;
апрель 2022;2 471;0,0020;
май 2022;2 800;0,0026;
июнь 2022;2 792;0,0028;
июль 2022;2 716;0,0027;
август 2022;2 572;0,0022;
сентябрь 2022;2 596;0,0020;
октябрь 2022;2 786;0,0021;
ноябрь 2022;2 701;0,0020;
декабрь 2022;2 292;0,0017;
январь 2023;2 457;0,0020;
февраль 2023;2 646;0,0020;
март 2023;2 363;0,0020;
апрель 2023;2 178;0,0018;
май 2023;2 199;0,0021;
июнь 2023;2 371;0,0023;
июль 2023;2 439;0,0024;
август 2023;2 199;0,0019;
сентябрь 2023;2 352;0,0018;
октябрь 2023;2 566;0,0020;
ноябрь 2023;2 481;0,0019;
декабрь 2023;2 343;0,0018;
январь 2024;2 301;0,0019;
февраль 2024;2 401;0,0020;
март 2024;2 018;0,0018;
апрель 2024;2 240;0,0020;
май 2024;1 939;0,0021;
июнь 2024;2 021;0,0022;
июль 2024;1 982;0,0021;
август 2024;1 885;0,0019;
сентябрь 2024;2 197;0,0019;
октябрь 2024;2 125;0,0018;
ноябрь 2024;2 255;0,0018;
декабрь 2024;2 289;0,0019;
