Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;909;0,0026;
январь 2018;1 029;0,0030;
февраль 2018;1 107;0,0029;
март 2018;907;0,0027;
апрель 2018;942;0,0029;
май 2018;1 311;0,0044;
июнь 2018;1 298;0,0042;
июль 2018;1 007;0,0033;
август 2018;1 038;0,0029;
сентябрь 2018;1 122;0,0027;
октябрь 2018;1 171;0,0031;
ноябрь 2018;1 336;0,0035;
декабрь 2018;1 194;0,0029;
январь 2019;1 109;0,0028;
февраль 2019;1 058;0,0025;
март 2019;893;0,0024;
апрель 2019;897;0,0025;
май 2019;894;0,0028;
июнь 2019;1 021;0,0030;
июль 2019;971;0,0029;
август 2019;906;0,0025;
сентябрь 2019;1 013;0,0025;
октябрь 2019;1 036;0,0025;
ноябрь 2019;1 104;0,0025;
декабрь 2019;1 167;0,0026;
январь 2020;1 106;0,0025;
февраль 2020;1 161;0,0025;
март 2020;1 275;0,0021;
апрель 2020;1 618;0,0031;
май 2020;1 282;0,0031;
июнь 2020;1 176;0,0030;
июль 2020;1 162;0,0030;
август 2020;1 097;0,0025;
сентябрь 2020;1 219;0,0024;
октябрь 2020;1 199;0,0022;
ноябрь 2020;1 345;0,0025;
декабрь 2020;1 324;0,0026;
январь 2021;1 122;0,0022;
февраль 2021;1 366;0,0024;
март 2021;1 341;0,0024;
апрель 2021;1 208;0,0022;
май 2021;1 225;0,0024;
июнь 2021;1 240;0,0026;
июль 2021;1 310;0,0027;
август 2021;1 223;0,0022;
сентябрь 2021;1 455;0,0023;
октябрь 2021;1 431;0,0022;
ноябрь 2021;1 412;0,0021;
декабрь 2021;1 330;0,0020;
январь 2022;1 307;0,0020;
февраль 2022;1 910;0,0027;
март 2022;1 345;0,0021;
апрель 2022;1 222;0,0019;
май 2022;1 538;0,0027;
июнь 2022;1 681;0,0030;
июль 2022;1 669;0,0030;
август 2022;1 473;0,0023;
сентябрь 2022;1 481;0,0021;
октябрь 2022;1 629;0,0023;
ноябрь 2022;1 683;0,0024;
декабрь 2022;1 401;0,0020;
январь 2023;1 402;0,0022;
февраль 2023;1 601;0,0023;
март 2023;1 228;0,0019;
апрель 2023;1 187;0,0019;
май 2023;1 182;0,0021;
июнь 2023;1 232;0,0022;
июль 2023;1 304;0,0024;
август 2023;1 080;0,0018;
сентябрь 2023;1 234;0,0018;
октябрь 2023;1 297;0,0020;
ноябрь 2023;1 250;0,0019;
декабрь 2023;1 121;0,0016;
январь 2024;1 035;0,0016;
февраль 2024;1 185;0,0018;
март 2024;1 622;0,0028;
апрель 2024;1 201;0,0021;
май 2024;994;0,0020;
июнь 2024;1 127;0,0022;
июль 2024;955;0,0019;
август 2024;964;0,0018;
сентябрь 2024;1 029;0,0017;
октябрь 2024;1 035;0,0016;
ноябрь 2024;1 200;0,0018;
декабрь 2024;1 228;0,0018;
