Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;2 412;0,0025;
январь 2018;2 602;0,0027;
февраль 2018;2 520;0,0025;
март 2018;2 359;0,0025;
апрель 2018;2 346;0,0025;
май 2018;3 285;0,0041;
июнь 2018;3 117;0,0038;
июль 2018;2 563;0,0031;
август 2018;2 459;0,0025;
сентябрь 2018;2 875;0,0025;
октябрь 2018;3 099;0,0030;
ноябрь 2018;3 660;0,0035;
декабрь 2018;3 027;0,0029;
январь 2019;2 870;0,0027;
февраль 2019;2 750;0,0025;
март 2019;2 726;0,0026;
апрель 2019;2 333;0,0024;
май 2019;2 295;0,0026;
июнь 2019;2 234;0,0026;
июль 2019;2 299;0,0027;
август 2019;2 250;0,0023;
сентябрь 2019;2 534;0,0023;
октябрь 2019;2 635;0,0023;
ноябрь 2019;2 666;0,0022;
декабрь 2019;2 901;0,0024;
январь 2020;2 573;0,0022;
февраль 2020;2 819;0,0022;
март 2020;3 592;0,0022;
апрель 2020;3 250;0,0023;
май 2020;3 183;0,0028;
июнь 2020;2 953;0,0028;
июль 2020;2 852;0,0026;
август 2020;2 720;0,0022;
сентябрь 2020;3 031;0,0021;
октябрь 2020;3 116;0,0019;
ноябрь 2020;3 529;0,0024;
декабрь 2020;2 878;0,0020;
январь 2021;2 843;0,0021;
февраль 2021;3 287;0,0023;
март 2021;3 235;0,0022;
апрель 2021;3 016;0,0022;
май 2021;3 085;0,0024;
июнь 2021;3 179;0,0026;
июль 2021;3 404;0,0027;
август 2021;2 827;0,0021;
сентябрь 2021;2 976;0,0020;
октябрь 2021;3 115;0,0020;
ноябрь 2021;3 516;0,0021;
декабрь 2021;3 047;0,0019;
январь 2022;3 332;0,0021;
февраль 2022;4 163;0,0025;
март 2022;3 219;0,0020;
апрель 2022;2 842;0,0019;
май 2022;3 208;0,0023;
июнь 2022;2 973;0,0022;
июль 2022;3 055;0,0022;
август 2022;3 216;0,0021;
сентябрь 2022;3 298;0,0020;
октябрь 2022;3 344;0,0019;
ноябрь 2022;3 199;0,0018;
декабрь 2022;2 816;0,0016;
январь 2023;2 857;0,0018;
февраль 2023;3 132;0,0018;
март 2023;3 136;0,0019;
апрель 2023;2 754;0,0017;
май 2023;2 581;0,0019;
июнь 2023;2 675;0,0020;
июль 2023;2 966;0,0022;
август 2023;2 652;0,0018;
сентябрь 2023;2 823;0,0017;
октябрь 2023;2 965;0,0018;
ноябрь 2023;2 882;0,0017;
декабрь 2023;2 757;0,0017;
январь 2024;2 663;0,0017;
февраль 2024;2 761;0,0017;
март 2024;2 952;0,0019;
апрель 2024;2 859;0,0020;
май 2024;2 410;0,0020;
июнь 2024;2 428;0,0020;
июль 2024;2 379;0,0020;
август 2024;2 364;0,0017;
сентябрь 2024;2 606;0,0017;
октябрь 2024;2 808;0,0017;
ноябрь 2024;3 350;0,0020;
декабрь 2024;2 720;0,0017;
