Country,Code,ContinentCode,Year,Month,Private sector credit billion currency units,Business credit billion currency units,Household credit billion currency units,Mortgage credit billion currency units,Consumer credit billion currency units,Consumer Price Index (CPI),Money supply billion currency units,Bank deposit interest rate percent,Mortgage credit interest rate percent,Business credit interest rate percent,Foreign exchange reserves billion currency units,Inflation monthly percent change in the CPI,Inflation annual percent change in the CPI,USD Exchange rate,Policy rate percent,Debt service ratios for private non-financial sector,Household debt to GDP in percent,Stock market index,Long-term interest rate
Kyrgyzstan,KGZ,AS,1993,1,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,2,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,3,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,4,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,5,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,6,,,,,,,0.45,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,7,,,,,,,0.48,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,8,,,,,,,0.5,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,9,,,,,,,0.57,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,10,,,,,,,0.63,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,11,,,,,,,0.61,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1993,12,,,,,,,0.63,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,1,,,,,,,0.68,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,2,,,,,,,0.82,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,3,,,,,,,0.77,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,4,,,,,,,0.87,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,5,,,,,,,0.91,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,6,,,,,,,1.01,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,7,,,,,,,1.12,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,8,,,,,,,1.19,,,,,,,,,,,,
Kyrgyzstan,KGZ,AS,1994,9,,,,,,,1.23,,,,,,,,,,,,
