Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;31;0,00000266;
июнь 2018;12;0,00000100;
июль 2018;33;0,00000277;
август 2018;22;0,00000159;
сентябрь 2018;24;0,00000151;
октябрь 2018;13;0,00000087;
ноябрь 2018;24;0,00000161;
декабрь 2018;18;0,00000119;
январь 2019;28;0,00000200;
февраль 2019;34;0,00000238;
март 2019;38;0,00000281;
апрель 2019;22;0,00000171;
май 2019;30;0,00000251;
июнь 2019;34;0,00000270;
июль 2019;24;0,00000204;
август 2019;45;0,00000339;
сентябрь 2019;17;0,00000114;
октябрь 2019;16;0,00000111;
ноябрь 2019;20;0,00000134;
декабрь 2019;11;0,00000073;
январь 2020;11;0,00000074;
февраль 2020;17;0,00000108;
март 2020;4;0,00000023;
апрель 2020;11;0,00000069;
май 2020;24;0,00000171;
июнь 2020;13;0,00000095;
июль 2020;17;0,00000126;
август 2020;7;0,00000045;
сентябрь 2020;3;0,00000017;
октябрь 2020;4;0,00000021;
ноябрь 2020;24;0,00000135;
декабрь 2020;13;0,00000080;
январь 2021;7;0,00000044;
февраль 2021;11;0,00000063;
март 2021;9;0,00000053;
апрель 2021;13;0,00000085;
май 2021;21;0,00000141;
июнь 2021;5;0,00000030;
июль 2021;6;0,00000035;
август 2021;16;0,00000093;
сентябрь 2021;7;0,00000040;
октябрь 2021;6;0,00000036;
ноябрь 2021;10;0,00000058;
декабрь 2021;7;0,00000040;
январь 2022;4;0,00000022;
февраль 2022;24;0,00000132;
март 2022;33;0,00000196;
апрель 2022;32;0,00000180;
май 2022;28;0,00000182;
июнь 2022;27;0,00000188;
июль 2022;20;0,00000129;
август 2022;51;0,00000297;
сентябрь 2022;38;0,00000227;
октябрь 2022;155;0,00000921;
ноябрь 2022;82;0,00000499;
декабрь 2022;62;0,00000403;
январь 2023;51;0,00000351;
февраль 2023;139;0,00000861;
март 2023;87;0,00000603;
апрель 2023;64;0,00000451;
май 2023;72;0,00000556;
июнь 2023;64;0,00000525;
июль 2023;86;0,00000705;
август 2023;80;0,00000586;
сентябрь 2023;66;0,00000421;
октябрь 2023;71;0,00000475;
ноябрь 2023;61;0,00000402;
декабрь 2023;56;0,00000352;
январь 2024;60;0,00000423;
февраль 2024;86;0,00000575;
март 2024;76;0,00000549;
апрель 2024;77;0,00000558;
май 2024;89;0,00000758;
июнь 2024;83;0,00000741;
июль 2024;160;0,00001414;
август 2024;220;0,00001772;
сентябрь 2024;140;0,00000988;
октябрь 2024;146;0,00000967;
ноябрь 2024;139;0,00000910;
декабрь 2024;121;0,00000827;
