Region,Year,Jumush,Rabota
Kemerovo Oblast,2024,31,10133687
Khabarovsk Krai,2017,17,466855
Khabarovsk Krai,2018,941,5020024
Khabarovsk Krai,2019,428,4419701
Khabarovsk Krai,2020,42,5425152
Khabarovsk Krai,2021,14,5847099
Khabarovsk Krai,2022,37,6023927
Khabarovsk Krai,2023,69,5526967
Khabarovsk Krai,2024,27,4742727
Khanty-Mansi Autonomous Okrug — Yugra,2017,27,549380
Khanty-Mansi Autonomous Okrug — Yugra,2018,154,6332068
Khanty-Mansi Autonomous Okrug — Yugra,2019,92,6742578
Khanty-Mansi Autonomous Okrug — Yugra,2020,89,8819603
Khanty-Mansi Autonomous Okrug — Yugra,2021,126,9634484
Khanty-Mansi Autonomous Okrug — Yugra,2022,76,9670810
Khanty-Mansi Autonomous Okrug — Yugra,2023,71,8895189
Khanty-Mansi Autonomous Okrug — Yugra,2024,52,7964316
Kirov Oblast,2017,5,406618
Kirov Oblast,2018,15,4576347
Kirov Oblast,2019,26,4858391
Kirov Oblast,2020,11,6088805
Kirov Oblast,2021,12,6617300
Kirov Oblast,2022,4,6723353
Kirov Oblast,2023,4,6185921
Kirov Oblast,2024,8,5317128
Komi Republic,2017,3,294456
Komi Republic,2018,67,3403950
Komi Republic,2019,22,3510784
Komi Republic,2020,19,4112270
Komi Republic,2021,42,4707682
Komi Republic,2022,29,4742179
Komi Republic,2023,39,4473415
Komi Republic,2024,12,3882670
Kostroma Oblast,2017,0,199685
Kostroma Oblast,2018,36,2304373
Kostroma Oblast,2019,6,2442593
Kostroma Oblast,2020,12,3121124
Kostroma Oblast,2021,18,3532740
Kostroma Oblast,2022,13,3627523
Kostroma Oblast,2023,8,3236792
Kostroma Oblast,2024,2,2827370
Krasnodar Krai,2017,32,1859324
Krasnodar Krai,2018,265,21734240
Krasnodar Krai,2019,299,23925779
Krasnodar Krai,2020,230,29390919
Krasnodar Krai,2021,280,30422605
Krasnodar Krai,2022,279,29923989
Krasnodar Krai,2023,183,27244037
Krasnodar Krai,2024,132,24032147
Krasnoyarsk Krai,2017,76,949992
Krasnoyarsk Krai,2018,297,10724578
Krasnoyarsk Krai,2019,421,11363874
Krasnoyarsk Krai,2020,253,14911638
Krasnoyarsk Krai,2021,252,16081328
Krasnoyarsk Krai,2022,293,16203244
Krasnoyarsk Krai,2023,294,15220152
Krasnoyarsk Krai,2024,199,12974269
Kurgan Oblast,2017,4,237247
Kurgan Oblast,2018,38,2722843
Kurgan Oblast,2019,7,2834415
Kurgan Oblast,2020,4,3649142
Kurgan Oblast,2021,17,4003824
Kurgan Oblast,2022,11,4018182
Kurgan Oblast,2023,4,3565995
Kurgan Oblast,2024,0,2987650
Kursk Oblast,2017,4,365445
Kursk Oblast,2018,22,4260465
Kursk Oblast,2019,20,4526082
Kursk Oblast,2020,26,5801443
Kursk Oblast,2021,77,6797140
Kursk Oblast,2022,31,6836987
Kursk Oblast,2023,17,6142340
Kursk Oblast,2024,11,5399040
Leningrad Oblast,2017,2,440655
Leningrad Oblast,2018,260,5323830
Leningrad Oblast,2019,313,6722331
Leningrad Oblast,2020,168,8611143
Leningrad Oblast,2021,250,10697701
Leningrad Oblast,2022,247,12042054
Leningrad Oblast,2023,105,10632275
Leningrad Oblast,2024,108,9399787
Lipetsk Oblast,2017,3,398458
Lipetsk Oblast,2018,23,4429562
Lipetsk Oblast,2019,40,4673309
Lipetsk Oblast,2020,32,5679962
Lipetsk Oblast,2021,77,6594795
Lipetsk Oblast,2022,54,6652597
Lipetsk Oblast,2023,10,5974948
Lipetsk Oblast,2024,70,5109042
Magadan District,2017,0,22922
Magadan District,2018,11,283760
Magadan District,2019,0,326832
Magadan District,2020,1,446124
Magadan District,2021,3,528996
Magadan District,2022,5,573915
Magadan District,2023,3,546031
Magadan District,2024,8,483969
Mari El Republic,2017,0,168507
Mari El Republic,2018,6,1791360
Mari El Republic,2019,5,1938763
Mari El Republic,2020,7,2583045
Mari El Republic,2021,4,2863380
Mari El Republic,2022,6,2973010
Mari El Republic,2023,3,2701230
Mari El Republic,2024,2,2326639
Moscow,2017,115079,8881759
Moscow,2018,842062,103534642
Moscow,2019,646459,105017851
Moscow,2020,412307,117164215
Moscow,2021,317239,118881152
Moscow,2022,183815,104506625
Moscow,2023,69424,77623102
Moscow,2024,51833,68557194
Moscow Oblast,2017,6612,3735871
Moscow Oblast,2018,56489,42212831
Moscow Oblast,2019,49603,47695351
Moscow Oblast,2020,30021,57469695
Moscow Oblast,2021,30087,65379991
Moscow Oblast,2022,20813,69461367
Moscow Oblast,2023,9151,55688731
Moscow Oblast,2024,6782,47923865
Murmansk Oblast,2017,3,282333
Murmansk Oblast,2018,21,3198000
Murmansk Oblast,2019,15,3290674
Murmansk Oblast,2020,21,4005877
Murmansk Oblast,2021,63,4511449
Murmansk Oblast,2022,71,4612048
Murmansk Oblast,2023,23,4180301
Murmansk Oblast,2024,17,3686521
Nizhny Novgorod Oblast',2017,9,1887795
Nizhny Novgorod Oblast',2018,410,18788085
Nizhny Novgorod Oblast',2019,476,20606615
Nizhny Novgorod Oblast',2020,384,23849780
Nizhny Novgorod Oblast',2021,679,24464184
Nizhny Novgorod Oblast',2022,430,24560016
Nizhny Novgorod Oblast',2023,105,20670960
Nizhny Novgorod Oblast',2024,150,17477654
Novgorod Oblast,2017,0,225359
Novgorod Oblast,2018,24,2410044
Novgorod Oblast,2019,9,2546199
Novgorod Oblast,2020,19,3040229
Novgorod Oblast,2021,45,3465536
Novgorod Oblast,2022,12,3627552
Novgorod Oblast,2023,3,3206084
Novgorod Oblast,2024,9,2798905
Novosibirsk Oblast,2017,97,1396701
Novosibirsk Oblast,2018,1313,16454251
Novosibirsk Oblast,2019,1928,17337852
Novosibirsk Oblast,2020,1017,19568893
Novosibirsk Oblast,2021,789,19540332
Novosibirsk Oblast,2022,587,19019058
Novosibirsk Oblast,2023,311,16591301
Novosibirsk Oblast,2024,283,14459155
Omsk Oblast,2017,1,651355
Omsk Oblast,2018,90,6995168
Omsk Oblast,2019,181,7289515
Omsk Oblast,2020,119,8986451
Omsk Oblast,2021,81,9686720
Omsk Oblast,2022,55,9652118
Omsk Oblast,2023,59,8486989
Omsk Oblast,2024,23,7326663
Orenburg Oblast,2017,2,575983
Orenburg Oblast,2018,47,6397212
Orenburg Oblast,2019,20,6908174
Orenburg Oblast,2020,14,9414988
Orenburg Oblast,2021,15,10775033
Orenburg Oblast,2022,34,11142418
Orenburg Oblast,2023,22,10267500
Orenburg Oblast,2024,32,8825368
Oryol Oblast,2017,1,294294
Oryol Oblast,2018,20,3343889
Oryol Oblast,2019,12,3590795
Oryol Oblast,2020,9,4242775
Oryol Oblast,2021,31,5096024
Oryol Oblast,2022,23,5054724
Oryol Oblast,2023,11,4506332
Oryol Oblast,2024,11,3848893
Penza Oblast,2017,3,406141
Penza Oblast,2018,31,4364886
Penza Oblast,2019,30,4772548
Penza Oblast,2020,3,6274334
Penza Oblast,2021,22,7035764
Penza Oblast,2022,28,7105093
Penza Oblast,2023,43,6400444
Penza Oblast,2024,19,5621113
Perm Krai,2017,8,866207
Perm Krai,2018,106,9449660
Perm Krai,2019,154,9470633
Perm Krai,2020,100,11594717
Perm Krai,2021,91,13156612
Perm Krai,2022,46,13612162
Perm Krai,2023,38,12297862
Perm Krai,2024,98,10865885
Primorsky Krai,2017,6,412050
Primorsky Krai,2018,147,4816972
Primorsky Krai,2019,542,6547718
Primorsky Krai,2020,156,7226702
Primorsky Krai,2021,152,7574974
Primorsky Krai,2022,93,8039183
Primorsky Krai,2023,43,7379686
Primorsky Krai,2024,109,6428926
Pskov Oblast,2017,1,163760
Pskov Oblast,2018,11,1897197
Pskov Oblast,2019,19,2026484
Pskov Oblast,2020,38,2538684
Pskov Oblast,2021,7,3050415
Pskov Oblast,2022,13,3230086
Pskov Oblast,2023,5,2910935
Pskov Oblast,2024,6,2543764
Republic of Adygea,2017,0,60469
Republic of Adygea,2018,3,770831
Republic of Adygea,2019,63,1004016
Republic of Adygea,2020,6,1323097
Republic of Adygea,2021,4,1621901
Republic of Adygea,2022,9,1814625
Republic of Adygea,2023,5,1665805
Republic of Adygea,2024,4,1457419
Republic of Bashkortostan,2017,0,1343610
Republic of Bashkortostan,2018,75,14536015
Republic of Bashkortostan,2019,164,15683656
Republic of Bashkortostan,2020,78,20762948
Republic of Bashkortostan,2021,86,22265607
Republic of Bashkortostan,2022,34,22360733
Republic of Bashkortostan,2023,65,20067507
Republic of Bashkortostan,2024,83,17243635
Republic of Buryatia,2017,0,175562
Republic of Buryatia,2018,10,1975407
Republic of Buryatia,2019,15,2108128
Republic of Buryatia,2020,3,2888173
Republic of Buryatia,2021,9,3313994
Republic of Buryatia,2022,3,3590471
Republic of Buryatia,2023,15,3344430
Republic of Buryatia,2024,1,2921135
Republic of Dagestan,2017,4,265297
Republic of Dagestan,2018,30,3298782
Republic of Dagestan,2019,8,3697223
Republic of Dagestan,2020,21,4795979
Republic of Dagestan,2021,14,5214318
Republic of Dagestan,2022,36,5733170
Republic of Dagestan,2023,8,5204262
Republic of Dagestan,2024,1465,4497273
Republic of Ingushetia,2017,0,21312
Republic of Ingushetia,2018,3,280542
Republic of Ingushetia,2019,0,339544
Republic of Ingushetia,2020,3,450551
Republic of Ingushetia,2021,14,555305
Republic of Ingushetia,2022,3,644875
Republic of Ingushetia,2023,1,620207
Republic of Ingushetia,2024,0,544540
Republic of Kalmykia,2017,0,46971
Republic of Kalmykia,2018,6,527317
Republic of Kalmykia,2019,8,566762
Republic of Kalmykia,2020,0,745510
Republic of Kalmykia,2021,6,914575
Republic of Kalmykia,2022,4,995600
Republic of Kalmykia,2023,1,886418
Republic of Kalmykia,2024,4,802874
Republic of Karelia,2017,0,176139
Republic of Karelia,2018,7,1948967
Republic of Karelia,2019,2,2110622
Republic of Karelia,2020,0,2569724
Republic of Karelia,2021,9,2947731
Republic of Karelia,2022,13,3140893
Republic of Karelia,2023,7,2890653
Republic of Karelia,2024,4,2558890
Republic of Khakassia,2017,1,155111
Republic of Khakassia,2018,19,1785137
Republic of Khakassia,2019,25,1903169
Republic of Khakassia,2020,9,2534210
Republic of Khakassia,2021,16,2683843
Republic of Khakassia,2022,19,2762821
Republic of Khakassia,2023,7,2612674
Republic of Khakassia,2024,14,2295111
Republic of Mordovia,2017,1,226823
Republic of Mordovia,2018,12,2518529
Republic of Mordovia,2019,24,2681518
Republic of Mordovia,2020,28,3567190
Republic of Mordovia,2021,15,4050697
Republic of Mordovia,2022,29,4088323
Republic of Mordovia,2023,4,3630441
Republic of Mordovia,2024,1,3097585
Republic of North Ossetia — Alania,2017,0,105413
Republic of North Ossetia — Alania,2018,1,1244667
Republic of North Ossetia — Alania,2019,1,1358141
Republic of North Ossetia — Alania,2020,6,1587338
Republic of North Ossetia — Alania,2021,0,1922127
Republic of North Ossetia — Alania,2022,1,2128796
Republic of North Ossetia — Alania,2023,1,2049267
Republic of North Ossetia — Alania,2024,1,1773779
Republic of Tatarstan,2017,2,1187347
Republic of Tatarstan,2018,221,13360192
Republic of Tatarstan,2019,206,14803199
Republic of Tatarstan,2020,181,19292267
Republic of Tatarstan,2021,118,20702517
Republic of Tatarstan,2022,102,20397434
Republic of Tatarstan,2023,99,18456482
Republic of Tatarstan,2024,79,15916705
Rostov Oblast,2017,5,1294636
Rostov Oblast,2018,256,15588236
Rostov Oblast,2019,400,17224129
Rostov Oblast,2020,193,20405830
Rostov Oblast,2021,455,21687932
Rostov Oblast,2022,212,22008743
Rostov Oblast,2023,129,19835830
Rostov Oblast,2024,181,17590651
