Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;212;0,00056;
январь 2018;158;0,00042;
февраль 2018;257;0,00063;
март 2018;252;0,00069;
апрель 2018;163;0,00045;
май 2018;203;0,00058;
июнь 2018;231;0,00066;
июль 2018;266;0,00077;
август 2018;256;0,00066;
сентябрь 2018;211;0,00047;
октябрь 2018;154;0,00038;
ноябрь 2018;276;0,00069;
декабрь 2018;137;0,00032;
январь 2019;120;0,00030;
февраль 2019;221;0,00052;
март 2019;252;0,00066;
апрель 2019;208;0,00055;
май 2019;175;0,00051;
июнь 2019;260;0,00074;
июль 2019;174;0,00050;
август 2019;170;0,00047;
сентябрь 2019;169;0,00041;
октябрь 2019;155;0,00037;
ноябрь 2019;312;0,00073;
декабрь 2019;201;0,00045;
январь 2020;149;0,00035;
февраль 2020;224;0,00048;
март 2020;148;0,00024;
апрель 2020;171;0,00031;
май 2020;142;0,00032;
июнь 2020;137;0,00033;
июль 2020;136;0,00034;
август 2020;178;0,00041;
сентябрь 2020;157;0,00031;
октябрь 2020;115;0,00022;
ноябрь 2020;206;0,00041;
декабрь 2020;103;0,00021;
январь 2021;99;0,00021;
февраль 2021;133;0,00025;
март 2021;104;0,00019;
апрель 2021;142;0,00025;
май 2021;176;0,00033;
июнь 2021;164;0,00034;
июль 2021;113;0,00023;
август 2021;138;0,00025;
сентябрь 2021;118;0,00019;
октябрь 2021;107;0,00017;
ноябрь 2021;137;0,00021;
декабрь 2021;144;0,00022;
январь 2022;114;0,00018;
февраль 2022;443;0,00065;
март 2022;472;0,00071;
апрель 2022;898;0,00142;
май 2022;619;0,00108;
июнь 2022;564;0,00100;
июль 2022;506;0,00090;
август 2022;298;0,00048;
сентябрь 2022;367;0,00055;
октябрь 2022;280;0,00042;
ноябрь 2022;285;0,00043;
декабрь 2022;257;0,00038;
январь 2023;234;0,00038;
февраль 2023;300;0,00044;
март 2023;245;0,00040;
апрель 2023;249;0,00041;
май 2023;237;0,00042;
июнь 2023;396;0,00071;
июль 2023;250;0,00046;
август 2023;179;0,00032;
сентябрь 2023;169;0,00026;
октябрь 2023;109;0,00017;
ноябрь 2023;276;0,00044;
декабрь 2023;176;0,00027;
январь 2024;107;0,00018;
февраль 2024;157;0,00026;
март 2024;144;0,00025;
апрель 2024;142;0,00025;
май 2024;203;0,00041;
июнь 2024;194;0,00039;
июль 2024;187;0,00038;
август 2024;115;0,00022;
сентябрь 2024;147;0,00025;
октябрь 2024;138;0,00023;
ноябрь 2024;138;0,00022;
декабрь 2024;100;0,00016;
