Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Дагестан, все устройства
декабрь 2017;215;0,000459;
январь 2018;186;0,000406;
февраль 2018;166;0,000340;
март 2018;149;0,000346;
апрель 2018;203;0,000474;
май 2018;182;0,000455;
июнь 2018;223;0,000546;
июль 2018;180;0,000443;
август 2018;174;0,000390;
сентябрь 2018;174;0,000344;
октябрь 2018;186;0,000385;
ноябрь 2018;168;0,000327;
декабрь 2018;189;0,000350;
январь 2019;217;0,000432;
февраль 2019;174;0,000332;
март 2019;145;0,000293;
апрель 2019;188;0,000399;
май 2019;149;0,000360;
июнь 2019;157;0,000376;
июль 2019;170;0,000413;
август 2019;143;0,000313;
сентябрь 2019;188;0,000378;
октябрь 2019;190;0,000366;
ноябрь 2019;240;0,000417;
декабрь 2019;121;0,000197;
январь 2020;136;0,000235;
февраль 2020;195;0,000320;
март 2020;128;0,000152;
апрель 2020;107;0,000145;
май 2020;121;0,000211;
июнь 2020;155;0,000305;
июль 2020;152;0,000303;
август 2020;106;0,000189;
сентябрь 2020;93;0,000139;
октябрь 2020;139;0,000199;
ноябрь 2020;155;0,000236;
декабрь 2020;83;0,000130;
январь 2021;117;0,000197;
февраль 2021;94;0,000151;
март 2021;83;0,000135;
апрель 2021;91;0,000151;
май 2021;89;0,000152;
июнь 2021;96;0,000170;
июль 2021;66;0,000115;
август 2021;113;0,000176;
сентябрь 2021;147;0,000206;
октябрь 2021;139;0,000195;
ноябрь 2021;117;0,000153;
декабрь 2021;97;0,000123;
январь 2022;167;0,000223;
февраль 2022;319;0,000388;
март 2022;393;0,000524;
апрель 2022;456;0,000619;
май 2022;630;0,000940;
июнь 2022;452;0,000671;
июль 2022;435;0,000631;
август 2022;334;0,000448;
сентябрь 2022;332;0,000411;
октябрь 2022;345;0,000428;
ноябрь 2022;307;0,000369;
декабрь 2022;215;0,000264;
январь 2023;248;0,000328;
февраль 2023;314;0,000404;
март 2023;263;0,000354;
апрель 2023;278;0,000376;
май 2023;228;0,000347;
июнь 2023;242;0,000357;
июль 2023;147;0,000215;
август 2023;135;0,000187;
сентябрь 2023;73;0,000094;
октябрь 2023;105;0,000136;
ноябрь 2023;105;0,000129;
декабрь 2023;116;0,000141;
январь 2024;90;0,000120;
февраль 2024;180;0,000238;
март 2024;70;0,000106;
апрель 2024;80;0,000115;
май 2024;142;0,000233;
июнь 2024;413;0,000658;
июль 2024;15 993;0,023303;
август 2024;5 839;0,008836;
сентябрь 2024;5 461;0,007472;
октябрь 2024;7 368;0,008742;
ноябрь 2024;298;0,000365;
декабрь 2024;166;0,000211;
