Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;950;0,00061;
январь 2018;821;0,00054;
февраль 2018;916;0,00056;
март 2018;754;0,00050;
апрель 2018;789;0,00053;
май 2018;811;0,00060;
июнь 2018;828;0,00064;
июль 2018;818;0,00060;
август 2018;795;0,00051;
сентябрь 2018;699;0,00038;
октябрь 2018;671;0,00041;
ноябрь 2018;529;0,00032;
декабрь 2018;542;0,00032;
январь 2019;522;0,00032;
февраль 2019;663;0,00040;
март 2019;618;0,00038;
апрель 2019;484;0,00032;
май 2019;592;0,00044;
июнь 2019;674;0,00052;
июль 2019;542;0,00039;
август 2019;565;0,00037;
сентябрь 2019;649;0,00037;
октябрь 2019;510;0,00028;
ноябрь 2019;1 118;0,00060;
декабрь 2019;615;0,00033;
январь 2020;639;0,00035;
февраль 2020;704;0,00036;
март 2020;650;0,00027;
апрель 2020;589;0,00028;
май 2020;678;0,00038;
июнь 2020;544;0,00034;
июль 2020;577;0,00036;
август 2020;488;0,00026;
сентябрь 2020;565;0,00027;
октябрь 2020;557;0,00025;
ноябрь 2020;690;0,00030;
декабрь 2020;544;0,00024;
январь 2021;599;0,00026;
февраль 2021;652;0,00026;
март 2021;605;0,00026;
апрель 2021;445;0,00022;
май 2021;404;0,00020;
июнь 2021;453;0,00024;
июль 2021;543;0,00029;
август 2021;472;0,00022;
сентябрь 2021;562;0,00024;
октябрь 2021;573;0,00023;
ноябрь 2021;453;0,00018;
декабрь 2021;508;0,00021;
январь 2022;551;0,00023;
февраль 2022;1 266;0,00049;
март 2022;1 310;0,00054;
апрель 2022;1 342;0,00057;
май 2022;1 521;0,00072;
июнь 2022;1 359;0,00069;
июль 2022;1 403;0,00070;
август 2022;1 090;0,00048;
сентябрь 2022;1 320;0,00053;
октябрь 2022;1 235;0,00049;
ноябрь 2022;1 099;0,00043;
декабрь 2022;830;0,00033;
январь 2023;799;0,00034;
февраль 2023;1 169;0,00046;
март 2023;1 022;0,00043;
апрель 2023;911;0,00040;
май 2023;925;0,00044;
июнь 2023;1 058;0,00053;
июль 2023;881;0,00042;
август 2023;616;0,00027;
сентябрь 2023;606;0,00024;
октябрь 2023;575;0,00023;
ноябрь 2023;532;0,00021;
декабрь 2023;574;0,00023;
январь 2024;573;0,00024;
февраль 2024;727;0,00030;
март 2024;634;0,00028;
апрель 2024;719;0,00033;
май 2024;579;0,00031;
июнь 2024;726;0,00039;
июль 2024;841;0,00045;
август 2024;834;0,00042;
сентябрь 2024;785;0,00034;
октябрь 2024;833;0,00035;
ноябрь 2024;884;0,00036;
декабрь 2024;894;0,00037;
