Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ивановская область, все устройства
декабрь 2017;361;0,00093;
январь 2018;255;0,00067;
февраль 2018;388;0,00092;
март 2018;293;0,00076;
апрель 2018;271;0,00073;
май 2018;410;0,00117;
июнь 2018;271;0,00077;
июль 2018;278;0,00077;
август 2018;262;0,00065;
сентябрь 2018;233;0,00050;
октябрь 2018;190;0,00045;
ноябрь 2018;327;0,00078;
декабрь 2018;285;0,00065;
январь 2019;242;0,00059;
февраль 2019;287;0,00065;
март 2019;238;0,00058;
апрель 2019;223;0,00058;
май 2019;182;0,00051;
июнь 2019;201;0,00054;
июль 2019;159;0,00044;
август 2019;147;0,00038;
сентябрь 2019;161;0,00036;
октябрь 2019;117;0,00026;
ноябрь 2019;335;0,00072;
декабрь 2019;237;0,00050;
январь 2020;246;0,00054;
февраль 2020;298;0,00059;
март 2020;155;0,00025;
апрель 2020;156;0,00028;
май 2020;159;0,00035;
июнь 2020;162;0,00038;
июль 2020;149;0,00035;
август 2020;148;0,00031;
сентябрь 2020;156;0,00029;
октябрь 2020;124;0,00022;
ноябрь 2020;142;0,00025;
декабрь 2020;118;0,00022;
январь 2021;117;0,00022;
февраль 2021;168;0,00029;
март 2021;181;0,00031;
апрель 2021;181;0,00031;
май 2021;146;0,00026;
июнь 2021;146;0,00029;
июль 2021;168;0,00032;
август 2021;140;0,00024;
сентябрь 2021;130;0,00020;
октябрь 2021;178;0,00026;
ноябрь 2021;185;0,00027;
декабрь 2021;148;0,00022;
январь 2022;121;0,00018;
февраль 2022;371;0,00051;
март 2022;320;0,00047;
апрель 2022;511;0,00076;
май 2022;415;0,00070;
июнь 2022;452;0,00078;
июль 2022;482;0,00082;
август 2022;421;0,00064;
сентябрь 2022;358;0,00051;
октябрь 2022;330;0,00047;
ноябрь 2022;331;0,00047;
декабрь 2022;254;0,00036;
январь 2023;248;0,00038;
февраль 2023;331;0,00047;
март 2023;278;0,00042;
апрель 2023;287;0,00044;
май 2023;223;0,00038;
июнь 2023;295;0,00050;
июль 2023;203;0,00036;
август 2023;151;0,00025;
сентябрь 2023;173;0,00025;
октябрь 2023;87;0,00013;
ноябрь 2023;156;0,00023;
декабрь 2023;134;0,00019;
январь 2024;160;0,00025;
февраль 2024;203;0,00031;
март 2024;142;0,00022;
апрель 2024;192;0,00032;
май 2024;155;0,00029;
июнь 2024;198;0,00037;
июль 2024;196;0,00037;
август 2024;177;0,00031;
сентябрь 2024;237;0,00037;
октябрь 2024;176;0,00027;
ноябрь 2024;172;0,00025;
декабрь 2024;139;0,00020;
