Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;726;0,00082;
январь 2018;682;0,00078;
февраль 2018;846;0,00089;
март 2018;713;0,00088;
апрель 2018;810;0,00096;
май 2018;792;0,00101;
июнь 2018;688;0,00084;
июль 2018;1 047;0,00127;
август 2018;707;0,00078;
сентябрь 2018;776;0,00077;
октябрь 2018;678;0,00071;
ноябрь 2018;943;0,00095;
декабрь 2018;728;0,00070;
январь 2019;673;0,00069;
февраль 2019;685;0,00066;
март 2019;847;0,00087;
апрель 2019;788;0,00085;
май 2019;894;0,00103;
июнь 2019;851;0,00096;
июль 2019;748;0,00086;
август 2019;724;0,00079;
сентябрь 2019;805;0,00080;
октябрь 2019;664;0,00063;
ноябрь 2019;1 156;0,00105;
декабрь 2019;767;0,00067;
январь 2020;841;0,00077;
февраль 2020;1 085;0,00090;
март 2020;1 121;0,00074;
апрель 2020;955;0,00067;
май 2020;950;0,00084;
июнь 2020;817;0,00076;
июль 2020;760;0,00072;
август 2020;730;0,00063;
сентябрь 2020;980;0,00075;
октябрь 2020;962;0,00069;
ноябрь 2020;1 028;0,00073;
декабрь 2020;750;0,00058;
январь 2021;625;0,00051;
февраль 2021;719;0,00054;
март 2021;709;0,00054;
апрель 2021;668;0,00054;
май 2021;619;0,00050;
июнь 2021;675;0,00056;
июль 2021;700;0,00056;
август 2021;583;0,00045;
сентябрь 2021;640;0,00047;
октябрь 2021;569;0,00040;
ноябрь 2021;937;0,00066;
декабрь 2021;673;0,00046;
январь 2022;766;0,00055;
февраль 2022;2 059;0,00133;
март 2022;1 999;0,00140;
апрель 2022;2 911;0,00199;
май 2022;2 488;0,00184;
июнь 2022;2 354;0,00175;
июль 2022;2 609;0,00192;
август 2022;2 029;0,00139;
сентябрь 2022;1 699;0,00109;
октябрь 2022;1 556;0,00098;
ноябрь 2022;1 632;0,00102;
декабрь 2022;1 183;0,00074;
январь 2023;1 225;0,00084;
февраль 2023;1 439;0,00091;
март 2023;1 352;0,00090;
апрель 2023;1 300;0,00087;
май 2023;1 264;0,00093;
июнь 2023;1 355;0,00102;
июль 2023;1 280;0,00097;
август 2023;890;0,00065;
сентябрь 2023;1 240;0,00084;
октябрь 2023;1 041;0,00070;
ноябрь 2023;955;0,00063;
декабрь 2023;883;0,00058;
январь 2024;812;0,00057;
февраль 2024;1 050;0,00072;
март 2024;851;0,00063;
апрель 2024;851;0,00063;
май 2024;992;0,00082;
июнь 2024;983;0,00080;
июль 2024;1 001;0,00082;
август 2024;915;0,00071;
сентябрь 2024;882;0,00062;
октябрь 2024;1 250;0,00086;
ноябрь 2024;1 135;0,00074;
декабрь 2024;727;0,00048;
