Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;167;0,00041;
январь 2018;143;0,00036;
февраль 2018;187;0,00044;
март 2018;169;0,00042;
апрель 2018;181;0,00043;
май 2018;140;0,00041;
июнь 2018;131;0,00039;
июль 2018;89;0,00025;
август 2018;183;0,00045;
сентябрь 2018;154;0,00032;
октябрь 2018;161;0,00037;
ноябрь 2018;210;0,00048;
декабрь 2018;181;0,00042;
январь 2019;186;0,00044;
февраль 2019;206;0,00047;
март 2019;139;0,00032;
апрель 2019;130;0,00032;
май 2019;281;0,00078;
июнь 2019;140;0,00043;
июль 2019;119;0,00036;
август 2019;165;0,00044;
сентябрь 2019;173;0,00040;
октябрь 2019;199;0,00045;
ноябрь 2019;375;0,00081;
декабрь 2019;226;0,00048;
январь 2020;221;0,00049;
февраль 2020;303;0,00061;
март 2020;142;0,00023;
апрель 2020;157;0,00029;
май 2020;125;0,00027;
июнь 2020;163;0,00040;
июль 2020;140;0,00035;
август 2020;145;0,00031;
сентябрь 2020;122;0,00022;
октябрь 2020;141;0,00024;
ноябрь 2020;173;0,00031;
декабрь 2020;138;0,00026;
январь 2021;102;0,00020;
февраль 2021;102;0,00018;
март 2021;112;0,00019;
апрель 2021;135;0,00025;
май 2021;77;0,00014;
июнь 2021;105;0,00022;
июль 2021;61;0,00013;
август 2021;120;0,00022;
сентябрь 2021;94;0,00015;
октябрь 2021;62;0,00010;
ноябрь 2021;156;0,00024;
декабрь 2021;87;0,00014;
январь 2022;145;0,00023;
февраль 2022;256;0,00038;
март 2022;361;0,00056;
апрель 2022;338;0,00055;
май 2022;442;0,00077;
июнь 2022;496;0,00096;
июль 2022;351;0,00067;
август 2022;248;0,00041;
сентябрь 2022;225;0,00034;
октябрь 2022;246;0,00036;
ноябрь 2022;239;0,00034;
декабрь 2022;186;0,00028;
январь 2023;212;0,00034;
февраль 2023;398;0,00058;
март 2023;244;0,00036;
апрель 2023;259;0,00041;
май 2023;231;0,00041;
июнь 2023;300;0,00059;
июль 2023;278;0,00054;
август 2023;122;0,00021;
сентябрь 2023;98;0,00015;
октябрь 2023;107;0,00016;
ноябрь 2023;73;0,00011;
декабрь 2023;77;0,00012;
январь 2024;113;0,00018;
февраль 2024;201;0,00032;
март 2024;95;0,00015;
апрель 2024;77;0,00013;
май 2024;89;0,00017;
июнь 2024;98;0,00020;
июль 2024;109;0,00023;
август 2024;119;0,00022;
сентябрь 2024;154;0,00025;
октябрь 2024;206;0,00033;
ноябрь 2024;177;0,00027;
декабрь 2024;128;0,00020;
