Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Камчатский край, все устройства
декабрь 2017;31;0,000376;
январь 2018;22;0,000275;
февраль 2018;42;0,000467;
март 2018;53;0,000623;
апрель 2018;41;0,000493;
май 2018;43;0,000576;
июнь 2018;55;0,000750;
июль 2018;41;0,000565;
август 2018;35;0,000412;
сентябрь 2018;40;0,000410;
октябрь 2018;33;0,000343;
ноябрь 2018;39;0,000421;
декабрь 2018;27;0,000279;
январь 2019;17;0,000183;
февраль 2019;38;0,000386;
март 2019;33;0,000342;
апрель 2019;27;0,000314;
май 2019;15;0,000197;
июнь 2019;35;0,000501;
июль 2019;28;0,000394;
август 2019;20;0,000246;
сентябрь 2019;27;0,000271;
октябрь 2019;15;0,000143;
ноябрь 2019;77;0,000706;
декабрь 2019;27;0,000238;
январь 2020;22;0,000201;
февраль 2020;12;0,000099;
март 2020;24;0,000155;
апрель 2020;31;0,000229;
май 2020;38;0,000350;
июнь 2020;5;0,000051;
июль 2020;6;0,000060;
август 2020;20;0,000187;
сентябрь 2020;18;0,000137;
октябрь 2020;56;0,000399;
ноябрь 2020;19;0,000144;
декабрь 2020;6;0,000045;
январь 2021;14;0,000110;
февраль 2021;13;0,000096;
март 2021;11;0,000078;
апрель 2021;9;0,000068;
май 2021;32;0,000264;
июнь 2021;23;0,000202;
июль 2021;30;0,000264;
август 2021;15;0,000117;
сентябрь 2021;15;0,000105;
октябрь 2021;29;0,000198;
ноябрь 2021;29;0,000191;
декабрь 2021;14;0,000092;
январь 2022;5;0,000034;
февраль 2022;72;0,000442;
март 2022;79;0,000493;
апрель 2022;111;0,000696;
май 2022;153;0,001138;
июнь 2022;114;0,000863;
июль 2022;127;0,000917;
август 2022;67;0,000432;
сентябрь 2022;78;0,000466;
октябрь 2022;117;0,000632;
ноябрь 2022;82;0,000483;
декабрь 2022;38;0,000221;
январь 2023;55;0,000349;
февраль 2023;101;0,000586;
март 2023;89;0,000526;
апрель 2023;73;0,000446;
май 2023;82;0,000608;
июнь 2023;70;0,000536;
июль 2023;98;0,000729;
август 2023;42;0,000295;
сентябрь 2023;68;0,000419;
октябрь 2023;28;0,000174;
ноябрь 2023;76;0,000461;
декабрь 2023;54;0,000324;
январь 2024;37;0,000234;
февраль 2024;45;0,000276;
март 2024;36;0,000230;
апрель 2024;42;0,000274;
май 2024;67;0,000530;
июнь 2024;31;0,000240;
июль 2024;39;0,000307;
август 2024;83;0,000606;
сентябрь 2024;48;0,000303;
октябрь 2024;103;0,000639;
ноябрь 2024;43;0,000252;
декабрь 2024;27;0,000161;
