Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;132;0,000316;
январь 2018;107;0,000260;
февраль 2018;135;0,000303;
март 2018;100;0,000238;
апрель 2018;133;0,000331;
май 2018;124;0,000343;
июнь 2018;78;0,000231;
июль 2018;140;0,000395;
август 2018;82;0,000192;
сентябрь 2018;165;0,000335;
октябрь 2018;122;0,000275;
ноябрь 2018;139;0,000313;
декабрь 2018;76;0,000165;
январь 2019;126;0,000292;
февраль 2019;108;0,000234;
март 2019;116;0,000258;
апрель 2019;95;0,000228;
май 2019;113;0,000309;
июнь 2019;132;0,000372;
июль 2019;97;0,000275;
август 2019;76;0,000192;
сентябрь 2019;77;0,000167;
октябрь 2019;62;0,000136;
ноябрь 2019;150;0,000315;
декабрь 2019;107;0,000219;
январь 2020;115;0,000245;
февраль 2020;133;0,000257;
март 2020;125;0,000176;
апрель 2020;100;0,000164;
май 2020;104;0,000227;
июнь 2020;70;0,000168;
июль 2020;75;0,000186;
август 2020;90;0,000188;
сентябрь 2020;81;0,000145;
октябрь 2020;69;0,000118;
ноябрь 2020;60;0,000105;
декабрь 2020;75;0,000135;
январь 2021;65;0,000123;
февраль 2021;64;0,000115;
март 2021;65;0,000107;
апрель 2021;95;0,000154;
май 2021;62;0,000115;
июнь 2021;49;0,000109;
июль 2021;42;0,000089;
август 2021;53;0,000089;
сентябрь 2021;51;0,000076;
октябрь 2021;108;0,000159;
ноябрь 2021;61;0,000085;
декабрь 2021;45;0,000064;
январь 2022;45;0,000064;
февраль 2022;197;0,000267;
март 2022;228;0,000313;
апрель 2022;250;0,000358;
май 2022;351;0,000589;
июнь 2022;402;0,000716;
июль 2022;309;0,000555;
август 2022;222;0,000332;
сентябрь 2022;213;0,000293;
октябрь 2022;254;0,000345;
ноябрь 2022;170;0,000228;
декабрь 2022;181;0,000247;
январь 2023;128;0,000190;
февраль 2023;213;0,000290;
март 2023;229;0,000322;
апрель 2023;89;0,000133;
май 2023;178;0,000306;
июнь 2023;159;0,000284;
июль 2023;143;0,000264;
август 2023;95;0,000153;
сентябрь 2023;102;0,000146;
октябрь 2023;147;0,000210;
ноябрь 2023;115;0,000161;
декабрь 2023;88;0,000123;
январь 2024;77;0,000114;
февраль 2024;195;0,000283;
март 2024;113;0,000167;
апрель 2024;92;0,000144;
май 2024;135;0,000256;
июнь 2024;183;0,000362;
июль 2024;142;0,000283;
август 2024;70;0,000123;
сентябрь 2024;69;0,000105;
октябрь 2024;86;0,000126;
ноябрь 2024;85;0,000119;
декабрь 2024;77;0,000111;
