Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;580;0,00057;
январь 2018;520;0,00052;
февраль 2018;552;0,00051;
март 2018;473;0,00049;
апрель 2018;498;0,00053;
май 2018;541;0,00060;
июнь 2018;772;0,00086;
июль 2018;837;0,00094;
август 2018;533;0,00051;
сентябрь 2018;529;0,00044;
октябрь 2018;654;0,00060;
ноябрь 2018;720;0,00065;
декабрь 2018;571;0,00050;
январь 2019;460;0,00041;
февраль 2019;514;0,00044;
март 2019;513;0,00048;
апрель 2019;392;0,00039;
май 2019;531;0,00058;
июнь 2019;579;0,00063;
июль 2019;438;0,00047;
август 2019;384;0,00037;
сентябрь 2019;478;0,00040;
октябрь 2019;445;0,00038;
ноябрь 2019;777;0,00066;
декабрь 2019;550;0,00045;
январь 2020;421;0,00035;
февраль 2020;479;0,00037;
март 2020;554;0,00035;
апрель 2020;491;0,00034;
май 2020;435;0,00038;
июнь 2020;383;0,00037;
июль 2020;503;0,00047;
август 2020;382;0,00031;
сентябрь 2020;494;0,00035;
октябрь 2020;524;0,00033;
ноябрь 2020;552;0,00036;
декабрь 2020;479;0,00032;
январь 2021;423;0,00029;
февраль 2021;454;0,00028;
март 2021;450;0,00030;
апрель 2021;429;0,00031;
май 2021;437;0,00031;
июнь 2021;435;0,00033;
июль 2021;324;0,00024;
август 2021;429;0,00029;
сентябрь 2021;512;0,00032;
октябрь 2021;470;0,00029;
ноябрь 2021;541;0,00033;
декабрь 2021;348;0,00021;
январь 2022;618;0,00039;
февраль 2022;1 375;0,00079;
март 2022;1 351;0,00084;
апрель 2022;1 424;0,00090;
май 2022;1 464;0,00104;
июнь 2022;1 520;0,00109;
июль 2022;1 387;0,00101;
август 2022;1 090;0,00070;
сентябрь 2022;1 155;0,00069;
октябрь 2022;1 048;0,00062;
ноябрь 2022;1 160;0,00068;
декабрь 2022;693;0,00040;
январь 2023;819;0,00052;
февраль 2023;889;0,00053;
март 2023;675;0,00044;
апрель 2023;609;0,00039;
май 2023;696;0,00050;
июнь 2023;882;0,00064;
июль 2023;669;0,00050;
август 2023;410;0,00028;
сентябрь 2023;596;0,00036;
октябрь 2023;495;0,00030;
ноябрь 2023;523;0,00032;
декабрь 2023;474;0,00029;
январь 2024;370;0,00024;
февраль 2024;451;0,00029;
март 2024;407;0,00028;
апрель 2024;325;0,00023;
май 2024;391;0,00031;
июнь 2024;628;0,00051;
июль 2024;484;0,00039;
август 2024;526;0,00039;
сентябрь 2024;445;0,00029;
октябрь 2024;602;0,00038;
ноябрь 2024;712;0,00044;
декабрь 2024;539;0,00033;
