Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;324;0,00068;
январь 2018;190;0,00041;
февраль 2018;270;0,00052;
март 2018;241;0,00053;
апрель 2018;227;0,00051;
май 2018;285;0,00067;
июнь 2018;264;0,00060;
июль 2018;296;0,00068;
август 2018;170;0,00034;
сентябрь 2018;212;0,00037;
октябрь 2018;285;0,00056;
ноябрь 2018;335;0,00066;
декабрь 2018;208;0,00039;
январь 2019;277;0,00054;
февраль 2019;215;0,00039;
март 2019;279;0,00056;
апрель 2019;226;0,00047;
май 2019;283;0,00064;
июнь 2019;270;0,00059;
июль 2019;276;0,00061;
август 2019;293;0,00061;
сентябрь 2019;245;0,00045;
октябрь 2019;260;0,00047;
ноябрь 2019;826;0,00145;
декабрь 2019;300;0,00051;
январь 2020;310;0,00055;
февраль 2020;323;0,00052;
март 2020;327;0,00042;
апрель 2020;328;0,00045;
май 2020;287;0,00048;
июнь 2020;288;0,00052;
июль 2020;353;0,00064;
август 2020;284;0,00048;
сентябрь 2020;323;0,00048;
октябрь 2020;358;0,00052;
ноябрь 2020;365;0,00055;
декабрь 2020;219;0,00033;
январь 2021;189;0,00030;
февраль 2021;291;0,00041;
март 2021;409;0,00057;
апрель 2021;291;0,00040;
май 2021;268;0,00038;
июнь 2021;212;0,00032;
июль 2021;214;0,00031;
август 2021;193;0,00026;
сентябрь 2021;181;0,00023;
октябрь 2021;224;0,00028;
ноябрь 2021;293;0,00036;
декабрь 2021;194;0,00023;
январь 2022;207;0,00026;
февраль 2022;828;0,00092;
март 2022;762;0,00088;
апрель 2022;964;0,00116;
май 2022;988;0,00130;
июнь 2022;879;0,00115;
июль 2022;832;0,00109;
август 2022;735;0,00089;
сентябрь 2022;638;0,00072;
октябрь 2022;621;0,00071;
ноябрь 2022;560;0,00064;
декабрь 2022;486;0,00055;
январь 2023;475;0,00059;
февраль 2023;663;0,00075;
март 2023;463;0,00057;
апрель 2023;543;0,00067;
май 2023;473;0,00063;
июнь 2023;498;0,00066;
июль 2023;607;0,00081;
август 2023;290;0,00038;
сентябрь 2023;294;0,00034;
октябрь 2023;318;0,00039;
ноябрь 2023;274;0,00033;
декабрь 2023;297;0,00035;
январь 2024;222;0,00028;
февраль 2024;408;0,00051;
март 2024;298;0,00039;
апрель 2024;268;0,00036;
май 2024;387;0,00057;
июнь 2024;335;0,00049;
июль 2024;347;0,00051;
август 2024;345;0,00049;
сентябрь 2024;338;0,00043;
октябрь 2024;2 646;0,00319;
ноябрь 2024;3 879;0,00451;
декабрь 2024;4 063;0,00461;
