Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;778;0,00070;
январь 2018;572;0,00052;
февраль 2018;796;0,00066;
март 2018;604;0,00058;
апрель 2018;595;0,00058;
май 2018;711;0,00074;
июнь 2018;583;0,00060;
июль 2018;702;0,00072;
август 2018;591;0,00052;
сентябрь 2018;648;0,00050;
октябрь 2018;741;0,00062;
ноябрь 2018;751;0,00063;
декабрь 2018;504;0,00041;
январь 2019;507;0,00042;
февраль 2019;568;0,00046;
март 2019;545;0,00049;
апрель 2019;616;0,00058;
май 2019;577;0,00059;
июнь 2019;560;0,00056;
июль 2019;477;0,00048;
август 2019;489;0,00044;
сентябрь 2019;744;0,00057;
октябрь 2019;641;0,00048;
ноябрь 2019;1 073;0,00079;
декабрь 2019;736;0,00054;
январь 2020;772;0,00058;
февраль 2020;728;0,00052;
март 2020;592;0,00034;
апрель 2020;555;0,00037;
май 2020;716;0,00056;
июнь 2020;788;0,00066;
июль 2020;547;0,00047;
август 2020;557;0,00041;
сентябрь 2020;655;0,00042;
октябрь 2020;624;0,00036;
ноябрь 2020;748;0,00047;
декабрь 2020;510;0,00033;
январь 2021;498;0,00033;
февраль 2021;524;0,00032;
март 2021;515;0,00033;
апрель 2021;462;0,00029;
май 2021;464;0,00030;
июнь 2021;462;0,00032;
июль 2021;509;0,00035;
август 2021;379;0,00023;
сентябрь 2021;475;0,00026;
октябрь 2021;557;0,00030;
ноябрь 2021;613;0,00033;
декабрь 2021;547;0,00030;
январь 2022;574;0,00031;
февраль 2022;1 416;0,00071;
март 2022;1 508;0,00083;
апрель 2022;1 769;0,00098;
май 2022;1 627;0,00101;
июнь 2022;1 655;0,00104;
июль 2022;1 731;0,00108;
август 2022;1 317;0,00073;
сентябрь 2022;1 489;0,00076;
октябрь 2022;1 202;0,00061;
ноябрь 2022;1 180;0,00060;
декабрь 2022;981;0,00051;
январь 2023;813;0,00045;
февраль 2023;1 423;0,00073;
март 2023;1 140;0,00063;
апрель 2023;948;0,00053;
май 2023;911;0,00056;
июнь 2023;1 193;0,00075;
июль 2023;1 010;0,00066;
август 2023;754;0,00045;
сентябрь 2023;895;0,00047;
октябрь 2023;728;0,00039;
ноябрь 2023;664;0,00036;
декабрь 2023;616;0,00033;
январь 2024;595;0,00034;
февраль 2024;762;0,00042;
март 2024;843;0,00051;
апрель 2024;591;0,00036;
май 2024;754;0,00052;
июнь 2024;907;0,00064;
июль 2024;648;0,00045;
август 2024;742;0,00047;
сентябрь 2024;700;0,00040;
октябрь 2024;889;0,00049;
ноябрь 2024;739;0,00039;
декабрь 2024;550;0,00030;
