Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;61;0,000163;
январь 2018;55;0,000147;
февраль 2018;122;0,000298;
март 2018;121;0,000317;
апрель 2018;71;0,000189;
май 2018;73;0,000225;
июнь 2018;91;0,000303;
июль 2018;106;0,000342;
август 2018;63;0,000167;
сентябрь 2018;59;0,000133;
октябрь 2018;98;0,000245;
ноябрь 2018;105;0,000265;
декабрь 2018;86;0,000209;
январь 2019;91;0,000230;
февраль 2019;64;0,000156;
март 2019;111;0,000278;
апрель 2019;79;0,000211;
май 2019;54;0,000167;
июнь 2019;52;0,000171;
июль 2019;67;0,000222;
август 2019;52;0,000153;
сентябрь 2019;64;0,000161;
октябрь 2019;91;0,000229;
ноябрь 2019;164;0,000403;
декабрь 2019;98;0,000236;
январь 2020;63;0,000156;
февраль 2020;81;0,000177;
март 2020;79;0,000137;
апрель 2020;80;0,000150;
май 2020;78;0,000196;
июнь 2020;59;0,000172;
июль 2020;67;0,000197;
август 2020;36;0,000092;
сентябрь 2020;58;0,000126;
октябрь 2020;47;0,000098;
ноябрь 2020;83;0,000177;
декабрь 2020;54;0,000117;
январь 2021;43;0,000095;
февраль 2021;63;0,000136;
март 2021;44;0,000090;
апрель 2021;78;0,000158;
май 2021;63;0,000144;
июнь 2021;31;0,000082;
июль 2021;67;0,000174;
август 2021;29;0,000061;
сентябрь 2021;56;0,000104;
октябрь 2021;33;0,000060;
ноябрь 2021;41;0,000073;
декабрь 2021;31;0,000055;
январь 2022;55;0,000100;
февраль 2022;184;0,000313;
март 2022;287;0,000508;
апрель 2022;291;0,000532;
май 2022;288;0,000619;
июнь 2022;210;0,000491;
июль 2022;315;0,000733;
август 2022;153;0,000302;
сентябрь 2022;216;0,000383;
октябрь 2022;219;0,000385;
ноябрь 2022;130;0,000228;
декабрь 2022;111;0,000194;
январь 2023;121;0,000228;
февраль 2023;220;0,000379;
март 2023;119;0,000213;
апрель 2023;131;0,000247;
май 2023;115;0,000252;
июнь 2023;135;0,000319;
июль 2023;84;0,000204;
август 2023;60;0,000128;
сентябрь 2023;83;0,000156;
октябрь 2023;88;0,000167;
ноябрь 2023;122;0,000226;
декабрь 2023;79;0,000145;
январь 2024;62;0,000121;
февраль 2024;96;0,000184;
март 2024;61;0,000119;
апрель 2024;112;0,000228;
май 2024;140;0,000352;
июнь 2024;150;0,000402;
июль 2024;83;0,000224;
август 2024;107;0,000255;
сентябрь 2024;89;0,000181;
октябрь 2024;83;0,000163;
ноябрь 2024;149;0,000283;
декабрь 2024;67;0,000130;
