Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;2;0,000074;
январь 2018;1;0,000038;
февраль 2018;29;0,001004;
март 2018;23;0,000836;
апрель 2018;19;0,000709;
май 2018;9;0,000350;
июнь 2018;27;0,001014;
июль 2018;12;0,000470;
август 2018;5;0,000179;
сентябрь 2018;1;0,000030;
октябрь 2018;11;0,000350;
ноябрь 2018;15;0,000471;
декабрь 2018;1;0,000030;
январь 2019;1;0,000030;
февраль 2019;5;0,000141;
март 2019;1;0,000030;
апрель 2019;0;0;
май 2019;3;0,000104;
июнь 2019;4;0,000140;
июль 2019;7;0,000246;
август 2019;6;0,000196;
сентябрь 2019;6;0,000166;
октябрь 2019;26;0,000706;
ноябрь 2019;18;0,000446;
декабрь 2019;6;0,000143;
январь 2020;12;0,000299;
февраль 2020;16;0,000366;
март 2020;13;0,000223;
апрель 2020;11;0,000211;
май 2020;21;0,000477;
июнь 2020;5;0,000125;
июль 2020;9;0,000231;
август 2020;20;0,000475;
сентябрь 2020;18;0,000363;
октябрь 2020;6;0,000111;
ноябрь 2020;15;0,000307;
декабрь 2020;13;0,000270;
январь 2021;9;0,000194;
февраль 2021;5;0,000102;
март 2021;2;0,000036;
апрель 2021;13;0,000228;
май 2021;3;0,000056;
июнь 2021;3;0,000065;
июль 2021;4;0,000090;
август 2021;7;0,000130;
сентябрь 2021;3;0,000050;
октябрь 2021;7;0,000111;
ноябрь 2021;5;0,000074;
декабрь 2021;6;0,000088;
январь 2022;6;0,000092;
февраль 2022;19;0,000264;
март 2022;13;0,000180;
апрель 2022;23;0,000343;
май 2022;36;0,000583;
июнь 2022;28;0,000459;
июль 2022;12;0,000202;
август 2022;12;0,000182;
сентябрь 2022;11;0,000156;
октябрь 2022;27;0,000352;
ноябрь 2022;22;0,000294;
декабрь 2022;8;0,000103;
январь 2023;8;0,000115;
февраль 2023;32;0,000432;
март 2023;12;0,000165;
апрель 2023;11;0,000163;
май 2023;16;0,000264;
июнь 2023;48;0,000802;
июль 2023;14;0,000236;
август 2023;15;0,000245;
сентябрь 2023;10;0,000150;
октябрь 2023;17;0,000250;
ноябрь 2023;12;0,000171;
декабрь 2023;13;0,000186;
январь 2024;14;0,000211;
февраль 2024;35;0,000528;
март 2024;16;0,000249;
апрель 2024;1;0,000016;
май 2024;8;0,000148;
июнь 2024;29;0,000551;
июль 2024;58;0,001123;
август 2024;2;0,000036;
сентябрь 2024;7;0,000111;
октябрь 2024;58;0,000889;
ноябрь 2024;11;0,000159;
декабрь 2024;4;0,000058;
