Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;491;0,00051;
январь 2018;579;0,00061;
февраль 2018;576;0,00055;
март 2018;488;0,00055;
апрель 2018;544;0,00062;
май 2018;542;0,00066;
июнь 2018;787;0,00093;
июль 2018;557;0,00068;
август 2018;510;0,00054;
сентябрь 2018;550;0,00050;
октябрь 2018;516;0,00052;
ноябрь 2018;687;0,00069;
декабрь 2018;463;0,00045;
январь 2019;436;0,00043;
февраль 2019;494;0,00048;
март 2019;467;0,00050;
апрель 2019;567;0,00064;
май 2019;493;0,00060;
июнь 2019;394;0,00047;
июль 2019;454;0,00054;
август 2019;428;0,00047;
сентябрь 2019;560;0,00056;
октябрь 2019;425;0,00041;
ноябрь 2019;959;0,00089;
декабрь 2019;664;0,00060;
январь 2020;683;0,00064;
февраль 2020;811;0,00071;
март 2020;873;0,00058;
апрель 2020;523;0,00040;
май 2020;510;0,00047;
июнь 2020;574;0,00057;
июль 2020;556;0,00055;
август 2020;538;0,00048;
сентябрь 2020;710;0,00055;
октябрь 2020;607;0,00043;
ноябрь 2020;709;0,00053;
декабрь 2020;450;0,00035;
январь 2021;419;0,00033;
февраль 2021;436;0,00030;
март 2021;404;0,00030;
апрель 2021;432;0,00032;
май 2021;590;0,00046;
июнь 2021;403;0,00035;
июль 2021;399;0,00034;
август 2021;385;0,00029;
сентябрь 2021;377;0,00026;
октябрь 2021;387;0,00025;
ноябрь 2021;475;0,00030;
декабрь 2021;371;0,00024;
январь 2022;385;0,00025;
февраль 2022;1 239;0,00073;
март 2022;1 337;0,00088;
апрель 2022;1 226;0,00080;
май 2022;1 164;0,00084;
июнь 2022;1 368;0,00099;
июль 2022;1 444;0,00104;
август 2022;1 261;0,00083;
сентябрь 2022;1 107;0,00067;
октябрь 2022;958;0,00057;
ноябрь 2022;1 111;0,00066;
декабрь 2022;892;0,00054;
январь 2023;813;0,00053;
февраль 2023;1 140;0,00069;
март 2023;830;0,00054;
апрель 2023;842;0,00054;
май 2023;886;0,00063;
июнь 2023;1 193;0,00087;
июль 2023;1 195;0,00087;
август 2023;633;0,00044;
сентябрь 2023;707;0,00044;
октябрь 2023;630;0,00039;
ноябрь 2023;650;0,00039;
декабрь 2023;560;0,00034;
январь 2024;497;0,00032;
февраль 2024;657;0,00041;
март 2024;597;0,00042;
апрель 2024;608;0,00042;
май 2024;598;0,00047;
июнь 2024;630;0,00050;
июль 2024;626;0,00050;
август 2024;574;0,00043;
сентябрь 2024;690;0,00045;
октябрь 2024;684;0,00043;
ноябрь 2024;838;0,00051;
декабрь 2024;546;0,00033;
