Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;1 508;0,00084;
январь 2018;1 521;0,00081;
февраль 2018;2 335;0,00115;
март 2018;1 574;0,00093;
апрель 2018;1 745;0,00100;
май 2018;1 800;0,00110;
июнь 2018;1 816;0,00106;
июль 2018;1 686;0,00097;
август 2018;1 754;0,00092;
сентябрь 2018;1 625;0,00072;
октябрь 2018;1 659;0,00083;
ноябрь 2018;2 087;0,00098;
декабрь 2018;1 411;0,00063;
январь 2019;1 521;0,00072;
февраль 2019;1 779;0,00081;
март 2019;1 569;0,00076;
апрель 2019;1 530;0,00076;
май 2019;1 807;0,00097;
июнь 2019;2 078;0,00108;
июль 2019;1 849;0,00097;
август 2019;1 554;0,00080;
сентябрь 2019;1 664;0,00081;
октябрь 2019;1 593;0,00076;
ноябрь 2019;2 609;0,00120;
декабрь 2019;1 739;0,00076;
январь 2020;1 835;0,00083;
февраль 2020;1 955;0,00086;
март 2020;1 435;0,00050;
апрель 2020;1 207;0,00043;
май 2020;1 276;0,00059;
июнь 2020;1 562;0,00077;
июль 2020;1 640;0,00077;
август 2020;1 542;0,00069;
сентябрь 2020;1 609;0,00065;
октябрь 2020;1 450;0,00056;
ноябрь 2020;1 874;0,00073;
декабрь 2020;1 285;0,00051;
январь 2021;1 276;0,00053;
февраль 2021;1 406;0,00053;
март 2021;1 629;0,00063;
апрель 2021;1 494;0,00059;
май 2021;1 263;0,00050;
июнь 2021;1 187;0,00048;
июль 2021;1 334;0,00054;
август 2021;1 386;0,00054;
сентябрь 2021;1 340;0,00049;
октябрь 2021;1 383;0,00050;
ноябрь 2021;1 592;0,00056;
декабрь 2021;1 199;0,00041;
январь 2022;1 366;0,00049;
февраль 2022;3 202;0,00103;
март 2022;3 364;0,00118;
апрель 2022;3 750;0,00130;
май 2022;4 107;0,00156;
июнь 2022;3 643;0,00138;
июль 2022;4 501;0,00167;
август 2022;3 633;0,00127;
сентябрь 2022;3 322;0,00109;
октябрь 2022;3 220;0,00103;
ноябрь 2022;3 018;0,00096;
декабрь 2022;2 369;0,00076;
январь 2023;2 377;0,00082;
февраль 2023;2 877;0,00092;
март 2023;2 454;0,00081;
апрель 2023;2 184;0,00073;
май 2023;2 297;0,00085;
июнь 2023;2 622;0,00098;
июль 2023;2 293;0,00086;
август 2023;1 676;0,00059;
сентябрь 2023;2 259;0,00074;
октябрь 2023;1 872;0,00061;
ноябрь 2023;1 901;0,00061;
декабрь 2023;1 719;0,00055;
январь 2024;1 561;0,00053;
февраль 2024;1 790;0,00060;
март 2024;1 577;0,00057;
апрель 2024;1 433;0,00052;
май 2024;1 746;0,00069;
июнь 2024;1 567;0,00063;
июль 2024;1 867;0,00074;
август 2024;2 009;0,00076;
сентябрь 2024;1 990;0,00068;
октябрь 2024;3 651;0,00120;
ноябрь 2024;1 778;0,00057;
декабрь 2024;1 507;0,00049;
