Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;55;0,000280;
январь 2018;64;0,000330;
февраль 2018;65;0,000318;
март 2018;19;0,000101;
апрель 2018;64;0,000345;
май 2018;95;0,000539;
июнь 2018;79;0,000445;
июль 2018;44;0,000252;
август 2018;47;0,000239;
сентябрь 2018;59;0,000253;
октябрь 2018;77;0,000345;
ноябрь 2018;50;0,000229;
декабрь 2018;29;0,000131;
январь 2019;30;0,000139;
февраль 2019;25;0,000111;
март 2019;56;0,000261;
апрель 2019;34;0,000176;
май 2019;76;0,000453;
июнь 2019;32;0,000182;
июль 2019;28;0,000162;
август 2019;42;0,000215;
сентябрь 2019;30;0,000127;
октябрь 2019;48;0,000201;
ноябрь 2019;136;0,000523;
декабрь 2019;78;0,000288;
январь 2020;70;0,000268;
февраль 2020;68;0,000234;
март 2020;92;0,000258;
апрель 2020;61;0,000179;
май 2020;54;0,000202;
июнь 2020;59;0,000245;
июль 2020;55;0,000227;
август 2020;62;0,000217;
сентябрь 2020;75;0,000220;
октябрь 2020;70;0,000192;
ноябрь 2020;215;0,000620;
декабрь 2020;72;0,000213;
январь 2021;52;0,000164;
февраль 2021;53;0,000159;
март 2021;53;0,000158;
апрель 2021;67;0,000207;
май 2021;75;0,000252;
июнь 2021;40;0,000137;
июль 2021;32;0,000112;
август 2021;59;0,000186;
сентябрь 2021;29;0,000083;
октябрь 2021;83;0,000232;
ноябрь 2021;55;0,000148;
декабрь 2021;32;0,000088;
январь 2022;32;0,000090;
февраль 2022;150;0,000385;
март 2022;210;0,000560;
апрель 2022;154;0,000423;
май 2022;186;0,000576;
июнь 2022;237;0,000762;
июль 2022;158;0,000509;
август 2022;206;0,000580;
сентябрь 2022;104;0,000268;
октябрь 2022;138;0,000334;
ноябрь 2022;143;0,000355;
декабрь 2022;139;0,000340;
январь 2023;122;0,000326;
февраль 2023;207;0,000509;
март 2023;158;0,000409;
апрель 2023;153;0,000411;
май 2023;135;0,000415;
июнь 2023;151;0,000481;
июль 2023;165;0,000525;
август 2023;105;0,000310;
сентябрь 2023;144;0,000382;
октябрь 2023;69;0,000183;
ноябрь 2023;93;0,000242;
декабрь 2023;136;0,000358;
январь 2024;102;0,000285;
февраль 2024;147;0,000399;
март 2024;61;0,000174;
апрель 2024;99;0,000301;
май 2024;166;0,000580;
июнь 2024;138;0,000487;
июль 2024;114;0,000412;
август 2024;84;0,000277;
сентябрь 2024;66;0,000187;
октябрь 2024;95;0,000263;
ноябрь 2024;91;0,000237;
декабрь 2024;86;0,000231;
