Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Татарстан, все устройства
декабрь 2017;538;0,00035;
январь 2018;585;0,00039;
февраль 2018;964;0,00059;
март 2018;869;0,00057;
апрель 2018;708;0,00049;
май 2018;935;0,00072;
июнь 2018;861;0,00069;
июль 2018;594;0,00047;
август 2018;545;0,00034;
сентябрь 2018;534;0,00029;
октябрь 2018;550;0,00033;
ноябрь 2018;739;0,00045;
декабрь 2018;482;0,00029;
январь 2019;464;0,00029;
февраль 2019;565;0,00033;
март 2019;626;0,00038;
апрель 2019;498;0,00033;
май 2019;599;0,00043;
июнь 2019;572;0,00042;
июль 2019;579;0,00040;
август 2019;550;0,00034;
сентябрь 2019;620;0,00033;
октябрь 2019;584;0,00031;
ноябрь 2019;1 169;0,00061;
декабрь 2019;648;0,00032;
январь 2020;557;0,00030;
февраль 2020;672;0,00034;
март 2020;442;0,00016;
апрель 2020;482;0,00022;
май 2020;579;0,00032;
июнь 2020;513;0,00031;
июль 2020;606;0,00033;
август 2020;559;0,00025;
сентябрь 2020;525;0,00020;
октябрь 2020;570;0,00023;
ноябрь 2020;608;0,00025;
декабрь 2020;510;0,00021;
январь 2021;374;0,00016;
февраль 2021;549;0,00023;
март 2021;495;0,00021;
апрель 2021;402;0,00019;
май 2021;428;0,00021;
июнь 2021;361;0,00018;
июль 2021;321;0,00015;
август 2021;436;0,00019;
сентябрь 2021;386;0,00015;
октябрь 2021;386;0,00015;
ноябрь 2021;335;0,00013;
декабрь 2021;256;0,00010;
январь 2022;352;0,00014;
февраль 2022;1 299;0,00047;
март 2022;1 512;0,00057;
апрель 2022;1 455;0,00057;
май 2022;1 707;0,00078;
июнь 2022;1 739;0,00083;
июль 2022;1 576;0,00073;
август 2022;1 304;0,00052;
сентябрь 2022;1 537;0,00057;
октябрь 2022;1 431;0,00053;
ноябрь 2022;967;0,00035;
декабрь 2022;887;0,00033;
январь 2023;790;0,00031;
февраль 2023;1 210;0,00044;
март 2023;957;0,00038;
апрель 2023;846;0,00034;
май 2023;972;0,00045;
июнь 2023;1 005;0,00047;
июль 2023;874;0,00041;
август 2023;653;0,00027;
сентябрь 2023;600;0,00022;
октябрь 2023;447;0,00017;
ноябрь 2023;419;0,00015;
декабрь 2023;459;0,00017;
январь 2024;444;0,00018;
февраль 2024;619;0,00024;
март 2024;460;0,00019;
апрель 2024;508;0,00021;
май 2024;760;0,00038;
июнь 2024;780;0,00039;
июль 2024;878;0,00044;
август 2024;633;0,00029;
сентябрь 2024;687;0,00027;
октябрь 2024;767;0,00029;
ноябрь 2024;796;0,00029;
декабрь 2024;541;0,00020;
