Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;578;0,00107;
январь 2018;420;0,00078;
февраль 2018;678;0,00113;
март 2018;621;0,00113;
апрель 2018;606;0,00114;
май 2018;749;0,00135;
июнь 2018;700;0,00126;
июль 2018;877;0,00149;
август 2018;716;0,00116;
сентябрь 2018;593;0,00085;
октябрь 2018;492;0,00075;
ноябрь 2018;503;0,00076;
декабрь 2018;473;0,00066;
январь 2019;424;0,00061;
февраль 2019;624;0,00082;
март 2019;527;0,00075;
апрель 2019;547;0,00075;
май 2019;612;0,00088;
июнь 2019;608;0,00084;
июль 2019;600;0,00085;
август 2019;566;0,00080;
сентябрь 2019;569;0,00072;
октябрь 2019;469;0,00059;
ноябрь 2019;1 582;0,00194;
декабрь 2019;774;0,00089;
январь 2020;582;0,00072;
февраль 2020;986;0,00109;
март 2020;658;0,00055;
апрель 2020;698;0,00061;
май 2020;651;0,00066;
июнь 2020;670;0,00071;
июль 2020;559;0,00064;
август 2020;460;0,00053;
сентябрь 2020;566;0,00058;
октябрь 2020;592;0,00058;
ноябрь 2020;651;0,00068;
декабрь 2020;554;0,00057;
январь 2021;474;0,00053;
февраль 2021;579;0,00059;
март 2021;504;0,00046;
апрель 2021;665;0,00050;
май 2021;514;0,00040;
июнь 2021;478;0,00045;
июль 2021;431;0,00039;
август 2021;628;0,00050;
сентябрь 2021;674;0,00049;
октябрь 2021;613;0,00043;
ноябрь 2021;610;0,00043;
декабрь 2021;714;0,00048;
январь 2022;783;0,00053;
февраль 2022;1 919;0,00123;
март 2022;2 067;0,00139;
апрель 2022;2 252;0,00147;
май 2022;2 619;0,00180;
июнь 2022;2 357;0,00154;
июль 2022;2 060;0,00136;
август 2022;1 823;0,00119;
сентябрь 2022;1 855;0,00115;
октябрь 2022;1 772;0,00111;
ноябрь 2022;1 540;0,00099;
декабрь 2022;1 132;0,00071;
январь 2023;1 180;0,00081;
февраль 2023;1 760;0,00111;
март 2023;1 462;0,00099;
апрель 2023;1 477;0,00099;
май 2023;1 505;0,00104;
июнь 2023;1 777;0,00117;
июль 2023;1 551;0,00103;
август 2023;1 098;0,00075;
сентябрь 2023;1 177;0,00076;
октябрь 2023;940;0,00063;
ноябрь 2023;1 189;0,00079;
декабрь 2023;962;0,00061;
январь 2024;828;0,00057;
февраль 2024;1 110;0,00074;
март 2024;867;0,00060;
апрель 2024;890;0,00062;
май 2024;1 348;0,00097;
июнь 2024;1 358;0,00093;
июль 2024;1 159;0,00081;
август 2024;1 104;0,00080;
сентябрь 2024;1 112;0,00074;
октябрь 2024;1 268;0,00083;
ноябрь 2024;1 376;0,00087;
декабрь 2024;1 101;0,00067;
