Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Орловская область, все устройства
декабрь 2017;90;0,00027;
январь 2018;116;0,00035;
февраль 2018;184;0,00052;
март 2018;114;0,00035;
апрель 2018;164;0,00051;
май 2018;195;0,00065;
июнь 2018;158;0,00051;
июль 2018;218;0,00074;
август 2018;118;0,00034;
сентябрь 2018;187;0,00047;
октябрь 2018;133;0,00036;
ноябрь 2018;175;0,00048;
декабрь 2018;103;0,00027;
январь 2019;118;0,00033;
февраль 2019;111;0,00029;
март 2019;141;0,00040;
апрель 2019;122;0,00036;
май 2019;126;0,00041;
июнь 2019;99;0,00032;
июль 2019;117;0,00038;
август 2019;136;0,00042;
сентябрь 2019;93;0,00025;
октябрь 2019;82;0,00021;
ноябрь 2019;322;0,00082;
декабрь 2019;145;0,00036;
январь 2020;210;0,00054;
февраль 2020;131;0,00031;
март 2020;91;0,00017;
апрель 2020;70;0,00014;
май 2020;87;0,00022;
июнь 2020;79;0,00021;
июль 2020;97;0,00026;
август 2020;65;0,00016;
сентябрь 2020;115;0,00025;
октябрь 2020;102;0,00021;
ноябрь 2020;116;0,00024;
декабрь 2020;89;0,00019;
январь 2021;60;0,00013;
февраль 2021;73;0,00014;
март 2021;71;0,00014;
апрель 2021;89;0,00018;
май 2021;89;0,00019;
июнь 2021;77;0,00017;
июль 2021;53;0,00012;
август 2021;115;0,00023;
сентябрь 2021;55;0,00010;
октябрь 2021;95;0,00017;
ноябрь 2021;104;0,00018;
декабрь 2021;109;0,00019;
январь 2022;72;0,00012;
февраль 2022;302;0,00050;
март 2022;402;0,00069;
апрель 2022;363;0,00066;
май 2022;322;0,00065;
июнь 2022;319;0,00066;
июль 2022;420;0,00086;
август 2022;345;0,00063;
сентябрь 2022;410;0,00070;
октябрь 2022;344;0,00058;
ноябрь 2022;253;0,00043;
декабрь 2022;267;0,00045;
январь 2023;231;0,00043;
февраль 2023;302;0,00051;
март 2023;201;0,00037;
апрель 2023;238;0,00044;
май 2023;216;0,00044;
июнь 2023;269;0,00056;
июль 2023;196;0,00042;
август 2023;161;0,00033;
сентябрь 2023;136;0,00024;
октябрь 2023;89;0,00016;
ноябрь 2023;131;0,00023;
декабрь 2023;118;0,00020;
январь 2024;76;0,00014;
февраль 2024;192;0,00035;
март 2024;118;0,00023;
апрель 2024;156;0,00031;
май 2024;101;0,00023;
июнь 2024;139;0,00032;
июль 2024;114;0,00026;
август 2024;71;0,00015;
сентябрь 2024;154;0,00029;
октябрь 2024;129;0,00023;
ноябрь 2024;113;0,00020;
декабрь 2024;71;0,00012;
