Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;439;0,00060;
январь 2018;426;0,00060;
февраль 2018;519;0,00068;
март 2018;438;0,00062;
апрель 2018;491;0,00069;
май 2018;427;0,00067;
июнь 2018;410;0,00067;
июль 2018;429;0,00068;
август 2018;371;0,00049;
сентябрь 2018;231;0,00027;
октябрь 2018;378;0,00049;
ноябрь 2018;391;0,00050;
декабрь 2018;235;0,00030;
январь 2019;279;0,00035;
февраль 2019;323;0,00041;
март 2019;326;0,00042;
апрель 2019;362;0,00051;
май 2019;326;0,00050;
июнь 2019;337;0,00054;
июль 2019;401;0,00064;
август 2019;259;0,00035;
сентябрь 2019;279;0,00034;
октябрь 2019;296;0,00036;
ноябрь 2019;1 600;0,00188;
декабрь 2019;555;0,00063;
январь 2020;474;0,00054;
февраль 2020;534;0,00057;
март 2020;784;0,00069;
апрель 2020;468;0,00049;
май 2020;459;0,00054;
июнь 2020;410;0,00053;
июль 2020;303;0,00040;
август 2020;326;0,00037;
сентябрь 2020;338;0,00033;
октябрь 2020;346;0,00030;
ноябрь 2020;335;0,00031;
декабрь 2020;262;0,00026;
январь 2021;249;0,00026;
февраль 2021;256;0,00025;
март 2021;295;0,00028;
апрель 2021;224;0,00022;
май 2021;360;0,00037;
июнь 2021;276;0,00029;
июль 2021;266;0,00029;
август 2021;200;0,00019;
сентябрь 2021;225;0,00019;
октябрь 2021;225;0,00018;
ноябрь 2021;245;0,00020;
декабрь 2021;160;0,00013;
январь 2022;291;0,00023;
февраль 2022;645;0,00050;
март 2022;822;0,00068;
апрель 2022;933;0,00079;
май 2022;912;0,00085;
июнь 2022;949;0,00093;
июль 2022;1 115;0,00109;
август 2022;879;0,00075;
сентябрь 2022;757;0,00060;
октябрь 2022;700;0,00054;
ноябрь 2022;616;0,00045;
декабрь 2022;432;0,00033;
январь 2023;566;0,00047;
февраль 2023;716;0,00055;
март 2023;658;0,00053;
апрель 2023;588;0,00050;
май 2023;592;0,00055;
июнь 2023;655;0,00064;
июль 2023;593;0,00057;
август 2023;388;0,00034;
сентябрь 2023;331;0,00026;
октябрь 2023;369;0,00029;
ноябрь 2023;480;0,00037;
декабрь 2023;330;0,00026;
январь 2024;272;0,00022;
февраль 2024;682;0,00056;
март 2024;707;0,00060;
апрель 2024;405;0,00035;
май 2024;415;0,00042;
июнь 2024;410;0,00042;
июль 2024;544;0,00056;
август 2024;470;0,00044;
сентябрь 2024;402;0,00033;
октябрь 2024;481;0,00039;
ноябрь 2024;424;0,00033;
декабрь 2024;335;0,00027;
