Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;54;0,000184;
январь 2018;109;0,000399;
февраль 2018;58;0,000191;
март 2018;78;0,000275;
апрель 2018;64;0,000228;
май 2018;64;0,000250;
июнь 2018;74;0,000300;
июль 2018;59;0,000230;
август 2018;100;0,000355;
сентябрь 2018;107;0,000327;
октябрь 2018;115;0,000381;
ноябрь 2018;130;0,000419;
декабрь 2018;55;0,000173;
январь 2019;93;0,000301;
февраль 2019;49;0,000154;
март 2019;83;0,000275;
апрель 2019;46;0,000165;
май 2019;73;0,000283;
июнь 2019;64;0,000253;
июль 2019;61;0,000238;
август 2019;42;0,000156;
сентябрь 2019;68;0,000220;
октябрь 2019;59;0,000187;
ноябрь 2019;178;0,000539;
декабрь 2019;111;0,000323;
январь 2020;74;0,000218;
февраль 2020;81;0,000220;
март 2020;77;0,000165;
апрель 2020;107;0,000269;
май 2020;76;0,000230;
июнь 2020;75;0,000249;
июль 2020;96;0,000318;
август 2020;54;0,000161;
сентябрь 2020;53;0,000136;
октябрь 2020;34;0,000067;
ноябрь 2020;84;0,000194;
декабрь 2020;55;0,000140;
январь 2021;49;0,000134;
февраль 2021;55;0,000146;
март 2021;57;0,000147;
апрель 2021;54;0,000142;
май 2021;56;0,000151;
июнь 2021;34;0,000097;
июль 2021;44;0,000108;
август 2021;66;0,000162;
сентябрь 2021;25;0,000057;
октябрь 2021;38;0,000076;
ноябрь 2021;68;0,000145;
декабрь 2021;34;0,000073;
январь 2022;71;0,000144;
февраль 2022;209;0,000425;
март 2022;154;0,000341;
апрель 2022;153;0,000342;
май 2022;200;0,000487;
июнь 2022;134;0,000340;
июль 2022;141;0,000358;
август 2022;165;0,000386;
сентябрь 2022;123;0,000265;
октябрь 2022;130;0,000270;
ноябрь 2022;111;0,000225;
декабрь 2022;84;0,000173;
январь 2023;75;0,000167;
февраль 2023;154;0,000315;
март 2023;132;0,000291;
апрель 2023;87;0,000203;
май 2023;122;0,000305;
июнь 2023;145;0,000373;
июль 2023;99;0,000252;
август 2023;59;0,000143;
сентябрь 2023;90;0,000196;
октябрь 2023;69;0,000151;
ноябрь 2023;40;0,000082;
декабрь 2023;43;0,000091;
январь 2024;21;0,000047;
февраль 2024;69;0,000153;
март 2024;37;0,000083;
апрель 2024;43;0,000104;
май 2024;45;0,000128;
июнь 2024;97;0,000278;
июль 2024;38;0,000108;
август 2024;83;0,000229;
сентябрь 2024;29;0,000068;
октябрь 2024;66;0,000152;
ноябрь 2024;46;0,000102;
декабрь 2024;50;0,000111;
