Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;100;0,00133;
январь 2018;98;0,00132;
февраль 2018;85;0,00103;
март 2018;96;0,00133;
апрель 2018;101;0,00129;
май 2018;76;0,00102;
июнь 2018;99;0,00127;
июль 2018;104;0,00136;
август 2018;90;0,00110;
сентябрь 2018;94;0,00098;
октябрь 2018;74;0,00080;
ноябрь 2018;71;0,00076;
декабрь 2018;81;0,00083;
январь 2019;196;0,00201;
февраль 2019;239;0,00227;
март 2019;97;0,00097;
апрель 2019;103;0,00105;
май 2019;144;0,00155;
июнь 2019;126;0,00131;
июль 2019;124;0,00130;
август 2019;102;0,00104;
сентябрь 2019;155;0,00144;
октябрь 2019;91;0,00082;
ноябрь 2019;229;0,00188;
декабрь 2019;90;0,00070;
январь 2020;95;0,00077;
февраль 2020;157;0,00118;
март 2020;86;0,00049;
апрель 2020;128;0,00076;
май 2020;144;0,00108;
июнь 2020;137;0,00112;
июль 2020;141;0,00120;
август 2020;168;0,00133;
сентябрь 2020;86;0,00059;
октябрь 2020;98;0,00063;
ноябрь 2020;121;0,00076;
декабрь 2020;74;0,00048;
январь 2021;44;0,00030;
февраль 2021;78;0,00051;
март 2021;90;0,00053;
апрель 2021;100;0,00057;
май 2021;71;0,00041;
июнь 2021;67;0,00044;
июль 2021;135;0,00089;
август 2021;85;0,00048;
сентябрь 2021;69;0,00036;
октябрь 2021;61;0,00030;
ноябрь 2021;85;0,00041;
декабрь 2021;138;0,00063;
январь 2022;73;0,00034;
февраль 2022;265;0,00116;
март 2022;252;0,00120;
апрель 2022;328;0,00154;
май 2022;215;0,00110;
июнь 2022;188;0,00096;
июль 2022;285;0,00145;
август 2022;208;0,00098;
сентябрь 2022;272;0,00119;
октябрь 2022;202;0,00087;
ноябрь 2022;208;0,00087;
декабрь 2022;139;0,00058;
январь 2023;157;0,00070;
февраль 2023;162;0,00068;
март 2023;162;0,00072;
апрель 2023;203;0,00092;
май 2023;133;0,00067;
июнь 2023;223;0,00111;
июль 2023;130;0,00065;
август 2023;114;0,00055;
сентябрь 2023;174;0,00078;
октябрь 2023;63;0,00027;
ноябрь 2023;111;0,00047;
декабрь 2023;70;0,00029;
январь 2024;84;0,00038;
февраль 2024;122;0,00054;
март 2024;185;0,00088;
апрель 2024;90;0,00042;
май 2024;121;0,00065;
июнь 2024;119;0,00063;
июль 2024;80;0,00042;
август 2024;60;0,00030;
сентябрь 2024;73;0,00033;
октябрь 2024;97;0,00043;
ноябрь 2024;124;0,00053;
декабрь 2024;66;0,00028;
