Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;411;0,00124;
январь 2018;332;0,00102;
февраль 2018;395;0,00111;
март 2018;305;0,00097;
апрель 2018;330;0,00104;
май 2018;465;0,00150;
июнь 2018;338;0,00107;
июль 2018;359;0,00112;
август 2018;323;0,00091;
сентябрь 2018;281;0,00071;
октябрь 2018;302;0,00085;
ноябрь 2018;409;0,00114;
декабрь 2018;403;0,00108;
январь 2019;332;0,00094;
февраль 2019;325;0,00087;
март 2019;410;0,00118;
апрель 2019;369;0,00105;
май 2019;309;0,00100;
июнь 2019;341;0,00105;
июль 2019;357;0,00111;
август 2019;296;0,00087;
сентябрь 2019;309;0,00081;
октябрь 2019;288;0,00077;
ноябрь 2019;516;0,00133;
декабрь 2019;337;0,00084;
январь 2020;274;0,00070;
февраль 2020;515;0,00123;
март 2020;382;0,00073;
апрель 2020;357;0,00077;
май 2020;355;0,00091;
июнь 2020;321;0,00083;
июль 2020;371;0,00096;
август 2020;450;0,00107;
сентябрь 2020;379;0,00080;
октябрь 2020;418;0,00083;
ноябрь 2020;382;0,00080;
декабрь 2020;314;0,00068;
январь 2021;303;0,00070;
февраль 2021;290;0,00061;
март 2021;276;0,00055;
апрель 2021;323;0,00061;
май 2021;256;0,00052;
июнь 2021;271;0,00058;
июль 2021;325;0,00066;
август 2021;241;0,00046;
сентябрь 2021;314;0,00055;
октябрь 2021;301;0,00050;
ноябрь 2021;371;0,00063;
декабрь 2021;401;0,00067;
январь 2022;353;0,00061;
февраль 2022;1 216;0,00200;
март 2022;1 143;0,00190;
апрель 2022;1 003;0,00167;
май 2022;1 156;0,00210;
июнь 2022;1 049;0,00184;
июль 2022;1 205;0,00215;
август 2022;831;0,00138;
сентябрь 2022;865;0,00136;
октябрь 2022;935;0,00145;
ноябрь 2022;785;0,00123;
декабрь 2022;690;0,00108;
январь 2023;637;0,00106;
февраль 2023;809;0,00127;
март 2023;659;0,00110;
апрель 2023;705;0,00120;
май 2023;684;0,00126;
июнь 2023;876;0,00156;
июль 2023;574;0,00100;
август 2023;395;0,00069;
сентябрь 2023;476;0,00077;
октябрь 2023;465;0,00076;
ноябрь 2023;443;0,00071;
декабрь 2023;353;0,00056;
январь 2024;349;0,00059;
февраль 2024;460;0,00076;
март 2024;460;0,00079;
апрель 2024;447;0,00079;
май 2024;618;0,00120;
июнь 2024;639;0,00119;
июль 2024;549;0,00102;
август 2024;589;0,00105;
сентябрь 2024;497;0,00083;
октябрь 2024;668;0,00109;
ноябрь 2024;547;0,00086;
декабрь 2024;450;0,00071;
