Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;337;0,00065;
январь 2018;314;0,00061;
февраль 2018;339;0,00060;
март 2018;333;0,00068;
апрель 2018;310;0,00066;
май 2018;389;0,00087;
июнь 2018;330;0,00071;
июль 2018;412;0,00092;
август 2018;306;0,00059;
сентябрь 2018;262;0,00044;
октябрь 2018;261;0,00049;
ноябрь 2018;299;0,00056;
декабрь 2018;198;0,00035;
январь 2019;192;0,00036;
февраль 2019;235;0,00041;
март 2019;220;0,00043;
апрель 2019;208;0,00042;
май 2019;194;0,00043;
июнь 2019;265;0,00056;
июль 2019;329;0,00071;
август 2019;274;0,00056;
сентябрь 2019;244;0,00044;
октябрь 2019;259;0,00046;
ноябрь 2019;389;0,00066;
декабрь 2019;241;0,00039;
январь 2020;234;0,00040;
февраль 2020;314;0,00048;
март 2020;282;0,00035;
апрель 2020;236;0,00032;
май 2020;289;0,00049;
июнь 2020;282;0,00051;
июль 2020;228;0,00042;
август 2020;264;0,00045;
сентябрь 2020;222;0,00033;
октябрь 2020;252;0,00035;
ноябрь 2020;347;0,00050;
декабрь 2020;272;0,00040;
январь 2021;245;0,00037;
февраль 2021;219;0,00030;
март 2021;270;0,00037;
апрель 2021;298;0,00042;
май 2021;197;0,00029;
июнь 2021;178;0,00027;
июль 2021;237;0,00035;
август 2021;177;0,00024;
сентябрь 2021;190;0,00024;
октябрь 2021;229;0,00028;
ноябрь 2021;230;0,00028;
декабрь 2021;297;0,00036;
январь 2022;221;0,00026;
февраль 2022;609;0,00068;
март 2022;605;0,00074;
апрель 2022;674;0,00083;
май 2022;837;0,00116;
июнь 2022;760;0,00104;
июль 2022;724;0,00098;
август 2022;571;0,00071;
сентябрь 2022;571;0,00066;
октябрь 2022;531;0,00061;
ноябрь 2022;567;0,00063;
декабрь 2022;465;0,00053;
январь 2023;405;0,00050;
февраль 2023;562;0,00064;
март 2023;456;0,00057;
апрель 2023;511;0,00065;
май 2023;456;0,00062;
июнь 2023;553;0,00075;
июль 2023;419;0,00058;
август 2023;310;0,00041;
сентябрь 2023;377;0,00044;
октябрь 2023;286;0,00034;
ноябрь 2023;233;0,00027;
декабрь 2023;205;0,00024;
январь 2024;227;0,00028;
февраль 2024;317;0,00038;
март 2024;362;0,00047;
апрель 2024;299;0,00040;
май 2024;384;0,00058;
июнь 2024;285;0,00043;
июль 2024;294;0,00044;
август 2024;319;0,00047;
сентябрь 2024;362;0,00047;
октябрь 2024;323;0,00040;
ноябрь 2024;477;0,00058;
декабрь 2024;278;0,00033;
