Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;111;0,00032;
январь 2018;124;0,00036;
февраль 2018;191;0,00051;
март 2018;106;0,00032;
апрель 2018;123;0,00038;
май 2018;126;0,00042;
июнь 2018;165;0,00054;
июль 2018;145;0,00048;
август 2018;160;0,00045;
сентябрь 2018;108;0,00026;
октябрь 2018;188;0,00050;
ноябрь 2018;221;0,00058;
декабрь 2018;184;0,00044;
январь 2019;104;0,00026;
февраль 2019;125;0,00030;
март 2019;103;0,00028;
апрель 2019;133;0,00038;
май 2019;142;0,00044;
июнь 2019;137;0,00041;
июль 2019;97;0,00029;
август 2019;130;0,00036;
сентябрь 2019;157;0,00039;
октябрь 2019;107;0,00026;
ноябрь 2019;213;0,00049;
декабрь 2019;91;0,00020;
январь 2020;114;0,00026;
февраль 2020;139;0,00030;
март 2020;116;0,00019;
апрель 2020;96;0,00018;
май 2020;102;0,00024;
июнь 2020;89;0,00023;
июль 2020;130;0,00033;
август 2020;92;0,00021;
сентябрь 2020;122;0,00024;
октябрь 2020;136;0,00025;
ноябрь 2020;121;0,00023;
декабрь 2020;90;0,00017;
январь 2021;98;0,00019;
февраль 2021;80;0,00014;
март 2021;59;0,00010;
апрель 2021;91;0,00016;
май 2021;109;0,00021;
июнь 2021;91;0,00019;
июль 2021;115;0,00023;
август 2021;85;0,00015;
сентябрь 2021;89;0,00014;
октябрь 2021;114;0,00018;
ноябрь 2021;127;0,00019;
декабрь 2021;66;0,00010;
январь 2022;105;0,00016;
февраль 2022;318;0,00046;
март 2022;270;0,00042;
апрель 2022;274;0,00043;
май 2022;338;0,00061;
июнь 2022;256;0,00045;
июль 2022;265;0,00048;
август 2022;190;0,00030;
сентябрь 2022;206;0,00030;
октябрь 2022;248;0,00036;
ноябрь 2022;196;0,00028;
декабрь 2022;184;0,00026;
январь 2023;200;0,00031;
февраль 2023;224;0,00032;
март 2023;146;0,00023;
апрель 2023;180;0,00029;
май 2023;182;0,00032;
июнь 2023;234;0,00041;
июль 2023;237;0,00044;
август 2023;152;0,00026;
сентябрь 2023;98;0,00014;
октябрь 2023;123;0,00019;
ноябрь 2023;114;0,00017;
декабрь 2023;121;0,00018;
январь 2024;88;0,00014;
февраль 2024;127;0,00020;
март 2024;85;0,00014;
апрель 2024;79;0,00013;
май 2024;102;0,00020;
июнь 2024;233;0,00046;
июль 2024;147;0,00029;
август 2024;146;0,00027;
сентябрь 2024;115;0,00019;
октябрь 2024;137;0,00021;
ноябрь 2024;88;0,00013;
декабрь 2024;98;0,00015;
