Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;150;0,00027;
январь 2018;195;0,00036;
февраль 2018;237;0,00041;
март 2018;182;0,00034;
апрель 2018;120;0,00022;
май 2018;188;0,00037;
июнь 2018;245;0,00044;
июль 2018;254;0,00047;
август 2018;119;0,00021;
сентябрь 2018;207;0,00032;
октябрь 2018;175;0,00028;
ноябрь 2018;177;0,00025;
декабрь 2018;167;0,00020;
январь 2019;235;0,00031;
февраль 2019;200;0,00024;
март 2019;213;0,00027;
апрель 2019;250;0,00030;
май 2019;203;0,00027;
июнь 2019;237;0,00032;
июль 2019;187;0,00025;
август 2019;125;0,00018;
сентябрь 2019;150;0,00020;
октябрь 2019;154;0,00021;
ноябрь 2019;404;0,00053;
декабрь 2019;225;0,00029;
январь 2020;243;0,00032;
февраль 2020;187;0,00023;
март 2020;236;0,00023;
апрель 2020;169;0,00019;
май 2020;202;0,00026;
июнь 2020;130;0,00018;
июль 2020;113;0,00015;
август 2020;133;0,00016;
сентябрь 2020;234;0,00026;
октябрь 2020;238;0,00027;
ноябрь 2020;258;0,00029;
декабрь 2020;144;0,00017;
январь 2021;170;0,00021;
февраль 2021;161;0,00018;
март 2021;107;0,00012;
апрель 2021;169;0,00020;
май 2021;141;0,00017;
июнь 2021;135;0,00016;
июль 2021;203;0,00024;
август 2021;116;0,00014;
сентябрь 2021;98;0,00011;
октябрь 2021;243;0,00026;
ноябрь 2021;141;0,00015;
декабрь 2021;123;0,00013;
январь 2022;200;0,00021;
февраль 2022;388;0,00038;
март 2022;478;0,00049;
апрель 2022;491;0,00051;
май 2022;712;0,00078;
июнь 2022;413;0,00046;
июль 2022;520;0,00059;
август 2022;358;0,00037;
сентябрь 2022;452;0,00043;
октябрь 2022;615;0,00055;
ноябрь 2022;412;0,00038;
декабрь 2022;286;0,00027;
январь 2023;298;0,00030;
февраль 2023;496;0,00046;
март 2023;331;0,00032;
апрель 2023;311;0,00032;
май 2023;449;0,00051;
июнь 2023;505;0,00058;
июль 2023;414;0,00046;
август 2023;313;0,00034;
сентябрь 2023;278;0,00028;
октябрь 2023;208;0,00021;
ноябрь 2023;304;0,00030;
декабрь 2023;401;0,00039;
январь 2024;270;0,00028;
февраль 2024;318;0,00032;
март 2024;355;0,00038;
апрель 2024;326;0,00036;
май 2024;475;0,00058;
июнь 2024;438;0,00054;
июль 2024;297;0,00037;
август 2024;299;0,00035;
сентябрь 2024;966;0,00101;
октябрь 2024;644;0,00065;
ноябрь 2024;332;0,00032;
декабрь 2024;215;0,00021;
