Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;42;0,000166;
январь 2018;67;0,000274;
февраль 2018;49;0,000188;
март 2018;59;0,000247;
апрель 2018;58;0,000240;
май 2018;53;0,000244;
июнь 2018;58;0,000262;
июль 2018;63;0,000289;
август 2018;60;0,000240;
сентябрь 2018;45;0,000153;
октябрь 2018;63;0,000230;
ноябрь 2018;75;0,000276;
декабрь 2018;60;0,000219;
январь 2019;49;0,000182;
февраль 2019;39;0,000140;
март 2019;52;0,000194;
апрель 2019;38;0,000150;
май 2019;51;0,000226;
июнь 2019;67;0,000315;
июль 2019;51;0,000238;
август 2019;26;0,000110;
сентябрь 2019;55;0,000198;
октябрь 2019;34;0,000123;
ноябрь 2019;105;0,000349;
декабрь 2019;64;0,000209;
январь 2020;49;0,000163;
февраль 2020;36;0,000110;
март 2020;34;0,000075;
апрель 2020;25;0,000066;
май 2020;28;0,000094;
июнь 2020;59;0,000222;
июль 2020;34;0,000127;
август 2020;25;0,000080;
сентябрь 2020;53;0,000126;
октябрь 2020;36;0,000086;
ноябрь 2020;62;0,000159;
декабрь 2020;20;0,000055;
январь 2021;35;0,000107;
февраль 2021;31;0,000087;
март 2021;44;0,000116;
апрель 2021;40;0,000101;
май 2021;39;0,000106;
июнь 2021;27;0,000085;
июль 2021;36;0,000116;
август 2021;34;0,000091;
сентябрь 2021;96;0,000225;
октябрь 2021;49;0,000111;
ноябрь 2021;35;0,000072;
декабрь 2021;49;0,000105;
январь 2022;16;0,000033;
февраль 2022;95;0,000196;
март 2022;122;0,000262;
апрель 2022;124;0,000279;
май 2022;160;0,000405;
июнь 2022;168;0,000440;
июль 2022;205;0,000539;
август 2022;140;0,000317;
сентябрь 2022;94;0,000194;
октябрь 2022;112;0,000224;
ноябрь 2022;75;0,000147;
декабрь 2022;88;0,000175;
январь 2023;83;0,000183;
февраль 2023;127;0,000253;
март 2023;108;0,000224;
апрель 2023;142;0,000309;
май 2023;122;0,000311;
июнь 2023;112;0,000293;
июль 2023;75;0,000195;
август 2023;58;0,000135;
сентябрь 2023;81;0,000169;
октябрь 2023;46;0,000097;
ноябрь 2023;64;0,000127;
декабрь 2023;74;0,000152;
январь 2024;63;0,000137;
февраль 2024;106;0,000231;
март 2024;63;0,000142;
апрель 2024;43;0,000104;
май 2024;53;0,000148;
июнь 2024;85;0,000243;
июль 2024;109;0,000310;
август 2024;59;0,000151;
сентябрь 2024;48;0,000106;
октябрь 2024;55;0,000119;
ноябрь 2024;57;0,000116;
декабрь 2024;34;0,000072;
