Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;405;0,00039;
январь 2018;346;0,00035;
февраль 2018;418;0,00039;
март 2018;290;0,00028;
апрель 2018;403;0,00038;
май 2018;473;0,00056;
июнь 2018;409;0,00047;
июль 2018;345;0,00038;
август 2018;246;0,00024;
сентябрь 2018;301;0,00025;
октябрь 2018;346;0,00032;
ноябрь 2018;399;0,00036;
декабрь 2018;324;0,00029;
январь 2019;263;0,00024;
февраль 2019;266;0,00023;
март 2019;290;0,00026;
апрель 2019;230;0,00022;
май 2019;332;0,00036;
июнь 2019;255;0,00029;
июль 2019;254;0,00028;
август 2019;258;0,00026;
сентябрь 2019;303;0,00027;
октябрь 2019;244;0,00021;
ноябрь 2019;846;0,00070;
декабрь 2019;427;0,00034;
январь 2020;364;0,00030;
февраль 2020;469;0,00035;
март 2020;307;0,00018;
апрель 2020;282;0,00018;
май 2020;284;0,00023;
июнь 2020;338;0,00031;
июль 2020;248;0,00022;
август 2020;266;0,00021;
сентябрь 2020;410;0,00027;
октябрь 2020;323;0,00019;
ноябрь 2020;429;0,00029;
декабрь 2020;414;0,00029;
январь 2021;205;0,00015;
февраль 2021;294;0,00020;
март 2021;327;0,00022;
апрель 2021;224;0,00016;
май 2021;325;0,00025;
июнь 2021;311;0,00026;
июль 2021;328;0,00026;
август 2021;266;0,00019;
сентябрь 2021;251;0,00016;
октябрь 2021;195;0,00012;
ноябрь 2021;309;0,00019;
декабрь 2021;206;0,00012;
январь 2022;366;0,00023;
февраль 2022;742;0,00043;
март 2022;801;0,00050;
апрель 2022;685;0,00045;
май 2022;744;0,00053;
июнь 2022;617;0,00046;
июль 2022;739;0,00054;
август 2022;669;0,00044;
сентябрь 2022;590;0,00035;
октябрь 2022;482;0,00027;
ноябрь 2022;574;0,00032;
декабрь 2022;439;0,00025;
январь 2023;450;0,00028;
февраль 2023;791;0,00045;
март 2023;576;0,00034;
апрель 2023;464;0,00029;
май 2023;473;0,00034;
июнь 2023;489;0,00036;
июль 2023;472;0,00035;
август 2023;351;0,00024;
сентябрь 2023;340;0,00020;
октябрь 2023;262;0,00016;
ноябрь 2023;244;0,00014;
декабрь 2023;261;0,00015;
январь 2024;259;0,00016;
февраль 2024;347;0,00022;
март 2024;271;0,00018;
апрель 2024;332;0,00023;
май 2024;288;0,00023;
июнь 2024;442;0,00037;
июль 2024;229;0,00019;
август 2024;223;0,00016;
сентябрь 2024;276;0,00017;
октябрь 2024;181;0,00011;
ноябрь 2024;310;0,00019;
декабрь 2024;236;0,00014;
