Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;61;0,000360;
январь 2018;67;0,000394;
февраль 2018;94;0,000529;
март 2018;87;0,000518;
апрель 2018;52;0,000310;
май 2018;70;0,000488;
июнь 2018;67;0,000467;
июль 2018;57;0,000393;
август 2018;58;0,000348;
сентябрь 2018;68;0,000335;
октябрь 2018;78;0,000384;
ноябрь 2018;58;0,000287;
декабрь 2018;44;0,000209;
январь 2019;45;0,000211;
февраль 2019;48;0,000221;
март 2019;81;0,000385;
апрель 2019;77;0,000389;
май 2019;45;0,000277;
июнь 2019;104;0,000663;
июль 2019;51;0,000319;
август 2019;45;0,000245;
сентябрь 2019;34;0,000150;
октябрь 2019;32;0,000138;
ноябрь 2019;143;0,000575;
декабрь 2019;50;0,000187;
январь 2020;49;0,000188;
февраль 2020;52;0,000189;
март 2020;45;0,000121;
апрель 2020;55;0,000157;
май 2020;51;0,000204;
июнь 2020;49;0,000221;
июль 2020;50;0,000234;
август 2020;27;0,000097;
сентябрь 2020;47;0,000128;
октябрь 2020;77;0,000200;
ноябрь 2020;77;0,000222;
декабрь 2020;49;0,000148;
январь 2021;34;0,000112;
февраль 2021;72;0,000225;
март 2021;25;0,000076;
апрель 2021;39;0,000118;
май 2021;44;0,000160;
июнь 2021;54;0,000211;
июль 2021;30;0,000118;
август 2021;39;0,000130;
сентябрь 2021;18;0,000047;
октябрь 2021;32;0,000087;
ноябрь 2021;72;0,000182;
декабрь 2021;53;0,000138;
январь 2022;66;0,000165;
февраль 2022;139;0,000351;
март 2022;165;0,000436;
апрель 2022;213;0,000561;
май 2022;223;0,000720;
июнь 2022;253;0,000849;
июль 2022;268;0,000837;
август 2022;189;0,000540;
сентябрь 2022;184;0,000465;
октябрь 2022;206;0,000480;
ноябрь 2022;157;0,000349;
декабрь 2022;94;0,000208;
январь 2023;113;0,000279;
февраль 2023;218;0,000503;
март 2023;159;0,000378;
апрель 2023;99;0,000233;
май 2023;120;0,000328;
июнь 2023;147;0,000427;
июль 2023;211;0,000602;
август 2023;136;0,000360;
сентябрь 2023;147;0,000340;
октябрь 2023;77;0,000175;
ноябрь 2023;152;0,000328;
декабрь 2023;129;0,000292;
январь 2024;104;0,000254;
февраль 2024;182;0,000433;
март 2024;153;0,000378;
апрель 2024;108;0,000281;
май 2024;217;0,000660;
июнь 2024;181;0,000561;
июль 2024;126;0,000392;
август 2024;95;0,000270;
сентябрь 2024;122;0,000291;
октябрь 2024;79;0,000184;
ноябрь 2024;128;0,000280;
декабрь 2024;57;0,000133;
