Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Ульяновская область, все устройства
декабрь 2017;211;0,000442;
январь 2018;136;0,000291;
февраль 2018;203;0,000405;
март 2018;134;0,000293;
апрель 2018;180;0,000417;
май 2018;237;0,000588;
июнь 2018;205;0,000512;
июль 2018;178;0,000438;
август 2018;133;0,000283;
сентябрь 2018;126;0,000236;
октябрь 2018;140;0,000287;
ноябрь 2018;242;0,000491;
декабрь 2018;142;0,000280;
январь 2019;157;0,000327;
февраль 2019;143;0,000276;
март 2019;194;0,000411;
апрель 2019;100;0,000227;
май 2019;174;0,000437;
июнь 2019;149;0,000372;
июль 2019;146;0,000359;
август 2019;129;0,000294;
сентябрь 2019;132;0,000257;
октябрь 2019;106;0,000204;
ноябрь 2019;300;0,000545;
декабрь 2019;182;0,000316;
январь 2020;206;0,000362;
февраль 2020;152;0,000251;
март 2020;153;0,000204;
апрель 2020;137;0,000228;
май 2020;161;0,000287;
июнь 2020;139;0,000283;
июль 2020;174;0,000343;
август 2020;190;0,000322;
сентябрь 2020;132;0,000197;
октябрь 2020;156;0,000218;
ноябрь 2020;168;0,000237;
декабрь 2020;151;0,000225;
январь 2021;119;0,000188;
февраль 2021;133;0,000192;
март 2021;113;0,000169;
апрель 2021;106;0,000165;
май 2021;157;0,000258;
июнь 2021;77;0,000137;
июль 2021;98;0,000167;
август 2021;85;0,000126;
сентябрь 2021;104;0,000143;
октябрь 2021;130;0,000171;
ноябрь 2021;127;0,000162;
декабрь 2021;86;0,000112;
январь 2022;70;0,000087;
февраль 2022;394;0,000468;
март 2022;361;0,000471;
апрель 2022;454;0,000590;
май 2022;393;0,000581;
июнь 2022;377;0,000568;
июль 2022;403;0,000619;
август 2022;473;0,000637;
сентябрь 2022;399;0,000502;
октябрь 2022;295;0,000363;
ноябрь 2022;309;0,000372;
декабрь 2022;262;0,000318;
январь 2023;235;0,000316;
февраль 2023;309;0,000375;
март 2023;178;0,000244;
апрель 2023;212;0,000287;
май 2023;207;0,000311;
июнь 2023;281;0,000434;
июль 2023;217;0,000339;
август 2023;158;0,000227;
сентябрь 2023;111;0,000142;
октябрь 2023;142;0,000185;
ноябрь 2023;122;0,000157;
декабрь 2023;70;0,000089;
январь 2024;136;0,000188;
февраль 2024;120;0,000156;
март 2024;129;0,000188;
апрель 2024;146;0,000211;
май 2024;133;0,000219;
июнь 2024;294;0,000490;
июль 2024;125;0,000205;
август 2024;159;0,000250;
сентябрь 2024;133;0,000181;
октябрь 2024;142;0,000187;
ноябрь 2024;222;0,000280;
декабрь 2024;147;0,000184;
