"","Coefficient","Robust_SE","P_value","Significance"
"privatetravelers.Q1",11.3745167282694,0.069638448074857,3.59746196899463e-72,"***"
"privatetravelers.Q2",11.5952646968205,0.0594498877237383,3.5979751740547e-76,"***"
"privatetravelers.Q3",11.8273899354144,0.060605393923703,3.49284242451572e-76,"***"
"privatetravelers.Q4",11.6247921374513,0.0581500977331421,1.00027575481097e-76,"***"
"privatetravelers.time_trend",-0.0106823854656271,0.00209905703921694,5.03823776087947e-06,"***"
"privatetravelers.covid",0.18168205641892,0.0655865414940516,0.00775229289400532,"**"
"privatetravelers.log_mediazona",0.0421686736568369,0.0094399129535405,4.30492824572705e-05,"***"
"businessvisitors.Q1",10.0943124242274,0.0830733201151037,1.65571536264155e-65,"***"
"businessvisitors.Q2",10.2536356433526,0.086871603040377,7.45840812983232e-65,"***"
"businessvisitors.Q3",10.1684824969382,0.0877944467553577,1.98621969140402e-64,"***"
"businessvisitors.Q4",10.2186122828979,0.09541543890842,1.14708489950735e-62,"***"
"businessvisitors.time_trend",0.0524726138061223,0.00308480364375064,6.75281249377211e-23,"***"
"businessvisitors.covid",-0.342078909888329,0.185913178666303,0.0714799683853898,"ns"
"businessvisitors.log_mediazona",-0.033033912527406,0.0152574725631649,0.0349909207214271,"*"
"alltypes.Q1",11.5505058965936,0.0493272102227652,2.23307943196729e-76,"***"
"alltypes.Q2",11.7919436445618,0.0378344817814159,1.85347621932814e-82,"***"
"alltypes.Q3",11.9060561777163,0.0458018802273996,1.34128858698131e-78,"***"
"alltypes.Q4",11.7706222383962,0.0347954891275186,3.35287382931596e-84,"***"
"alltypes.war",0.273635873190649,0.0441055383418652,1.13335176176012e-07,"***"
"alltypes.post_war",0.0526849333423983,0.0113161214111579,2.49108466094231e-05,"***"
"alltypes.crocus",-0.234329189381001,0.0629831531859298,0.000512312829811392,"***"
"alltypes.time_trend",0.0199891995717003,0.00125702687043268,5.56643597457925e-21,"***"
"alltypes.log_mediazona_lag1",-0.0348229707762114,0.00782467985801976,4.9424681968794e-05,"***"
"alltypes.log_mediazona_lag2",-0.0288531156257469,0.00742945394101426,0.000308401011066943,"***"
"transit.Q1",7.43514201706086,0.136636391960796,7.61459425826222e-47,"***"
"transit.Q2",7.7587655926776,0.121546759529155,2.49116435049559e-50,"***"
"transit.Q3",7.85453070557315,0.115572982396479,1.05751572525243e-51,"***"
"transit.Q4",7.97259292351836,0.135219682721819,1.3560448193482e-48,"***"
"transit.crocus",-0.57594558862538,0.104223662668791,1.12193586268605e-06,"***"
"transit.time_trend",0.00514360028086426,0.00366503368088316,0.166549694716129,"ns"
"transit.covid",0.412317857255446,0.188699583702798,0.0335046876499138,"*"
"transit.log_mediazona_lag2",0.045743027547344,0.0197598127614762,0.0246765710075965,"*"
