Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;1 846;0,0034;
январь 2018;1 972;0,0036;
февраль 2018;2 253;0,0037;
март 2018;2 026;0,0037;
апрель 2018;1 956;0,0036;
май 2018;2 941;0,0053;
июнь 2018;2 867;0,0051;
июль 2018;2 592;0,0044;
август 2018;2 333;0,0038;
сентябрь 2018;2 625;0,0037;
октябрь 2018;2 597;0,0039;
ноябрь 2018;3 101;0,0047;
декабрь 2018;2 490;0,0035;
январь 2019;2 640;0,0038;
февраль 2019;2 711;0,0035;
март 2019;2 564;0,0036;
апрель 2019;3 972;0,0055;
май 2019;3 131;0,0045;
июнь 2019;2 742;0,0038;
июль 2019;2 486;0,0035;
август 2019;2 215;0,0031;
сентябрь 2019;2 459;0,0031;
октябрь 2019;2 402;0,0030;
ноябрь 2019;3 115;0,0038;
декабрь 2019;2 950;0,0033;
январь 2020;2 556;0,0031;
февраль 2020;3 113;0,0034;
март 2020;3 615;0,0030;
апрель 2020;3 834;0,0033;
май 2020;3 945;0,0040;
июнь 2020;3 720;0,0039;
июль 2020;3 092;0,0035;
август 2020;2 777;0,0032;
сентябрь 2020;2 966;0,0030;
октябрь 2020;3 045;0,0030;
ноябрь 2020;3 230;0,0033;
декабрь 2020;2 831;0,0029;
январь 2021;2 348;0,0026;
февраль 2021;2 947;0,0030;
март 2021;3 099;0,0028;
апрель 2021;3 770;0,0028;
май 2021;3 793;0,0030;
июнь 2021;2 930;0,0027;
июль 2021;2 821;0,0026;
август 2021;3 290;0,0026;
сентябрь 2021;3 736;0,0027;
октябрь 2021;3 616;0,0025;
ноябрь 2021;3 946;0,0028;
декабрь 2021;3 626;0,0024;
январь 2022;4 021;0,0027;
февраль 2022;6 393;0,0040;
март 2022;4 700;0,0031;
апрель 2022;4 447;0,0029;
май 2022;4 808;0,0033;
июнь 2022;4 873;0,0031;
июль 2022;4 540;0,0030;
август 2022;4 173;0,0027;
сентябрь 2022;4 270;0,0026;
октябрь 2022;4 046;0,0025;
ноябрь 2022;3 856;0,0024;
декабрь 2022;3 490;0,0022;
январь 2023;3 486;0,0024;
февраль 2023;4 012;0,0025;
март 2023;3 465;0,0023;
апрель 2023;3 570;0,0024;
май 2023;3 642;0,0025;
июнь 2023;4 093;0,0026;
июль 2023;3 841;0,0025;
август 2023;3 495;0,0024;
сентябрь 2023;3 492;0,0022;
октябрь 2023;3 487;0,0023;
ноябрь 2023;3 376;0,0022;
декабрь 2023;3 248;0,0020;
январь 2024;3 278;0,0022;
февраль 2024;3 403;0,0022;
март 2024;3 386;0,0023;
апрель 2024;3 703;0,0025;
май 2024;3 429;0,0024;
июнь 2024;3 607;0,0024;
июль 2024;3 314;0,0023;
август 2024;3 096;0,0022;
сентябрь 2024;3 240;0,0021;
октябрь 2024;3 275;0,0021;
ноябрь 2024;3 525;0,0022;
декабрь 2024;3 596;0,0022;
