Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;939;0,0029;
январь 2018;1 019;0,0033;
февраль 2018;1 070;0,0033;
март 2018;863;0,0030;
апрель 2018;837;0,0029;
май 2018;1 598;0,0059;
июнь 2018;1 315;0,0049;
июль 2018;968;0,0037;
август 2018;754;0,0025;
сентябрь 2018;1 048;0,0030;
октябрь 2018;986;0,0030;
ноябрь 2018;1 334;0,0040;
декабрь 2018;1 219;0,0036;
январь 2019;1 067;0,0032;
февраль 2019;1 031;0,0030;
март 2019;923;0,0028;
апрель 2019;877;0,0028;
май 2019;938;0,0034;
июнь 2019;898;0,0033;
июль 2019;802;0,0030;
август 2019;882;0,0028;
сентябрь 2019;867;0,0025;
октябрь 2019;957;0,0027;
ноябрь 2019;991;0,0026;
декабрь 2019;999;0,0026;
январь 2020;1 022;0,0027;
февраль 2020;1 082;0,0028;
март 2020;1 220;0,0023;
апрель 2020;1 320;0,0027;
май 2020;1 191;0,0032;
июнь 2020;949;0,0028;
июль 2020;1 048;0,0031;
август 2020;1 043;0,0027;
сентябрь 2020;1 019;0,0023;
октябрь 2020;1 136;0,0025;
ноябрь 2020;1 159;0,0026;
декабрь 2020;968;0,0023;
январь 2021;988;0,0024;
февраль 2021;1 135;0,0026;
март 2021;1 189;0,0027;
апрель 2021;1 091;0,0025;
май 2021;1 113;0,0026;
июнь 2021;1 144;0,0030;
июль 2021;1 135;0,0029;
август 2021;1 025;0,0023;
сентябрь 2021;1 018;0,0021;
октябрь 2021;1 165;0,0023;
ноябрь 2021;1 430;0,0027;
декабрь 2021;1 121;0,0021;
январь 2022;1 296;0,0025;
февраль 2022;1 575;0,0029;
март 2022;1 200;0,0023;
апрель 2022;1 161;0,0022;
май 2022;1 389;0,0030;
июнь 2022;1 290;0,0029;
июль 2022;1 181;0,0027;
август 2022;1 118;0,0022;
сентябрь 2022;1 058;0,0019;
октябрь 2022;1 112;0,0020;
ноябрь 2022;1 181;0,0020;
декабрь 2022;1 160;0,0020;
январь 2023;1 042;0,0020;
февраль 2023;1 168;0,0021;
март 2023;1 187;0,0022;
апрель 2023;1 119;0,0021;
май 2023;1 187;0,0026;
июнь 2023;1 046;0,0023;
июль 2023;1 149;0,0026;
август 2023;902;0,0018;
сентябрь 2023;1 021;0,0019;
октябрь 2023;1 067;0,0020;
ноябрь 2023;1 081;0,0020;
декабрь 2023;979;0,0018;
январь 2024;991;0,0019;
февраль 2024;1 042;0,0020;
март 2024;923;0,0019;
апрель 2024;1 036;0,0022;
май 2024;975;0,0024;
июнь 2024;962;0,0024;
июль 2024;1 015;0,0025;
август 2024;818;0,0019;
сентябрь 2024;1 018;0,0021;
октябрь 2024;928;0,0018;
ноябрь 2024;1 133;0,0021;
декабрь 2024;1 066;0,0021;
