Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;1 977;0,0034;
январь 2018;1 951;0,0034;
февраль 2018;2 206;0,0035;
март 2018;1 803;0,0032;
апрель 2018;1 821;0,0033;
май 2018;2 799;0,0053;
июнь 2018;2 148;0,0043;
июль 2018;1 941;0,0037;
август 2018;1 964;0,0034;
сентябрь 2018;2 080;0,0031;
октябрь 2018;2 211;0,0036;
ноябрь 2018;2 393;0,0040;
декабрь 2018;1 798;0,0033;
январь 2019;1 621;0,0032;
февраль 2019;1 574;0,0030;
март 2019;1 511;0,0030;
апрель 2019;1 389;0,0029;
май 2019;1 312;0,0031;
июнь 2019;1 193;0,0030;
июль 2019;1 240;0,0032;
август 2019;1 295;0,0029;
сентябрь 2019;1 357;0,0026;
октябрь 2019;1 352;0,0025;
ноябрь 2019;1 695;0,0031;
декабрь 2019;1 620;0,0029;
январь 2020;1 514;0,0028;
февраль 2020;1 597;0,0027;
март 2020;2 249;0,0030;
апрель 2020;1 716;0,0027;
май 2020;1 918;0,0034;
июнь 2020;1 648;0,0033;
июль 2020;1 725;0,0035;
август 2020;1 460;0,0027;
сентябрь 2020;1 583;0,0025;
октябрь 2020;1 616;0,0024;
ноябрь 2020;1 781;0,0027;
декабрь 2020;1 466;0,0023;
январь 2021;1 493;0,0025;
февраль 2021;1 578;0,0024;
март 2021;1 730;0,0027;
апрель 2021;1 558;0,0025;
май 2021;1 663;0,0028;
июнь 2021;1 590;0,0028;
июль 2021;1 704;0,0031;
август 2021;1 465;0,0025;
сентябрь 2021;1 588;0,0024;
октябрь 2021;1 476;0,0022;
ноябрь 2021;1 652;0,0024;
декабрь 2021;1 469;0,0021;
январь 2022;1 469;0,0021;
февраль 2022;2 407;0,0032;
март 2022;1 856;0,0025;
апрель 2022;1 462;0,0020;
май 2022;1 800;0,0028;
июнь 2022;1 620;0,0026;
июль 2022;1 602;0,0026;
август 2022;1 516;0,0022;
сентябрь 2022;1 828;0,0024;
октябрь 2022;1 866;0,0023;
ноябрь 2022;1 628;0,0021;
декабрь 2022;1 549;0,0020;
январь 2023;1 439;0,0020;
февраль 2023;1 695;0,0022;
март 2023;1 699;0,0023;
апрель 2023;1 405;0,0019;
май 2023;1 500;0,0023;
июнь 2023;1 485;0,0024;
июль 2023;1 503;0,0025;
август 2023;1 176;0,0018;
сентябрь 2023;1 510;0,0021;
октябрь 2023;1 524;0,0021;
ноябрь 2023;1 505;0,0020;
декабрь 2023;1 327;0,0018;
январь 2024;1 347;0,0019;
февраль 2024;1 431;0,0020;
март 2024;1 494;0,0022;
апрель 2024;1 353;0,0020;
май 2024;1 329;0,0022;
июнь 2024;1 223;0,0021;
июль 2024;1 173;0,0021;
август 2024;1 134;0,0019;
сентябрь 2024;1 274;0,0018;
октябрь 2024;1 362;0,0019;
ноябрь 2024;1 607;0,0021;
декабрь 2024;1 325;0,0018;
