Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;616;0,0030;
январь 2018;633;0,0032;
февраль 2018;835;0,0039;
март 2018;720;0,0036;
апрель 2018;595;0,0031;
май 2018;837;0,0047;
июнь 2018;723;0,0042;
июль 2018;617;0,0035;
август 2018;596;0,0029;
сентябрь 2018;834;0,0035;
октябрь 2018;695;0,0032;
ноябрь 2018;877;0,0039;
декабрь 2018;745;0,0033;
январь 2019;664;0,0031;
февраль 2019;678;0,0030;
март 2019;619;0,0029;
апрель 2019;525;0,0026;
май 2019;554;0,0031;
июнь 2019;535;0,0030;
июль 2019;509;0,0028;
август 2019;520;0,0027;
сентябрь 2019;614;0,0026;
октябрь 2019;613;0,0026;
ноябрь 2019;746;0,0030;
декабрь 2019;727;0,0028;
январь 2020;722;0,0029;
февраль 2020;719;0,0026;
март 2020;935;0,0025;
апрель 2020;878;0,0028;
май 2020;847;0,0033;
июнь 2020;722;0,0032;
июль 2020;604;0,0026;
август 2020;684;0,0026;
сентябрь 2020;750;0,0024;
октябрь 2020;748;0,0021;
ноябрь 2020;851;0,0026;
декабрь 2020;672;0,0022;
январь 2021;685;0,0023;
февраль 2021;855;0,0027;
март 2021;783;0,0025;
апрель 2021;706;0,0023;
май 2021;749;0,0027;
июнь 2021;686;0,0026;
июль 2021;790;0,0029;
август 2021;701;0,0023;
сентябрь 2021;810;0,0024;
октябрь 2021;762;0,0022;
ноябрь 2021;839;0,0023;
декабрь 2021;775;0,0022;
январь 2022;840;0,0024;
февраль 2022;1 270;0,0033;
март 2022;810;0,0022;
апрель 2022;841;0,0023;
май 2022;793;0,0025;
июнь 2022;810;0,0027;
июль 2022;776;0,0026;
август 2022;722;0,0021;
сентябрь 2022;756;0,0020;
октябрь 2022;707;0,0018;
ноябрь 2022;791;0,0020;
декабрь 2022;657;0,0017;
январь 2023;765;0,0021;
февраль 2023;735;0,0019;
март 2023;664;0,0019;
апрель 2023;647;0,0018;
май 2023;630;0,0020;
июнь 2023;659;0,0021;
июль 2023;724;0,0024;
август 2023;657;0,0020;
сентябрь 2023;760;0,0020;
октябрь 2023;830;0,0022;
ноябрь 2023;759;0,0020;
декабрь 2023;658;0,0017;
январь 2024;650;0,0019;
февраль 2024;689;0,0019;
март 2024;770;0,0023;
апрель 2024;753;0,0022;
май 2024;651;0,0023;
июнь 2024;739;0,0027;
июль 2024;623;0,0022;
август 2024;511;0,0017;
сентябрь 2024;637;0,0018;
октябрь 2024;623;0,0017;
ноябрь 2024;672;0,0017;
декабрь 2024;684;0,0018;
