Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;634;0,0037;
январь 2018;504;0,0029;
февраль 2018;537;0,0030;
март 2018;569;0,0033;
апрель 2018;534;0,0031;
май 2018;646;0,0045;
июнь 2018;483;0,0033;
июль 2018;530;0,0036;
август 2018;458;0,0027;
сентябрь 2018;629;0,0031;
октябрь 2018;659;0,0032;
ноябрь 2018;679;0,0033;
декабрь 2018;631;0,0029;
январь 2019;642;0,0030;
февраль 2019;607;0,0027;
март 2019;614;0,0029;
апрель 2019;602;0,0030;
май 2019;562;0,0034;
июнь 2019;495;0,0031;
июль 2019;510;0,0031;
август 2019;419;0,0022;
сентябрь 2019;558;0,0024;
октябрь 2019;585;0,0025;
ноябрь 2019;642;0,0025;
декабрь 2019;600;0,0022;
январь 2020;601;0,0023;
февраль 2020;646;0,0023;
март 2020;851;0,0023;
апрель 2020;921;0,0026;
май 2020;759;0,0030;
июнь 2020;657;0,0029;
июль 2020;721;0,0033;
август 2020;615;0,0022;
сентябрь 2020;648;0,0017;
октябрь 2020;689;0,0017;
ноябрь 2020;759;0,0021;
декабрь 2020;640;0,0019;
январь 2021;588;0,0019;
февраль 2021;637;0,0019;
март 2021;702;0,0021;
апрель 2021;704;0,0021;
май 2021;629;0,0022;
июнь 2021;657;0,0025;
июль 2021;745;0,0029;
август 2021;652;0,0021;
сентябрь 2021;784;0,0020;
октябрь 2021;682;0,0018;
ноябрь 2021;835;0,0021;
декабрь 2021;759;0,0019;
январь 2022;792;0,0019;
февраль 2022;1 139;0,0028;
март 2022;796;0,0021;
апрель 2022;741;0,0019;
май 2022;701;0,0022;
июнь 2022;829;0,0027;
июль 2022;775;0,0024;
август 2022;683;0,0019;
сентябрь 2022;665;0,0016;
октябрь 2022;785;0,0018;
ноябрь 2022;839;0,0018;
декабрь 2022;832;0,0018;
январь 2023;753;0,0018;
февраль 2023;858;0,0019;
март 2023;760;0,0018;
апрель 2023;664;0,0015;
май 2023;706;0,0019;
июнь 2023;685;0,0019;
июль 2023;786;0,0022;
август 2023;654;0,0017;
сентябрь 2023;705;0,0016;
октябрь 2023;686;0,0015;
ноябрь 2023;839;0,0018;
декабрь 2023;722;0,0016;
январь 2024;642;0,0015;
февраль 2024;726;0,0017;
март 2024;716;0,0017;
апрель 2024;675;0,0017;
май 2024;570;0,0017;
июнь 2024;565;0,0017;
июль 2024;584;0,0018;
август 2024;514;0,0014;
сентябрь 2024;735;0,0017;
октябрь 2024;675;0,0015;
ноябрь 2024;774;0,0016;
декабрь 2024;682;0,0015;
